sample,label,total,with_hits,no_hits,hs_mrna,hs_rrna,hs_other,non_hs
cm_0_1_MKDL250010856-1A_22YHCGLT4_L3,accepted,159,159,0,9,127,3,20
cm_0_1_MKDL250010856-1A_22YHCGLT4_L3,rejected,135,118,17,0,96,1,21
