group,length_category,n_replicates,mean_tpm,std_tpm,stderr_tpm
gag:PABP,0-499nt,3,61.115495619047316,3.3955276485551398,9.60217096442171
gag:PABP,500-999nt,3,41.57041983341705,0.9001219699858487,2.5702850806068303
gag:PABP,1000-1499nt,3,44.890445099772485,0.5047774174993802,3.241822891088471
gag:PABP,1500-1999nt,3,29.297540482388687,0.25619575179863396,1.9978299818057035
gag:PABP,2000-2499nt,3,22.783060359708198,0.7007490572932962,1.1132553600734358
gag:PABP,2500-2999nt,3,19.443646482470268,0.621660431007907,1.1141448341859566
gag:PABP,3000-3499nt,3,18.89594144255985,0.6639393624718253,1.2630534172549928
gag:PABP,3500-3999nt,3,17.084104323692788,0.6624628344914388,1.0913512767435956
gag:PABP,4000-4499nt,3,19.48955861337937,0.8684774845177072,1.5712517188348327
gag:PABP,4500-4999nt,3,15.671038565967642,0.6971406253066117,1.198888442822553
gag:PABP,5000nt+,3,14.13643466050666,0.773324531490138,0.46871554685541356
reference,0-499nt,3,94.46884247704769,6.672254880525141,14.138639359348566
reference,500-999nt,3,40.1804601415227,2.5531880520881542,3.433924511024044
reference,1000-1499nt,3,36.566409155579606,0.6323253077239724,3.227638269496546
reference,1500-1999nt,3,30.011922550311308,1.2355738880440839,3.1964182508162238
reference,2000-2499nt,3,21.38823376379183,1.5484958783868816,0.9326349212791955
reference,2500-2999nt,3,19.871479895297508,1.4045979826586712,1.1906459294032663
reference,3000-3499nt,3,20.381940852495138,1.0933251414902287,1.9648716064328966
reference,3500-3999nt,3,17.934295757084854,1.6071126630971877,0.8352509023058626
reference,4000-4499nt,3,16.328902552692444,1.7026206854403294,0.7053813274941053
reference,4500-4999nt,3,14.462463789223607,1.3979188727383385,0.6906724620605905
reference,5000nt+,3,12.243835683754149,1.4333415319197602,0.27842002242788116
gag,0-499nt,3,42.136266717965384,1.5162832684631766,7.0938125050872145
gag,500-999nt,3,26.783623289775036,0.5365663806497386,1.8252855048214085
gag,1000-1499nt,3,37.21234648564791,0.2690742868005624,3.4317232604003727
gag,1500-1999nt,3,31.927113032826657,0.1807038607916466,2.733719350195192
gag,2000-2499nt,3,26.385604194029668,0.3860762920249171,1.4645198509160258
gag,2500-2999nt,3,25.552180074302928,0.28887139602810036,1.636667442620176
gag,3000-3499nt,3,28.03837660566964,0.31814752946457564,2.1212634485238318
gag,3500-3999nt,3,29.28982327410593,0.19222497090038682,2.2973113351971546
gag,4000-4499nt,3,30.04793234911052,0.25897974020194436,2.332524008850069
gag,4500-4999nt,3,25.789273057041754,0.2667674822280711,1.9159238109608083
gag,5000nt+,3,26.818678787350702,0.585562641841145,0.8589025146537992
