Condition,mean,std,n_replicates
NTVE,1.8076645159197937,0.5287425903946534,3
HIV-gag WT,1.934589045967477,0.9566715202255199,3
TRACE-seq,0.008202455021750836,0.0008596624771239487,3
MMLV-gag WT,1.8326385851591527,1.5346123769132811,3
HIV-gag:MCP,1.0111455821489772,1.2977958140101629,3
