"Gene","GeneName","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000044574","HSPA5",597.75812273776,2.3102149829349,0.561386523741415,2.42050496010866e-06,0.00193882447304704
"ENSG00000051108","HERPUD1",73.3080141244091,2.10940023620947,0.630410109589363,3.40953340956922e-05,0.0218482900885195
"ENSG00000080824","HSP90AA1",1200.56638035653,-1.7889169451214,0.43975317921304,1.78324884551136e-06,0.00190450976700613
"ENSG00000156508","EEF1A1",1674.2432191499,-2.22104553921799,0.5187444994808,9.14485340009369e-07,0.00146500551469501
"Gag_common_core","Gag_common_core",3002.78942976243,6.37679821307152,1.34873610665067,2.58528731970155e-08,8.28326057232377e-05
