sample_num,length_bin,pair_index,pearson_r,spearman_r
1,0-999,1,0.6712513323778712,0.5913257066658585
1,0-999,2,0.6085994233645963,0.5466169405541789
1,0-999,3,0.6071187120900351,0.5433626875897629
1,1000-1999,1,0.42519565703311546,0.4826637908099243
1,1000-1999,2,0.5612928242083625,0.4651498264785701
1,1000-1999,3,0.4260610365563802,0.4649085505249283
1,2000-2999,1,0.4526221170648304,0.44087599782705883
1,2000-2999,2,0.28629774790252493,0.41381065039419307
1,2000-2999,3,0.3604284369364434,0.45074333519626847
1,3000-3999,1,0.2983324495689034,0.3692039292188054
1,3000-3999,2,0.20279055348087743,0.33589089127725724
1,3000-3999,3,0.215463864829424,0.3636475288280659
1,4000-4999,1,0.3836140586610194,0.31482803388559777
1,4000-4999,2,0.2842418873605091,0.33110851305937244
1,4000-4999,3,0.33165742613949845,0.3105442334191479
1,5000+,1,0.5326048361941103,0.2901932140398755
1,5000+,2,0.3447901403232584,0.14133223305714912
1,5000+,3,0.5001941022732914,0.2714913236667177
2,0-999,1,0.47327048619198175,0.437578499608258
2,0-999,2,0.4931238191628614,0.4781271044565179
2,0-999,3,0.45058721377070254,0.4360476705721314
2,1000-1999,1,0.418248382837803,0.4172183358511699
2,1000-1999,2,0.3717707392103475,0.39474939215784416
2,1000-1999,3,0.43424953882933853,0.40127804917714704
2,2000-2999,1,0.305253800514641,0.42515599712622865
2,2000-2999,2,0.29220254914030347,0.3766047325191881
2,2000-2999,3,0.2975372287104128,0.4109806132537612
2,3000-3999,1,0.28184540183031526,0.3594959586559678
2,3000-3999,2,0.2439121809669587,0.3015843473273284
2,3000-3999,3,0.3349376863369839,0.33838201870158047
2,4000-4999,1,0.3618131975517769,0.3475470551377468
2,4000-4999,2,0.39201401810276076,0.2832639233989702
2,4000-4999,3,0.3860554216424456,0.40310978084874033
2,5000+,1,0.47552000196336164,0.34175417046169676
2,5000+,2,0.34940988482386554,0.205453908851813
2,5000+,3,0.34935916664985206,0.25489910745547456
3,0-999,1,0.11758353118169775,0.29415568734118813
3,0-999,2,0.05587059122141445,0.24023104760790842
3,0-999,3,0.09716250993844103,0.28624272010845464
3,1000-1999,1,0.14491442485370615,0.3139179267408694
3,1000-1999,2,0.08520529846207979,0.25355768389631145
3,1000-1999,3,0.11194088383272585,0.2516147625724706
3,2000-2999,1,0.03783524598673628,0.25827431692689407
3,2000-2999,2,0.021401414758716736,0.19018712434260826
3,2000-2999,3,0.06561387902089469,0.1567376558683292
3,3000-3999,1,0.11138680381045617,0.18298413027694221
3,3000-3999,2,0.05601581878169978,0.1880570536205693
3,3000-3999,3,0.09580701460872874,0.15872834768177574
3,4000-4999,1,0.06284661317395229,0.051596257750169204
3,4000-4999,2,-0.05637723414725106,-0.015900080891838413
3,4000-4999,3,0.17319410106746194,0.05881284741629581
3,5000+,1,0.44397620872102106,0.12693911592994164
3,5000+,2,0.35635740734212,-0.011820352576919125
3,5000+,3,0.37447061099167156,0.08518628537479865
4,0-999,1,0.39165173440027284,0.3361306569872082
4,0-999,2,0.45998626794998454,0.37487876335568115
4,0-999,3,0.4508003731139685,0.374743984978983
4,1000-1999,1,0.30839252554873264,0.29641482577820855
4,1000-1999,2,0.280570811729496,0.2870719326378401
4,1000-1999,3,0.31137507651167534,0.3313573957496781
4,2000-2999,1,0.22089217197448358,0.33464079666439905
4,2000-2999,2,0.18965897844089427,0.27270285194167254
4,2000-2999,3,0.2626837240010686,0.33081405331675445
4,3000-3999,1,0.19587931926146346,0.23452595289471317
4,3000-3999,2,0.11860294510728066,0.1643754043951674
4,3000-3999,3,0.21254623400423403,0.2231518023927407
4,4000-4999,1,0.08221836907141311,0.10989875531999405
4,4000-4999,2,0.03807860225464998,0.040597815424715404
4,4000-4999,3,0.08309819013198715,0.09982183874826414
4,5000+,1,0.3563340594467675,0.2020376056732015
4,5000+,2,0.3650028286877526,0.13705365817722132
4,5000+,3,0.38187766231394504,0.16950419276244
5,0-999,1,0.19563537223057928,0.21982048382111796
5,0-999,2,0.25113722982627296,0.2171798445765158
5,0-999,3,0.19974044798305862,0.28615503716632773
5,1000-1999,1,0.23757339929942006,0.26613719034550226
5,1000-1999,2,0.3233698481375833,0.25513580055384844
5,1000-1999,3,0.3516649777413406,0.27137460100051636
5,2000-2999,1,0.13247544598722558,0.3240907194710358
5,2000-2999,2,0.11822250280392471,0.28868136795614546
5,2000-2999,3,0.18351501694160993,0.28069868065616294
5,3000-3999,1,0.11748331286749418,0.18458829002458962
5,3000-3999,2,0.09846515983980751,0.22997000702147763
5,3000-3999,3,0.13152925571499818,0.29735692896556976
5,4000-4999,1,0.14195623699179294,0.09741269759305182
5,4000-4999,2,0.25147989633432327,0.18713892943640562
5,4000-4999,3,0.20819753817229908,0.1076004448401938
5,5000+,1,0.24410565049192,0.07411588981385306
5,5000+,2,0.36773694068244267,0.10675056576695921
5,5000+,3,0.25278625515113895,0.12420780080988723
6,0-999,1,0.5449145574463736,0.13684579200125663
6,0-999,2,0.6247207850850888,0.3068143968337938
6,0-999,3,0.5422841645359867,0.11790983365661553
6,1000-1999,1,0.08048981294058963,0.08752986144290492
6,1000-1999,2,0.10867568414034344,0.20331262939958597
6,1000-1999,3,0.08394381707588919,0.13575410097149226
6,2000-2999,1,-0.15086185101378477,0.017093867553144956
6,2000-2999,2,0.16162916749978448,0.12105677543522
6,2000-2999,3,0.07446308442814738,-0.009220540635115038
6,3000-3999,1,-0.0848257343822652,0.17846591530802056
6,3000-3999,2,-0.06490932754330137,0.1646788488893752
6,3000-3999,3,-0.04120471330163857,0.11543932596564176
6,4000-4999,1,-0.18135360432877143,-0.1907278767743884
6,4000-4999,2,-0.01281411096549355,0.032769556025369975
6,4000-4999,3,-0.11441469301972296,-0.19133192389006343
6,5000+,1,0.622599908484123,0.03866532528504359
