bin_center,n_replicates,mean_density,se_density,ci95_lower,ci95_upper
-4.753418968809786,3,0.0002951253170993724,0.00029512531709937245,-0.0002833203044153976,0.0008735709386141424
-4.665020776555352,3,0.0,0.0,0.0,0.0
-4.576622584300917,3,0.0,0.0,0.0,0.0
-4.488224392046483,3,0.0,0.0,0.0,0.0
-4.399826199792049,3,0.0,0.0,0.0,0.0
-4.311428007537614,3,0.0,0.0,0.0,0.0
-4.22302981528318,3,0.00029619167202723124,0.00029619167202723124,-0.000284344005146142,0.0008767273492006045
-4.134631623028746,3,0.00029619167202723124,0.00029619167202723124,-0.000284344005146142,0.0008767273492006045
-4.046233430774311,3,0.0,0.0,0.0,0.0
-3.957835238519877,3,0.0002945489905154429,0.00029454899051544294,-0.00028276703089482523,0.000871865011925711
-3.8694370462654435,3,0.0,0.0,0.0,0.0
-3.781038854011009,3,0.0,0.0,0.0,0.0
-3.692640661756575,3,0.0,0.0,0.0,0.0
-3.6042424695021404,3,0.0,0.0,0.0,0.0
-3.515844277247706,3,0.0,0.0,0.0,0.0
-3.4274460849932717,3,0.0,0.0,0.0,0.0
-3.3390478927388374,3,0.0,0.0,0.0,0.0
-3.250649700484403,3,0.0,0.0,0.0,0.0
-3.1622515082299687,3,0.0,0.0,0.0,0.0
-3.0738533159755344,3,0.0,0.0,0.0,0.0
-2.9854551237211,3,0.0,0.0,0.0,0.0
-2.8970569314666657,3,0.0,0.0,0.0,0.0
-2.8086587392122317,3,0.0,0.0,0.0,0.0
-2.7202605469577974,3,0.0,0.0,0.0,0.0
-2.631862354703363,3,0.0,0.0,0.0,0.0
-2.5434641624489287,3,0.0,0.0,0.0,0.0
-2.4550659701944944,3,0.0,0.0,0.0,0.0
-2.3666677779400604,3,0.0008864423062259805,0.0005111731560751701,-0.00011545707968135279,0.0018883416921333137
-2.278269585685626,3,0.0014738976057450694,0.0007795220305623138,-5.3965574157065644e-05,0.0030017607856472044
-2.1898713934311917,3,0.002362558920066766,0.0010639004208733024,0.00027731409515509373,0.0044478037449784385
-2.1014732011767574,3,0.002363135246650697,0.001561254749651886,-0.0006969240626669994,0.005423194555968394
-2.013075008922323,3,0.00502064688733683,0.00030125697568643124,0.004430183214991425,0.005611110559682235
-1.9246768166678887,3,0.00649840618268941,0.001069289708764729,0.004402598353510541,0.008594214011868278
-1.8362786244134544,3,0.015649799691633506,0.0021255933218240243,0.011483636780858418,0.019815962602408595
-1.74788043215902,3,0.023619970770212263,0.001029492818503092,0.021602164845946202,0.025637776694478323
-1.6594822399045857,3,0.02864390302057267,0.00033991169660918747,0.027977676095218663,0.029310129945926678
-1.5710840476501515,3,0.04044413249539632,0.0058982036731036365,0.028883653296113195,0.052004611694679445
-1.4826858553957174,3,0.05107599433613245,0.003571512055913818,0.044075830706541363,0.05807615796572353
-1.394287663141283,3,0.06908186852002556,0.005247138111407426,0.058797477821667,0.07936625921838411
-1.3058894708868487,3,0.10187254124721946,0.0021883824007209625,0.09758331174180637,0.10616177075263256
-1.2174912786324144,3,0.12637428517384233,0.006513879145656296,0.113607082048356,0.13914148829932868
-1.12909308637798,3,0.18453801480731902,0.006365801959024806,0.1720610429676304,0.19701498664700764
-1.0406948941235457,3,0.23503228934867557,0.005593173952369284,0.22406966840203177,0.24599491029531936
-0.9522967018691115,3,0.2816929889971414,0.004176843123237257,0.2735063764755964,0.2898796015186864
-0.8638985096146774,3,0.3407498764982737,0.00613289470007073,0.32872940288613506,0.35277035011041236
-0.775500317360243,3,0.4080642199415827,0.007693213698229312,0.39298552109305324,0.4231429187901122
-0.6871021251058087,3,0.486323333383541,0.005201829790176952,0.47612774699479415,0.49651891977228785
-0.5987039328513744,3,0.5465356474242437,0.01513573005864352,0.5168696165093023,0.576201678339185
-0.51030574059694,3,0.6315565358667304,0.02443441300323266,0.5836650863803944,0.6794479853530665
