Gene,GeneName,LRT_stat,stat_full,LRT_day2,LRT_day7,log2FoldChange,x_lrt,y_stat_full,panel_lineage
ENSG00000000003,TSPAN6,3.75,5.68,0.22,0.61,0.46,3.75,5.68,ectoderm
ENSG00000000005,TNMD,0.0,0.11,0.06,0.0,3.21,0.0,0.11,ectoderm
ENSG00000000419,DPM1,19.29,4.63,1.92,7.88,-1.06,19.29,4.63,ectoderm
ENSG00000000457,SCYL3,4.0,1.56,1.14,0.49,0.12,4.0,1.56,ectoderm
ENSG00000000460,C1orf112,15.53,6.49,3.21,0.08,2.64,15.53,6.49,ectoderm
ENSG00000000938,FGR,0.0,0.14,0.05,0.0,3.02,0.0,0.14,ectoderm
ENSG00000000971,CFH,15.56,3.77,0.77,2.79,-1.3,15.56,3.77,ectoderm
ENSG00000001036,FUCA2,3.47,1.08,0.31,0.24,1.74,3.47,1.08,ectoderm
ENSG00000001084,GCLC,9.47,6.87,0.1,5.45,-0.94,9.47,6.87,ectoderm
ENSG00000001167,NFYA,4.3,4.35,3.11,4.43,1.24,4.3,4.35,ectoderm
ENSG00000001460,STPG1,16.12,6.43,0.52,0.04,0.66,16.12,6.43,ectoderm
ENSG00000001461,NIPAL3,32.83,7.03,4.14,5.16,2.29,32.83,7.03,ectoderm
ENSG00000001497,LAS1L,4.67,1.63,0.0,0.0,1.61,4.67,1.63,ectoderm
ENSG00000001561,ENPP4,6.35,0.26,0.1,1.38,4.97,6.35,0.26,ectoderm
ENSG00000001626,CFTR,0.0,0.52,0.0,0.08,0.87,0.0,0.52,ectoderm
ENSG00000001629,ANKIB1,2.67,0.49,0.01,0.84,1.41,2.67,0.49,ectoderm
ENSG00000001630,CYP51A1,2.06,1.13,2.87,0.02,-0.24,2.06,1.13,ectoderm
ENSG00000001631,KRIT1,15.11,7.09,2.92,1.94,0.73,15.11,7.09,ectoderm
ENSG00000002016,RAD52,0.0,0.81,0.12,0.48,0.6,0.0,0.81,ectoderm
ENSG00000002330,BAD,7.95,1.74,1.87,11.71,1.72,7.95,1.74,ectoderm
ENSG00000002549,LAP3,6.14,13.18,3.96,17.89,1.91,6.14,13.18,ectoderm
ENSG00000002587,HS3ST1,8.72,0.04,3.39,1.15,-1.26,8.72,0.04,ectoderm
ENSG00000002726,AOC1,2.29,3.78,1.5,0.04,0.19,2.29,3.78,ectoderm
ENSG00000002746,HECW1,4.87,7.53,1.42,0.11,-0.42,4.87,7.53,ectoderm
ENSG00000002822,MAD1L1,3.33,0.85,0.03,0.64,1.57,3.33,0.85,ectoderm
ENSG00000002834,LASP1,9.83,5.33,0.04,0.24,1.01,9.83,5.33,ectoderm
ENSG00000002919,SNX11,3.42,5.77,2.41,0.57,-0.38,3.42,5.77,ectoderm
ENSG00000002933,TMEM176A,1.81,0.55,0.16,0.48,1.52,1.81,0.55,ectoderm
ENSG00000003096,KLHL13,0.0,0.08,0.0,0.0,2.59,0.0,0.08,ectoderm
ENSG00000003137,CYP26B1,4.34,1.95,2.29,0.0,-1.92,4.34,1.95,ectoderm
ENSG00000003147,ICA1,0.0,0.26,0.29,0.0,1.64,0.0,0.26,ectoderm
ENSG00000003249,DBNDD1,23.96,0.85,2.3,10.2,2.9,23.96,0.85,ectoderm
ENSG00000003393,ALS2,22.65,4.28,1.28,5.05,-0.92,22.65,4.28,ectoderm
ENSG00000003400,CASP10,9.99,7.43,1.38,11.51,-0.77,9.99,7.43,ectoderm
ENSG00000003402,CFLAR,27.75,2.26,0.48,12.68,-0.83,27.75,2.26,ectoderm
ENSG00000003436,TFPI,4.87,5.48,0.21,1.72,1.04,4.87,5.48,ectoderm
ENSG00000003509,NDUFAF7,6.95,9.63,5.89,4.52,0.63,6.95,9.63,ectoderm
ENSG00000003756,RBM5,20.56,2.41,2.27,4.27,-1.42,20.56,2.41,ectoderm
ENSG00000003987,MTMR7,3.84,0.16,0.25,0.0,2.58,3.84,0.16,ectoderm
ENSG00000003989,SLC7A2,2.16,2.57,0.64,1.71,-0.35,2.16,2.57,ectoderm
ENSG00000004059,ARF5,17.12,1.53,1.5,14.5,2.54,17.12,1.53,ectoderm
ENSG00000004139,SARM1,1.62,1.02,1.38,0.17,-0.15,1.62,1.02,ectoderm
ENSG00000004399,PLXND1,4.26,2.27,0.25,1.54,0.99,4.26,2.27,ectoderm
ENSG00000004455,AK2,6.19,3.23,0.02,0.21,0.53,6.19,3.23,ectoderm
ENSG00000004468,CD38,2.12,12.86,1.71,1.22,-0.15,2.12,12.86,ectoderm
ENSG00000004478,FKBP4,5.56,6.14,0.26,8.23,1.58,5.56,6.14,ectoderm
ENSG00000004487,KDM1A,16.18,2.64,1.99,7.19,-0.96,16.18,2.64,ectoderm
ENSG00000004534,RBM6,3.52,7.38,4.09,0.29,-0.36,3.52,7.38,ectoderm
ENSG00000004660,CAMKK1,20.95,2.73,0.61,5.74,-1.15,20.95,2.73,ectoderm
ENSG00000004700,RECQL,10.51,0.24,0.01,4.15,2.5,10.51,0.24,ectoderm
ENSG00000004766,VPS50,17.15,2.24,3.54,4.07,-1.1,17.15,2.24,ectoderm
ENSG00000004776,HSPB6,1.35,1.64,0.3,0.0,1.14,1.35,1.64,ectoderm
ENSG00000004777,ARHGAP33,15.07,2.04,7.03,0.0,3.73,15.07,2.04,ectoderm
ENSG00000004779,NDUFAB1,10.93,3.33,0.14,10.43,2.61,10.93,3.33,ectoderm
ENSG00000004838,ZMYND10,5.68,0.24,0.06,0.0,2.97,5.68,0.24,ectoderm
ENSG00000004846,ABCB5,9.59,1.91,0.11,3.53,-0.83,9.59,1.91,ectoderm
ENSG00000004864,SLC25A13,2.19,2.42,0.33,0.06,0.89,2.19,2.42,ectoderm
ENSG00000004866,ST7,0.0,0.05,0.16,0.37,2.71,0.0,0.05,ectoderm
ENSG00000004897,CDC27,14.95,5.48,0.0,0.18,1.84,14.95,5.48,ectoderm
ENSG00000004939,SLC4A1,9.51,3.03,0.1,1.93,-0.78,9.51,3.03,ectoderm
ENSG00000004961,HCCS,0.0,2.67,1.01,2.83,0.5,0.0,2.67,ectoderm
ENSG00000004975,DVL2,5.77,1.37,0.23,0.11,1.44,5.77,1.37,ectoderm
ENSG00000005020,SKAP2,3.56,7.66,2.44,0.01,-1.02,3.56,7.66,ectoderm
ENSG00000005022,SLC25A5,6.46,6.59,1.61,2.28,1.81,6.46,6.59,ectoderm
ENSG00000005059,MCUB,4.35,0.52,0.08,1.93,2.32,4.35,0.52,ectoderm
ENSG00000005073,HOXA11,5.73,1.26,1.73,0.0,-2.49,5.73,1.26,ectoderm
ENSG00000005075,POLR2J,13.82,3.07,0.63,13.43,3.1,13.82,3.07,ectoderm
ENSG00000005100,DHX33,4.25,8.84,0.5,3.63,0.58,4.25,8.84,ectoderm
ENSG00000005102,MEOX1,0.0,0.37,0.0,0.18,1.67,0.0,0.37,ectoderm
ENSG00000005108,THSD7A,0.0,0.01,0.13,0.0,2.08,0.0,0.01,ectoderm
ENSG00000005156,LIG3,17.27,2.98,0.32,1.5,-0.65,17.27,2.98,ectoderm
ENSG00000005175,RPAP3,8.0,4.43,0.1,0.93,1.25,8.0,4.43,ectoderm
ENSG00000005187,ACSM3,8.77,0.83,0.0,0.0,2.0,8.77,0.83,ectoderm
ENSG00000005189,REXO5,5.0,0.73,0.18,0.58,2.71,5.0,0.73,ectoderm
ENSG00000005194,CIAPIN1,8.36,3.3,0.02,23.35,2.11,8.36,3.3,ectoderm
ENSG00000005206,SPPL2B,7.01,2.85,0.1,0.15,1.34,7.01,2.85,ectoderm
ENSG00000005238,FAM214B,1.54,3.28,0.6,4.51,0.28,1.54,3.28,ectoderm
ENSG00000005243,COPZ2,0.0,3.3,0.0,0.45,0.09,0.0,3.3,ectoderm
ENSG00000005249,PRKAR2B,7.09,0.09,0.96,0.33,2.74,7.09,0.09,ectoderm
ENSG00000005302,MSL3,0.0,0.7,0.04,0.17,0.23,0.0,0.7,ectoderm
ENSG00000005339,CREBBP,8.25,4.3,0.45,0.07,1.21,8.25,4.3,ectoderm
ENSG00000005379,TSPOAP1,7.49,3.22,2.18,0.03,1.72,7.49,3.22,ectoderm
ENSG00000005381,MPO,14.0,0.63,3.13,0.06,3.81,14.0,0.63,ectoderm
ENSG00000005421,PON1,4.06,0.59,0.0,0.34,-0.56,4.06,0.59,ectoderm
ENSG00000005436,GCFC2,9.68,2.77,0.59,1.9,2.03,9.68,2.77,ectoderm
ENSG00000005448,WDR54,26.77,1.1,2.21,0.21,1.22,26.77,1.1,ectoderm
ENSG00000005469,CROT,8.21,3.99,0.18,0.0,2.71,8.21,3.99,ectoderm
ENSG00000005471,ABCB4,0.0,0.01,0.15,0.0,2.71,0.0,0.01,ectoderm
ENSG00000005483,KMT2E,9.27,3.27,0.27,6.89,1.55,9.27,3.27,ectoderm
ENSG00000005486,RHBDD2,13.05,5.18,0.25,23.43,3.02,13.05,5.18,ectoderm
ENSG00000005513,SOX8,0.0,0.44,0.0,0.04,0.4,0.0,0.44,ectoderm
ENSG00000005700,IBTK,4.37,4.63,0.14,0.24,0.69,4.37,4.63,ectoderm
ENSG00000005801,ZNF195,7.16,3.12,1.57,0.24,-0.33,7.16,3.12,ectoderm
ENSG00000005810,MYCBP2,4.75,1.78,0.0,0.79,0.34,4.75,1.78,ectoderm
ENSG00000005812,FBXL3,7.8,2.44,1.85,0.0,0.65,7.8,2.44,ectoderm
ENSG00000005844,ITGAL,8.31,2.74,1.51,1.41,-0.77,8.31,2.74,ectoderm
ENSG00000005882,PDK2,18.63,2.65,0.29,1.41,3.45,18.63,2.65,ectoderm
ENSG00000005884,ITGA3,3.47,2.25,0.0,1.17,-0.24,3.47,2.25,ectoderm
ENSG00000005889,ZFX,6.71,6.03,0.09,2.15,0.84,6.71,6.03,ectoderm
ENSG00000005893,LAMP2,14.88,10.73,0.34,1.57,-0.78,14.88,10.73,ectoderm
ENSG00000005961,ITGA2B,4.82,3.12,0.01,0.0,0.42,4.82,3.12,ectoderm
ENSG00000005981,ASB4,0.0,0.01,0.0,0.05,2.34,0.0,0.01,ectoderm
ENSG00000006007,GDE1,18.36,4.02,0.28,9.98,2.87,18.36,4.02,ectoderm
ENSG00000006015,REX1BD,3.5,3.36,0.01,3.87,-0.08,3.5,3.36,ectoderm
ENSG00000006016,CRLF1,14.61,4.3,0.77,1.12,2.58,14.61,4.3,ectoderm
ENSG00000006025,OSBPL7,17.26,1.02,1.05,0.0,4.64,17.26,1.02,ectoderm
ENSG00000006042,TMEM98,9.46,9.41,0.62,0.03,-0.68,9.46,9.41,ectoderm
ENSG00000006047,YBX2,0.0,0.08,0.12,0.0,1.4,0.0,0.08,ectoderm
ENSG00000006059,KRT33A,0.0,0.12,0.0,0.0,3.02,0.0,0.12,ectoderm
ENSG00000006062,MAP3K14,5.18,1.56,0.07,0.66,2.41,5.18,1.56,ectoderm
ENSG00000006071,ABCC8,1.76,1.89,0.06,0.25,0.07,1.76,1.89,ectoderm
ENSG00000006116,CACNG3,0.0,0.16,0.0,0.22,2.55,0.0,0.16,ectoderm
ENSG00000006118,TMEM132A,2.68,3.62,2.21,0.0,0.89,2.68,3.62,ectoderm
ENSG00000006125,AP2B1,9.45,1.8,0.01,3.15,2.06,9.45,1.8,ectoderm
ENSG00000006128,TAC1,0.0,0.23,0.19,0.0,1.35,0.0,0.23,ectoderm
ENSG00000006194,ZNF263,10.35,3.41,1.22,6.49,2.26,10.35,3.41,ectoderm
ENSG00000006210,CX3CL1,7.86,2.27,0.22,2.79,-0.88,7.86,2.27,ectoderm
ENSG00000006282,SPATA20,4.26,8.58,5.64,0.0,-0.93,4.26,8.58,ectoderm
ENSG00000006283,CACNA1G,3.79,0.97,0.04,0.46,1.49,3.79,0.97,ectoderm
ENSG00000006327,TNFRSF12A,4.11,0.9,0.15,0.3,0.93,4.11,0.9,ectoderm
ENSG00000006377,DLX6,8.97,0.77,0.13,0.03,4.25,8.97,0.77,ectoderm
ENSG00000006432,MAP3K9,23.89,1.05,0.3,10.21,1.05,23.89,1.05,ectoderm
ENSG00000006451,RALA,9.07,2.01,0.56,3.15,2.16,9.07,2.01,ectoderm
ENSG00000006453,BAIAP2L1,9.08,0.3,0.47,0.64,1.57,9.08,0.3,ectoderm
ENSG00000006468,ETV1,10.52,5.74,2.23,0.57,2.89,10.52,5.74,ectoderm
ENSG00000006530,AGK,3.66,3.33,3.12,0.0,-0.31,3.66,3.33,ectoderm
ENSG00000006534,ALDH3B1,18.15,4.84,0.68,2.26,-1.2,18.15,4.84,ectoderm
ENSG00000006555,TTC22,9.63,6.46,1.72,0.96,-1.39,9.63,6.46,ectoderm
ENSG00000006576,PHTF2,8.32,1.22,0.23,0.75,2.05,8.32,1.22,ectoderm
ENSG00000006606,CCL26,6.89,0.49,5.24,0.0,5.05,6.89,0.49,ectoderm
ENSG00000006607,FARP2,19.25,2.04,0.14,0.47,1.34,19.25,2.04,ectoderm
ENSG00000006611,USH1C,3.73,0.07,1.86,0.0,3.24,3.73,0.07,ectoderm
ENSG00000006625,GGCT,23.41,0.93,7.07,9.6,4.25,23.41,0.93,ectoderm
ENSG00000006634,DBF4,16.96,3.52,0.14,7.41,2.9,16.96,3.52,ectoderm
ENSG00000006638,TBXA2R,40.03,2.23,1.46,8.61,-1.28,40.03,2.23,ectoderm
ENSG00000006652,IFRD1,1.93,0.13,0.68,0.0,-0.45,1.93,0.13,ectoderm
ENSG00000006659,LGALS14,0.0,0.27,0.0,0.22,1.35,0.0,0.27,ectoderm
ENSG00000006695,COX10,11.83,3.88,6.57,0.92,-0.96,11.83,3.88,ectoderm
ENSG00000006704,GTF2IRD1,1.75,0.36,2.66,1.55,0.09,1.75,0.36,ectoderm
ENSG00000006712,PAF1,0.0,0.21,0.14,0.44,1.37,0.0,0.21,ectoderm
ENSG00000006715,VPS41,24.81,8.81,1.95,2.91,-1.74,24.81,8.81,ectoderm
ENSG00000006740,ARHGAP44,5.86,0.67,0.29,0.03,0.97,5.86,0.67,ectoderm
ENSG00000006744,ELAC2,27.25,5.67,0.57,11.81,3.61,27.25,5.67,ectoderm
ENSG00000006747,SCIN,7.66,3.98,0.4,0.77,-0.59,7.66,3.98,ectoderm
ENSG00000006756,ARSD,11.45,3.56,1.73,0.22,1.13,11.45,3.56,ectoderm
ENSG00000006757,PNPLA4,3.99,2.06,0.64,1.3,1.77,3.99,2.06,ectoderm
ENSG00000006831,ADIPOR2,8.58,1.89,0.41,18.36,2.19,8.58,1.89,ectoderm
ENSG00000006837,CDKL3,6.96,0.74,0.03,0.45,2.18,6.96,0.74,ectoderm
ENSG00000007038,PRSS21,0.0,0.72,1.78,0.0,3.02,0.0,0.72,ectoderm
ENSG00000007047,MARK4,5.41,3.62,3.43,0.44,0.71,5.41,3.62,ectoderm
ENSG00000007062,PROM1,5.82,0.32,0.04,0.1,2.31,5.82,0.32,ectoderm
ENSG00000007080,CCDC124,26.1,5.32,0.68,23.25,3.75,26.1,5.32,ectoderm
ENSG00000007129,CEACAM21,0.0,0.09,0.0,0.0,1.97,0.0,0.09,ectoderm
ENSG00000007168,PAFAH1B1,1.61,3.98,0.71,0.02,0.04,1.61,3.98,ectoderm
ENSG00000007171,NOS2,8.63,1.73,0.0,2.89,2.95,8.63,1.73,ectoderm
ENSG00000007174,DNAH9,12.77,5.81,0.0,1.18,-1.02,12.77,5.81,ectoderm
ENSG00000007202,KIAA0100,7.68,5.05,0.01,0.13,1.61,7.68,5.05,ectoderm
ENSG00000007237,GAS7,2.63,12.93,3.71,3.2,-0.21,2.63,12.93,ectoderm
ENSG00000007255,TRAPPC6A,18.41,2.15,3.06,13.61,3.08,18.41,2.15,ectoderm
ENSG00000007264,MATK,13.14,6.78,5.2,0.18,2.03,13.14,6.78,ectoderm
ENSG00000007312,CD79B,4.46,1.49,0.24,0.15,2.35,4.46,1.49,ectoderm
ENSG00000007314,SCN4A,7.59,3.43,1.05,0.21,2.41,7.59,3.43,ectoderm
ENSG00000007341,ST7L,17.6,7.06,1.51,0.3,-1.14,17.6,7.06,ectoderm
ENSG00000007350,TKTL1,0.0,0.11,0.01,0.0,2.34,0.0,0.11,ectoderm
ENSG00000007372,PAX6,77.4,14.83,0.6,44.85,8.41,77.4,14.83,ectoderm
ENSG00000007376,RPUSD1,5.84,1.88,0.05,0.0,1.51,5.84,1.88,ectoderm
ENSG00000007384,RHBDF1,0.0,1.5,0.0,0.32,0.7,0.0,1.5,ectoderm
ENSG00000007392,LUC7L,25.24,5.19,1.16,36.48,2.09,25.24,5.19,ectoderm
ENSG00000007516,BAIAP3,17.81,0.98,0.14,4.87,2.28,17.81,0.98,ectoderm
ENSG00000007520,TSR3,23.08,1.55,2.82,14.98,2.85,23.08,1.55,ectoderm
ENSG00000007541,PIGQ,22.37,1.82,0.05,1.4,1.89,22.37,1.82,ectoderm
ENSG00000007545,CRAMP1,7.34,2.79,0.91,1.05,1.6,7.34,2.79,ectoderm
ENSG00000007866,TEAD3,8.21,11.37,0.33,33.04,1.72,8.21,11.37,ectoderm
ENSG00000007908,SELE,0.0,0.15,0.03,0.0,2.82,0.0,0.15,ectoderm
ENSG00000007923,DNAJC11,2.71,1.51,0.2,0.15,0.17,2.71,1.51,ectoderm
ENSG00000007933,FMO3,15.38,5.16,0.38,2.9,-1.53,15.38,5.16,ectoderm
ENSG00000007944,MYLIP,5.51,4.15,0.33,6.99,1.59,5.51,4.15,ectoderm
ENSG00000007968,E2F2,39.08,6.09,4.78,6.6,-1.82,39.08,6.09,ectoderm
ENSG00000008018,PSMB1,6.26,2.95,0.24,2.29,1.59,6.26,2.95,ectoderm
ENSG00000008056,SYN1,7.66,0.55,0.75,0.0,5.8,7.66,0.55,ectoderm
ENSG00000008083,JARID2,13.4,3.07,4.54,13.8,2.73,13.4,3.07,ectoderm
ENSG00000008086,CDKL5,44.01,5.15,2.31,12.67,-1.51,44.01,5.15,ectoderm
ENSG00000008118,CAMK1G,0.0,0.86,0.12,0.0,3.28,0.0,0.86,ectoderm
ENSG00000008128,CDK11A,15.6,0.29,0.06,0.19,2.81,15.6,0.29,ectoderm
ENSG00000008130,NADK,8.02,2.82,2.38,0.02,1.71,8.02,2.82,ectoderm
ENSG00000008196,TFAP2B,6.62,0.69,0.0,1.94,3.52,6.62,0.69,ectoderm
ENSG00000008226,DLEC1,2.49,3.01,0.54,0.3,0.55,2.49,3.01,ectoderm
ENSG00000008256,CYTH3,8.49,2.44,0.61,0.34,2.33,8.49,2.44,ectoderm
ENSG00000008277,ADAM22,0.0,0.03,0.0,0.06,1.94,0.0,0.03,ectoderm
ENSG00000008282,SYPL1,8.96,2.85,0.16,1.82,1.32,8.96,2.85,ectoderm
ENSG00000008283,CYB561,3.44,9.33,0.3,10.0,0.39,3.44,9.33,ectoderm
ENSG00000008294,SPAG9,1.55,8.04,0.58,2.61,-0.02,1.55,8.04,ectoderm
ENSG00000008300,CELSR3,26.59,1.71,16.26,0.19,3.85,26.59,1.71,ectoderm
ENSG00000008311,AASS,34.44,5.23,0.88,2.95,-1.12,34.44,5.23,ectoderm
ENSG00000008323,PLEKHG6,0.67,2.05,0.17,0.19,0.38,0.67,2.05,ectoderm
ENSG00000008324,SS18L2,6.82,5.35,0.61,0.73,0.67,6.82,5.35,ectoderm
ENSG00000008382,MPND,7.9,1.93,0.08,1.61,2.66,7.9,1.93,ectoderm
ENSG00000008394,MGST1,19.13,1.22,1.94,0.08,2.04,19.13,1.22,ectoderm
ENSG00000008441,NFIX,0.0,0.7,0.05,0.42,0.76,0.0,0.7,ectoderm
ENSG00000008513,ST3GAL1,6.55,5.66,6.72,0.13,-1.61,6.55,5.66,ectoderm
ENSG00000008516,MMP25,0.0,0.43,0.69,0.51,0.39,0.0,0.43,ectoderm
ENSG00000008517,IL32,10.68,0.22,0.11,1.75,-1.95,10.68,0.22,ectoderm
ENSG00000008710,PKD1,3.08,3.25,0.16,1.11,0.06,3.08,3.25,ectoderm
ENSG00000008735,MAPK8IP2,1.33,4.2,0.11,0.45,-0.04,1.33,4.2,ectoderm
ENSG00000008838,MED24,2.17,8.26,0.39,0.0,0.41,2.17,8.26,ectoderm
ENSG00000008853,RHOBTB2,0.0,6.73,0.56,4.6,0.17,0.0,6.73,ectoderm
ENSG00000008869,HEATR5B,7.66,0.81,0.0,1.23,4.16,7.66,0.81,ectoderm
ENSG00000008952,SEC62,8.9,3.49,0.14,0.75,0.75,8.9,3.49,ectoderm
ENSG00000008988,RPS20,5.74,3.53,0.13,0.34,-0.29,5.74,3.53,ectoderm
ENSG00000009307,CSDE1,20.93,2.74,0.36,20.36,2.3,20.93,2.74,ectoderm
ENSG00000009335,UBE3C,1.94,8.54,0.13,5.77,0.07,1.94,8.54,ectoderm
ENSG00000009413,REV3L,18.85,2.43,0.27,2.72,1.54,18.85,2.43,ectoderm
ENSG00000009694,TENM1,0.0,0.17,0.0,0.0,1.71,0.0,0.17,ectoderm
ENSG00000009709,PAX7,0.0,0.75,1.11,0.1,0.12,0.0,0.75,ectoderm
ENSG00000009724,MASP2,0.0,1.08,1.56,0.17,0.03,0.0,1.08,ectoderm
ENSG00000009765,IYD,23.08,3.67,0.61,19.24,-1.07,23.08,3.67,ectoderm
ENSG00000009780,FAM76A,12.83,14.12,1.68,7.11,1.26,12.83,14.12,ectoderm
ENSG00000009790,TRAF3IP3,8.54,0.07,0.0,0.67,3.56,8.54,0.07,ectoderm
ENSG00000009830,POMT2,2.94,1.45,0.82,0.58,-0.34,2.94,1.45,ectoderm
ENSG00000009844,VTA1,6.27,3.89,0.17,1.55,0.64,6.27,3.89,ectoderm
ENSG00000009950,MLXIPL,21.11,3.12,0.59,3.96,-1.06,21.11,3.12,ectoderm
ENSG00000009954,BAZ1B,0.68,7.45,1.86,4.66,0.22,0.68,7.45,ectoderm
ENSG00000010017,RANBP9,2.77,0.8,0.62,0.17,2.47,2.77,0.8,ectoderm
ENSG00000010030,ETV7,0.0,0.08,0.0,0.03,1.21,0.0,0.08,ectoderm
ENSG00000010072,SPRTN,8.0,0.88,0.32,1.76,3.68,8.0,0.88,ectoderm
ENSG00000010165,METTL13,0.0,0.47,0.54,0.3,0.4,0.0,0.47,ectoderm
ENSG00000010219,DYRK4,0.0,0.45,1.78,0.1,0.52,0.0,0.45,ectoderm
ENSG00000010244,ZNF207,10.1,6.81,0.82,0.0,0.88,10.1,6.81,ectoderm
ENSG00000010256,UQCRC1,10.45,2.71,0.15,0.03,2.11,10.45,2.71,ectoderm
ENSG00000010270,STARD3NL,14.57,7.43,0.25,25.81,2.66,14.57,7.43,ectoderm
ENSG00000010278,CD9,7.1,2.77,0.5,0.33,0.83,7.1,2.77,ectoderm
ENSG00000010282,HHATL,3.18,0.32,0.0,0.0,3.1,3.18,0.32,ectoderm
ENSG00000010292,NCAPD2,14.23,9.06,0.84,14.77,1.94,14.23,9.06,ectoderm
ENSG00000010295,IFFO1,5.86,11.5,3.27,2.67,-0.62,5.86,11.5,ectoderm
ENSG00000010310,GIPR,5.35,2.07,1.03,0.34,-0.71,5.35,2.07,ectoderm
ENSG00000010318,PHF7,15.0,3.26,1.63,1.31,3.64,15.0,3.26,ectoderm
ENSG00000010322,NISCH,17.27,2.58,0.02,0.79,2.72,17.27,2.58,ectoderm
ENSG00000010327,STAB1,8.33,2.97,1.27,0.02,1.77,8.33,2.97,ectoderm
ENSG00000010361,FUZ,7.15,2.12,0.37,0.03,1.79,7.15,2.12,ectoderm
ENSG00000010379,SLC6A13,0.0,0.05,0.0,0.0,2.26,0.0,0.05,ectoderm
ENSG00000010404,IDS,2.64,3.31,0.26,0.04,0.06,2.64,3.31,ectoderm
ENSG00000010438,PRSS3,3.84,0.05,0.77,0.0,4.08,3.84,0.05,ectoderm
ENSG00000010539,ZNF200,46.04,5.81,2.42,5.57,-2.02,46.04,5.81,ectoderm
ENSG00000010610,CD4,3.59,0.2,0.84,0.0,2.73,3.59,0.2,ectoderm
ENSG00000010626,LRRC23,19.35,0.96,2.42,0.0,3.66,19.35,0.96,ectoderm
ENSG00000010671,BTK,11.29,2.39,0.48,2.53,-0.81,11.29,2.39,ectoderm
ENSG00000010704,HFE,7.79,5.04,0.11,2.71,-0.51,7.79,5.04,ectoderm
ENSG00000010803,SCMH1,0.79,2.99,0.39,0.0,-0.22,0.79,2.99,ectoderm
ENSG00000010810,FYN,9.57,2.95,0.71,0.0,-0.46,9.57,2.95,ectoderm
ENSG00000010818,HIVEP2,0.31,4.08,1.89,0.86,0.63,0.31,4.08,ectoderm
ENSG00000010932,FMO1,0.0,0.87,0.0,0.0,2.04,0.0,0.87,ectoderm
ENSG00000011007,ELOA,4.89,0.86,0.29,1.79,1.45,4.89,0.86,ectoderm
ENSG00000011009,LYPLA2,17.24,4.08,0.8,16.86,2.64,17.24,4.08,ectoderm
ENSG00000011021,CLCN6,15.11,2.42,0.52,5.35,-0.85,15.11,2.42,ectoderm
ENSG00000011028,MRC2,7.64,3.75,0.07,0.05,2.02,7.64,3.75,ectoderm
ENSG00000011052,NME1-NME2,15.07,5.25,0.87,18.29,2.39,15.07,5.25,ectoderm
ENSG00000011083,SLC6A7,6.6,1.62,0.45,0.03,2.3,6.6,1.62,ectoderm
ENSG00000011114,BTBD7,20.39,1.08,0.31,0.67,1.45,20.39,1.08,ectoderm
ENSG00000011132,APBA3,16.01,8.95,1.57,2.73,-1.47,16.01,8.95,ectoderm
ENSG00000011143,MKS1,3.69,4.75,2.86,3.95,0.54,3.69,4.75,ectoderm
ENSG00000011198,ABHD5,23.08,17.43,0.3,2.8,-1.58,23.08,17.43,ectoderm
ENSG00000011201,ANOS1,12.3,0.79,0.77,0.0,4.75,12.3,0.79,ectoderm
ENSG00000011243,AKAP8L,9.22,10.25,0.9,15.11,2.36,9.22,10.25,ectoderm
ENSG00000011258,MBTD1,3.99,6.63,0.41,1.07,0.45,3.99,6.63,ectoderm
ENSG00000011260,UTP18,8.28,2.72,0.02,1.46,2.32,8.28,2.72,ectoderm
ENSG00000011275,RNF216,3.31,10.52,0.58,0.02,0.31,3.31,10.52,ectoderm
ENSG00000011295,TTC19,4.1,10.43,0.73,0.93,-0.14,4.1,10.43,ectoderm
ENSG00000011304,PTBP1,13.5,3.83,0.0,2.61,1.92,13.5,3.83,ectoderm
ENSG00000011332,DPF1,19.09,6.93,3.96,5.67,2.76,19.09,6.93,ectoderm
ENSG00000011347,SYT7,2.69,4.54,0.22,6.42,0.89,2.69,4.54,ectoderm
ENSG00000011376,LARS2,4.28,2.0,0.03,0.48,0.53,4.28,2.0,ectoderm
ENSG00000011405,PIK3C2A,5.99,5.53,0.68,4.58,0.68,5.99,5.53,ectoderm
ENSG00000011422,PLAUR,3.79,3.66,0.07,0.3,-0.73,3.79,3.66,ectoderm
ENSG00000011426,ANLN,6.39,2.31,0.16,2.13,2.14,6.39,2.31,ectoderm
ENSG00000011451,WIZ,7.95,4.9,0.22,0.69,1.67,7.95,4.9,ectoderm
ENSG00000011454,RABGAP1,6.19,4.9,0.05,10.89,0.45,6.19,4.9,ectoderm
ENSG00000011465,DCN,0.0,1.14,0.04,0.31,0.27,0.0,1.14,ectoderm
ENSG00000011478,QPCTL,26.82,4.38,0.9,4.04,-1.13,26.82,4.38,ectoderm
ENSG00000011485,PPP5C,6.73,4.66,0.13,0.0,1.23,6.73,4.66,ectoderm
ENSG00000011523,CEP68,0.84,2.7,0.54,0.76,-0.03,0.84,2.7,ectoderm
ENSG00000011566,MAP4K3,0.0,0.23,0.35,0.17,1.28,0.0,0.23,ectoderm
ENSG00000011600,TYROBP,0.0,0.06,0.0,0.0,3.34,0.0,0.06,ectoderm
ENSG00000011638,LDAF1,22.39,2.61,5.17,0.1,1.67,22.39,2.61,ectoderm
ENSG00000012048,BRCA1,3.76,4.17,1.19,9.13,0.4,3.76,4.17,ectoderm
