Gene,GeneName,LRT_stat,stat_full,LRT_day2,LRT_day7,log2FoldChange,x_lrt,y_stat_full,panel_lineage
ENSG00000113555,PCDH12,3.51,3.42,1.38,0.0,-2.14,3.51,3.42,mesoderm
ENSG00000113558,SKP1,11.71,3.33,0.76,0.03,-0.16,11.71,3.33,mesoderm
ENSG00000113569,NUP155,8.08,2.22,1.34,0.76,0.47,8.08,2.22,mesoderm
ENSG00000113575,PPP2CA,1.01,4.13,4.19,2.51,-0.18,1.01,4.13,mesoderm
ENSG00000113578,FGF1,2.97,0.68,0.0,0.36,-3.31,2.97,0.68,mesoderm
ENSG00000113580,NR3C1,9.35,2.21,11.86,0.05,2.85,9.35,2.21,mesoderm
ENSG00000113583,C5orf15,2.18,0.68,0.0,0.01,-3.01,2.18,0.68,mesoderm
ENSG00000113593,PPWD1,2.04,0.94,0.12,0.46,-1.03,2.04,0.94,mesoderm
ENSG00000113594,LIFR,16.6,0.96,3.57,0.11,1.11,16.6,0.96,mesoderm
ENSG00000113597,TRAPPC13,3.75,1.97,8.49,0.44,1.06,3.75,1.97,mesoderm
ENSG00000113615,SEC24A,12.62,1.64,7.36,0.29,1.98,12.62,1.64,mesoderm
ENSG00000113621,TXNDC15,3.51,5.82,0.36,1.2,0.25,3.51,5.82,mesoderm
ENSG00000113638,TTC33,1.49,4.79,0.32,0.02,-0.32,1.49,4.79,mesoderm
ENSG00000113643,RARS1,1.07,4.61,0.52,3.37,-0.36,1.07,4.61,mesoderm
ENSG00000113645,WWC1,4.64,2.47,0.11,1.12,0.43,4.64,2.47,mesoderm
ENSG00000113648,MACROH2A1,0.7,1.8,0.3,1.54,0.12,0.7,1.8,mesoderm
ENSG00000113649,TCERG1,1.34,5.91,0.9,1.75,-0.47,1.34,5.91,mesoderm
ENSG00000113657,DPYSL3,13.82,0.8,0.43,4.28,-3.03,13.82,0.8,mesoderm
ENSG00000113658,SMAD5,0.88,0.86,1.53,0.58,-0.07,0.88,0.86,mesoderm
ENSG00000113712,CSNK1A1,4.87,0.56,0.64,1.87,-0.64,4.87,0.56,mesoderm
ENSG00000113716,HMGXB3,1.35,1.09,5.69,1.27,0.72,1.35,1.09,mesoderm
ENSG00000113719,ERGIC1,6.04,4.28,0.48,0.1,0.31,6.04,4.28,mesoderm
ENSG00000113721,PDGFRB,3.12,0.57,1.21,0.1,-1.63,3.12,0.57,mesoderm
ENSG00000113722,CDX1,2.32,1.48,15.8,0.0,1.42,2.32,1.48,mesoderm
ENSG00000113732,ATP6V0E1,1.03,1.56,0.74,2.81,0.2,1.03,1.56,mesoderm
ENSG00000113734,BNIP1,0.0,0.43,1.61,0.25,-0.1,0.0,0.43,mesoderm
ENSG00000113739,STC2,3.01,1.74,0.69,0.37,-1.89,3.01,1.74,mesoderm
ENSG00000113742,CPEB4,4.98,1.18,11.63,0.55,1.38,4.98,1.18,mesoderm
ENSG00000113749,HRH2,0.0,1.21,0.0,0.2,-0.74,0.0,1.21,mesoderm
ENSG00000113758,DBN1,2.2,7.81,0.2,5.03,-0.61,2.2,7.81,mesoderm
ENSG00000113761,ZNF346,6.27,1.13,3.35,2.96,0.15,6.27,1.13,mesoderm
ENSG00000113763,UNC5A,8.79,0.21,2.15,0.49,-4.69,8.79,0.21,mesoderm
ENSG00000113810,SMC4,1.67,2.25,12.41,4.53,-0.56,1.67,2.25,mesoderm
ENSG00000113811,SELENOK,6.72,2.5,0.65,4.41,0.04,6.72,2.5,mesoderm
ENSG00000113812,ACTR8,1.98,1.71,9.33,0.47,-1.03,1.98,1.71,mesoderm
ENSG00000113838,TBCCD1,10.52,4.62,1.71,5.1,0.5,10.52,4.62,mesoderm
ENSG00000113845,TIMMDC1,0.0,2.19,3.63,0.65,0.0,0.0,2.19,mesoderm
ENSG00000113851,CRBN,1.98,2.05,0.04,0.37,-0.21,1.98,2.05,mesoderm
ENSG00000113889,KNG1,10.92,2.76,0.18,0.44,0.93,10.92,2.76,mesoderm
ENSG00000113905,HRG,3.47,6.84,2.06,1.44,0.29,3.47,6.84,mesoderm
ENSG00000113916,BCL6,5.17,0.14,0.04,0.66,-2.21,5.17,0.14,mesoderm
ENSG00000113946,CLDN16,0.93,5.93,5.71,0.84,-0.07,0.93,5.93,mesoderm
ENSG00000113966,ARL6,0.0,0.01,0.0,0.0,-2.16,0.0,0.01,mesoderm
ENSG00000113971,NPHP3,4.83,5.29,1.93,0.54,-0.26,4.83,5.29,mesoderm
ENSG00000114019,AMOTL2,6.65,1.55,0.24,7.0,-1.84,6.65,1.55,mesoderm
ENSG00000114021,NIT2,5.39,4.17,1.75,0.23,-0.51,5.39,4.17,mesoderm
ENSG00000114023,FAM162A,9.43,0.6,0.02,3.58,-2.12,9.43,0.6,mesoderm
ENSG00000114026,OGG1,4.68,3.89,0.0,0.15,-0.53,4.68,3.89,mesoderm
ENSG00000114030,KPNA1,0.74,0.06,1.63,0.28,0.11,0.74,0.06,mesoderm
ENSG00000114054,PCCB,13.97,2.14,0.02,1.23,-2.84,13.97,2.14,mesoderm
ENSG00000114062,UBE3A,4.63,0.62,2.26,0.01,0.59,4.63,0.62,mesoderm
ENSG00000114098,ARMC8,10.73,2.27,0.01,1.84,-1.08,10.73,2.27,mesoderm
ENSG00000114107,CEP70,3.86,2.24,1.04,0.96,-1.77,3.86,2.24,mesoderm
ENSG00000114113,RBP2,0.0,0.04,0.0,0.0,-2.89,0.0,0.04,mesoderm
ENSG00000114115,RBP1,10.33,1.36,7.99,0.0,1.55,10.33,1.36,mesoderm
ENSG00000114120,SLC25A36,1.3,6.18,0.4,3.04,0.32,1.3,6.18,mesoderm
ENSG00000114124,GRK7,2.62,1.86,0.24,0.03,-0.71,2.62,1.86,mesoderm
ENSG00000114125,RNF7,5.01,1.2,0.01,0.75,-0.42,5.01,1.2,mesoderm
ENSG00000114126,TFDP2,2.0,4.33,0.2,0.63,0.09,2.0,4.33,mesoderm
ENSG00000114127,XRN1,11.08,6.37,0.38,2.83,0.55,11.08,6.37,mesoderm
ENSG00000114166,KAT2B,0.0,0.36,1.32,0.19,-1.53,0.0,0.36,mesoderm
ENSG00000114209,PDCD10,3.67,4.63,2.16,6.75,-0.63,3.67,4.63,mesoderm
ENSG00000114248,LRRC31,0.0,0.49,0.69,0.0,-3.14,0.0,0.49,mesoderm
ENSG00000114251,WNT5A,10.03,2.88,7.03,0.67,3.35,10.03,2.88,mesoderm
ENSG00000114268,PFKFB4,1.97,4.97,8.26,0.77,0.58,1.97,4.97,mesoderm
ENSG00000114270,COL7A1,2.38,1.35,0.01,0.07,0.43,2.38,1.35,mesoderm
ENSG00000114279,FGF12,4.8,7.45,1.75,2.03,0.41,4.8,7.45,mesoderm
ENSG00000114302,PRKAR2A,3.16,0.72,1.12,0.86,-0.37,3.16,0.72,mesoderm
ENSG00000114315,HES1,8.18,1.1,8.61,0.05,1.96,8.18,1.1,mesoderm
ENSG00000114316,USP4,2.18,2.19,0.19,0.14,-0.01,2.18,2.19,mesoderm
ENSG00000114331,ACAP2,3.21,4.97,0.02,0.08,-0.1,3.21,4.97,mesoderm
ENSG00000114346,ECT2,2.08,7.38,2.03,1.1,-0.11,2.08,7.38,mesoderm
ENSG00000114349,GNAT1,4.8,0.29,0.75,0.35,-3.52,4.8,0.29,mesoderm
ENSG00000114353,GNAI2,12.38,4.63,1.43,1.02,-0.63,12.38,4.63,mesoderm
ENSG00000114354,TFG,3.47,6.3,5.62,1.71,0.98,3.47,6.3,mesoderm
ENSG00000114374,USP9Y,2.08,7.13,6.99,0.31,-0.25,2.08,7.13,mesoderm
ENSG00000114378,HYAL1,0.0,1.31,2.36,0.0,0.08,0.0,1.31,mesoderm
ENSG00000114383,TUSC2,2.33,8.83,0.12,4.78,-0.74,2.33,8.83,mesoderm
ENSG00000114388,NPRL2,5.58,0.06,4.92,1.14,-2.42,5.58,0.06,mesoderm
ENSG00000114391,RPL24,13.42,0.52,0.01,5.7,-1.94,13.42,0.52,mesoderm
ENSG00000114395,CYB561D2,2.21,0.1,0.19,0.16,0.91,2.21,0.1,mesoderm
ENSG00000114405,C3orf14,1.21,0.35,1.21,1.1,-1.09,1.21,0.35,mesoderm
ENSG00000114416,FXR1,1.55,2.75,0.04,2.3,-0.48,1.55,2.75,mesoderm
ENSG00000114423,CBLB,4.17,3.17,3.47,0.8,1.11,4.17,3.17,mesoderm
ENSG00000114439,BBX,5.57,0.65,0.01,1.27,-1.78,5.57,0.65,mesoderm
ENSG00000114446,IFT57,4.49,1.61,8.0,1.38,-0.65,4.49,1.61,mesoderm
ENSG00000114450,GNB4,4.31,1.99,16.76,0.08,0.4,4.31,1.99,mesoderm
ENSG00000114455,HHLA2,0.0,4.96,0.2,0.0,-1.2,0.0,4.96,mesoderm
ENSG00000114473,IQCG,5.99,1.15,1.53,0.02,-1.33,5.99,1.15,mesoderm
ENSG00000114491,UMPS,1.2,1.4,0.46,1.14,-0.16,1.2,1.4,mesoderm
ENSG00000114503,NCBP2,1.48,3.96,0.06,1.87,-0.36,1.48,3.96,mesoderm
ENSG00000114520,SNX4,0.7,0.26,2.85,0.08,0.17,0.7,0.26,mesoderm
ENSG00000114529,C3orf52,10.84,0.52,7.26,0.0,2.39,10.84,0.52,mesoderm
ENSG00000114541,FRMD4B,6.3,1.75,0.0,0.43,0.24,6.3,1.75,mesoderm
ENSG00000114544,SLC41A3,0.0,1.31,2.55,0.26,-0.24,0.0,1.31,mesoderm
ENSG00000114547,ROPN1B,4.76,0.14,0.0,0.37,-5.16,4.76,0.14,mesoderm
ENSG00000114554,PLXNA1,10.7,3.48,0.05,0.51,-1.63,10.7,3.48,mesoderm
ENSG00000114573,ATP6V1A,7.27,5.94,0.77,0.47,-0.31,7.27,5.94,mesoderm
ENSG00000114626,ABTB1,3.92,1.37,4.29,0.01,0.84,3.92,1.37,mesoderm
ENSG00000114631,PODXL2,0.0,0.52,3.87,0.52,-1.42,0.0,0.52,mesoderm
ENSG00000114638,UPK1B,4.52,3.05,0.01,0.24,-0.41,4.52,3.05,mesoderm
ENSG00000114646,CSPG5,2.19,0.93,0.69,0.31,-2.35,2.19,0.93,mesoderm
ENSG00000114648,KLHL18,2.25,1.75,2.48,0.0,-0.17,2.25,1.75,mesoderm
ENSG00000114650,SCAP,10.13,1.98,1.01,1.55,-0.52,10.13,1.98,mesoderm
ENSG00000114654,EFCC1,2.61,0.22,0.71,0.06,-3.0,2.61,0.22,mesoderm
ENSG00000114656,CFAP92,10.74,6.8,5.68,0.0,-0.84,10.74,6.8,mesoderm
ENSG00000114670,NEK11,0.0,0.06,0.02,0.0,-2.71,0.0,0.06,mesoderm
ENSG00000114686,MRPL3,1.35,0.7,0.03,0.01,-0.47,1.35,0.7,mesoderm
ENSG00000114698,PLSCR4,6.22,0.25,0.04,0.0,-3.32,6.22,0.25,mesoderm
ENSG00000114735,HEMK1,2.06,5.63,0.85,1.04,0.07,2.06,5.63,mesoderm
ENSG00000114737,CISH,2.15,1.01,0.14,0.03,-1.57,2.15,1.01,mesoderm
