sn_sample,lysate_sample,log10_enrichment_factor
24L006479,24L006460,-0.17249053238330772
24L006479,24L006460,-0.191284596613599
24L006479,24L006460,-0.6562653088352627
24L006479,24L006460,-0.5654140086328439
24L006479,24L006460,-0.7152523846904068
24L006479,24L006460,-0.9169103719795341
24L006479,24L006460,0.8223997061578127
24L006479,24L006460,0.41744040362926904
24L006479,24L006460,-0.5322101932632968
24L006479,24L006460,-0.9872154552136864
24L006479,24L006460,-0.23141266101456076
24L006479,24L006460,0.12962725517355986
24L006479,24L006460,-1.508499681993142
24L006479,24L006460,-0.7230500410125683
24L006479,24L006460,0.2413663022253718
24L006479,24L006460,0.17729875226246614
24L006479,24L006460,-1.1326069556820497
24L006479,24L006460,-1.2687367421986293
24L006479,24L006460,0.44337744781457955
24L006479,24L006460,-0.01617376255955995
24L006479,24L006460,-0.35678164625548037
24L006479,24L006460,-0.4050297905145685
24L006479,24L006460,1.0276109631910086
24L006479,24L006460,-0.5702945950918636
24L006479,24L006460,-0.18089481433507923
24L006479,24L006460,0.40369503099090664
24L006479,24L006460,-1.201628362135231
24L006479,24L006460,-0.431744936466941
24L006479,24L006460,0.062353903064558465
24L006479,24L006460,-0.963255739254682
24L006479,24L006460,0.3683210282012839
24L006479,24L006460,-0.348201899460991
24L006479,24L006460,0.0811353256059837
24L006479,24L006460,-0.2807280648480414
24L006479,24L006460,-0.2789159851040632
24L006479,24L006460,-0.6839195885705872
24L006479,24L006460,0.21512828435847178
24L006479,24L006460,-0.25298330049853157
24L006479,24L006460,-0.04115588570545796
24L006479,24L006460,-0.018449604384253915
24L006479,24L006460,-1.1099096218644628
24L006479,24L006460,-0.43517299917477253
24L006479,24L006460,-0.38806045452913124
24L006479,24L006460,0.23048679644417583
24L006479,24L006460,-0.15080385584486228
24L006479,24L006460,-0.9270614502083809
24L006479,24L006460,0.4594745148237458
24L006479,24L006460,0.4962871784002081
24L006479,24L006460,-0.5983310519248087
24L006479,24L006460,-0.5412659495377707
24L006479,24L006460,0.46319789418994406
24L006479,24L006460,0.9027560138267023
24L006479,24L006460,-1.0728615026709387
24L006479,24L006460,-0.6486617931375043
24L006479,24L006460,0.012672454327076454
24L006479,24L006460,0.3567113538701677
24L006479,24L006460,-0.4455037034150009
24L006479,24L006460,0.2811795046803632
24L006479,24L006460,0.6377184662463944
24L006479,24L006460,-0.4609494981265368
24L006479,24L006460,0.17051632525962954
24L006479,24L006460,-0.13713636604803575
24L006479,24L006460,0.761049701920344
24L006479,24L006460,0.20737602836039432
24L006479,24L006460,-0.5335693960442225
24L006479,24L006460,-0.15618565504952842
24L006479,24L006460,-0.38009152485785586
24L006479,24L006460,0.16481789329451968
24L006479,24L006460,-0.5735294749881061
24L006479,24L006460,-0.18284160819970185
24L006479,24L006460,0.034470655059395096
24L006479,24L006460,-0.3411449850250045
24L006479,24L006460,-0.4376126784331218
24L006479,24L006460,-0.05407745333294458
24L006479,24L006460,-0.11112651615520715
24L006479,24L006460,0.3130632174913377
24L006479,24L006460,0.34634393148647113
24L006479,24L006460,-0.742445122504309
24L006479,24L006460,-1.1359245020485402
24L006479,24L006460,0.3116843840568485
24L006479,24L006460,0.2921189074292088
24L006479,24L006460,-0.11884537676627141
24L006479,24L006460,-0.09445415070555067
24L006479,24L006460,-0.35395247671489954
24L006479,24L006460,-0.8498024564554866
24L006479,24L006460,-0.364597230512779
24L006479,24L006460,0.5654124080932021
24L006479,24L006460,-0.20425084022140214
24L006479,24L006460,0.44248765447649596
24L006479,24L006460,-0.35193692244686964
24L006479,24L006460,-0.16821768761037345
24L006479,24L006460,0.4118595406166841
24L006479,24L006460,0.0959641771399104
24L006479,24L006460,-0.10822942621906094
24L006479,24L006460,-0.29228182484249104
24L006479,24L006460,0.0014027147791776304
24L006479,24L006460,-0.16287064992247305
24L006479,24L006460,-0.1295985019313097
24L006479,24L006460,-0.0758214916658287
24L006479,24L006460,-0.07106630917470898
24L006479,24L006460,-0.16828224271742706
24L006479,24L006460,0.6878367082736846
24L006479,24L006460,-0.292077431162034
24L006479,24L006460,-0.32341664796355274
24L006479,24L006460,-0.7116145985781793
24L006479,24L006460,0.371110201231666
24L006479,24L006460,-0.4646138641314169
24L006479,24L006460,0.6930997181262679
24L006479,24L006460,0.25368312490881917
24L006479,24L006460,-0.7101703138380281
24L006479,24L006460,-0.8332031946360249
24L006479,24L006460,-0.07743931238483559
24L006479,24L006460,0.22493952286284394
24L006479,24L006460,0.23805714706902387
24L006479,24L006460,0.16313264045967585
24L006479,24L006460,0.5070530754370308
24L006479,24L006460,-0.5632217988602054
24L006479,24L006460,0.35410364864847715
24L006479,24L006460,-0.7048847173763443
24L006479,24L006460,0.47390835483194216
24L006479,24L006460,0.7377184595966005
24L006479,24L006460,-0.9097229920342647
24L006479,24L006460,-0.37167003834096174
24L006479,24L006460,-0.4542591053323509
24L006479,24L006460,-0.8614538367295504
24L006479,24L006460,-0.4138636524880747
24L006479,24L006460,-0.7817298089814578
24L006479,24L006460,-0.2202186596237336
24L006479,24L006460,-0.4058506015309205
24L006479,24L006460,-0.46724170057675596
24L006479,24L006460,0.16569485722427615
24L006479,24L006460,-0.35317603040143325
24L006479,24L006460,-0.2107391475650665
24L006479,24L006460,0.07067771430521612
24L006479,24L006460,0.02591019779847504
24L006479,24L006460,-0.01714923589548749
24L006479,24L006460,0.5779735796397516
24L006479,24L006460,0.0665922822814203
24L006479,24L006460,-0.4518465921224734
24L006479,24L006460,-0.19349999749946445
24L006479,24L006460,-0.4416875961043679
24L006479,24L006460,0.11739439883446616
24L006479,24L006460,-0.2054579118593246
24L006479,24L006460,0.21203620547777194
24L006479,24L006460,-0.32674029210599587
24L006479,24L006460,-0.34408651670887336
24L006479,24L006460,-0.3009102788102309
24L006479,24L006460,0.2922643560833138
24L006479,24L006460,0.7504677925811465
24L006479,24L006460,-0.4731405278588382
24L006479,24L006460,0.2139995367988312
24L006479,24L006460,-0.5690617947292522
24L006479,24L006460,-0.2254372650565479
24L006479,24L006460,0.5477368323076331
24L006479,24L006460,-1.3221846752610436
24L006479,24L006460,0.45010366077342956
24L006479,24L006460,0.1442038053707172
24L006479,24L006460,-1.1574464190697382
24L006479,24L006460,0.04163615026239314
24L006479,24L006460,-0.20928005696266871
24L006479,24L006460,-0.18191833321327505
24L006479,24L006460,-0.3625281744484109
24L006479,24L006460,0.6503795088964803
24L006479,24L006460,-0.3576197220525618
24L006479,24L006460,-1.223589807997592
24L006479,24L006460,-0.5536368861639837
24L006479,24L006460,-0.13463209012419547
24L006479,24L006460,0.06182689243494858
24L006479,24L006460,-0.7260325978699405
24L006479,24L006460,0.2997228389104087
24L006479,24L006460,-0.21284871591677224
24L006479,24L006460,-1.4591238103545767
24L006479,24L006460,0.2809953687740172
24L006479,24L006460,0.21113629379772567
24L006479,24L006460,-0.011139217271786007
24L006479,24L006460,-0.4324383686394744
24L006479,24L006460,-0.3553599206612773
24L006479,24L006460,0.3518405295198459
24L006479,24L006460,-0.04203824512258709
24L006479,24L006460,-0.7387782343822199
24L006479,24L006460,-0.18623084671551413
24L006479,24L006460,0.42787935674391214
24L006479,24L006460,-1.3407844502469142
24L006479,24L006460,-0.12600565697662502
24L006479,24L006460,-0.5669943371769519
