pathway,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,stouffer_padj
GOCC_CONTRACTILE_MUSCLE_FIBER,2.0500509504229546e-54,5.20865236978019e-17,10,8,-0.032518846424819704,1.3263829649236517e-51
GOCC_I_BAND,1.2858336211312553e-33,3.25688172653327e-10,10,8,0.11296000181952404,4.159671764359611e-31
GOBP_MUSCLE_SYSTEM_PROCESS,2.60388430461325e-31,5.882461748105339e-11,10,7,-0.21421535982045287,5.615710483615909e-29
GOBP_MUSCLE_CONTRACTION,1.9458340326520717e-29,8.296597346627449e-11,10,7,-0.21863766337634924,3.147386547814726e-27
GOBP_STRIATED_MUSCLE_CONTRACTION,7.539814502917017e-26,1.52421406629659e-07,10,6,-0.252025504999944,8.130433305645517e-24
GOBP_CARDIAC_MUSCLE_CONTRACTION,7.539814502917017e-26,1.52421406629659e-07,10,6,-0.252025504999944,8.130433305645517e-24
GOBP_HEART_PROCESS,4.948211394575901e-25,2.2437806189331e-06,10,7,-0.245158297015947,4.573561103272297e-23
GOBP_CIRCULATORY_SYSTEM_PROCESS,7.064944174479267e-24,2.52435815338624e-06,10,6,-0.049299916055258276,5.713773601110107e-22
GOBP_MUSCLE_ORGAN_DEVELOPMENT,4.018875181420626e-23,1.50333400797823e-05,10,5,-0.26438865985470095,2.8891247137546055e-21
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,1.3439134748440182e-22,1.60681110554806e-06,10,6,-0.11843637989054753,8.695120182240798e-21
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,4.996631971813731e-22,4.85700820016301e-08,10,5,-0.20313597122666693,2.938928077966803e-20
GOBP_MUSCLE_CELL_DEVELOPMENT,4.5154933314153255e-21,5.17622682094568e-07,10,7,-0.08534316132761566,2.434603487854763e-19
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,1.0612062030901054e-20,3.34972979325554e-07,10,8,-0.11660585834152704,5.281541641533063e-19
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,7.418154658178468e-20,4.52757068517328e-06,7,4,-0.14199979299235999,3.428247188458192e-18
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,2.19394643565083e-19,8.20372321110134e-06,10,4,-0.252472619938799,9.46322229244058e-18
GOBP_MUSCLE_TISSUE_DEVELOPMENT,1.2798127032458873e-18,1.63658219036196e-05,10,4,-0.25098051303926494,5.175242618750557e-17
GOCC_SUPRAMOLECULAR_POLYMER,3.1165745401363737e-18,1.6078375649193202e-09,7,4,0.11344176417474164,1.1861316043930785e-16
GOBP_MUSCLE_CELL_DIFFERENTIATION,7.741851919863316e-18,6.73855712134051e-06,10,6,-0.1573272609266123,2.782765662306425e-16
GOBP_REGULATION_OF_SYSTEM_PROCESS,5.676130594453565e-14,3.78282792511895e-05,10,3,-0.1903813087886032,1.9328718392691877e-12
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,9.529926822890607e-14,8.52602145991604e-06,10,5,-0.18991503476187993,3.0829313272051113e-12
GOBP_HEART_MORPHOGENESIS,1.1504584102864957e-11,0.0003693916709368,10,2,-0.21324825997420302,3.54450757835887e-10
GOMF_ACTIN_BINDING,6.370479299982206e-11,9.37353877791081e-07,10,3,-0.44565629943091933,1.873500048676585e-09
GOCC_ACTIN_CYTOSKELETON,2.0352847177613936e-09,3.56166806960927e-05,7,4,-0.17927297342965656,5.725344401702702e-08
GOBP_CARDIAC_VENTRICLE_DEVELOPMENT,2.6879449314917706e-09,0.0065809210691094,10,0,-0.17964882659322792,7.246251544479899e-08
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS,9.986612234779407e-09,0.0062020256566204,10,0,-0.16651408099924114,2.5845352463609105e-07
GOCC_SUPRAMOLECULAR_COMPLEX,1.9902972846022226e-08,1.46214897724853e-08,7,3,-0.16834896669563973,4.952778242837069e-07
GOCC_ACTIN_FILAMENT,2.264018968189891e-08,0.0001750901853255,10,1,-0.029912280005634017,5.425260268217998e-07
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,2.431584996577748e-07,0.0047117462924825,10,0,-0.16011998212109602,5.618698188520724e-06
GOMF_CALCIUM_ION_BINDING,2.5393570459351746e-07,0.0001553811297222,10,2,-0.18326888724828655,5.665393133517441e-06
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,4.221494776694587e-06,6.7982603266793e-05,8,1,0.1359342015539191,9.10435706840466e-05
GOBP_TISSUE_MORPHOGENESIS,7.069058906953032e-06,0.0001163318376144,8,1,0.016715321049417475,0.00014753810041285846
GOBP_HEART_DEVELOPMENT,7.471147292431861e-06,0.0002755627276155,9,1,0.0838115419725461,0.00015105725931885669
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,1.1114163041926203e-05,1.48391893721962e-05,8,3,-0.25332884221904056,0.00021692591622829294
GOCC_ACTIN_FILAMENT_BUNDLE,1.1734786812967933e-05,0.0047615781885479,10,0,-0.13017247505372087,0.00021692591622829294
GOCC_ACTOMYOSIN,1.1734786812967933e-05,0.0047615781885479,10,0,-0.13017247505372087,0.00021692591622829294
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,0.00010404868839945416,0.0001551262036416,9,1,-0.1547116890266338,0.0018699861498457455
GOCC_CHROMATIN,0.00013689955420556092,0.0080040617400976,10,0,-0.013393050456790201,0.0023938922046215652
GOMF_ACTIN_FILAMENT_BINDING,0.00019735570518089788,0.0036596406782056,10,0,-0.34205649943197586,0.003360240559264235
GOCC_CATALYTIC_COMPLEX,0.0002036155961021879,0.001224148231351,10,1,-0.012282323438338127,0.0033779305302080917
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,0.0005545121812119954,0.0020963599411894,10,0,-0.023820247623713042,0.008969234531104027
GOBP_ACTIN_FILAMENT_BASED_PROCESS,0.0006015388194071054,0.0015004237880965,7,1,-0.44746629230593504,0.009467069861456063
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.0006147490660601138,0.0002244306300632,8,2,-0.21218374415318128,0.009467069861456063
GOMF_CYTOSKELETAL_PROTEIN_BINDING,0.0006291870232497847,0.0004474986188259,7,1,-0.4867260592647439,0.009467069861456063
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II,0.0006963398000189608,0.0200361764367463,10,0,-0.182323216049728,0.010203384067127386
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY,0.0007096634977136512,0.0053832700153471,10,0,0.0212837474930311,0.010203384067127386
GOCC_POLYMERIC_CYTOSKELETAL_FIBER,0.0007636152158423193,0.0003922221904524,8,2,-0.1716367328276615,0.010740414014130012
GOBP_PROTEIN_TARGETING,0.000827537843497709,0.0028681121957782,10,0,-0.25056970033052856,0.011391850739213142
GOBP_NEGATIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,0.0008774257704045815,0.0184741928991579,10,0,-0.1968064241559266,0.011826968196911756
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,0.00104464778556795,0.0158475162472266,10,0,-0.005353716508694562,0.013793614638009462
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION,0.0015269243170608938,0.0042763808473607,10,0,-0.08959981796152612,0.019709118145557404
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.0015535780918445557,0.0329375711906117,10,0,-0.22159101032523756,0.019709118145557404
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II,0.0019631554011401422,0.0106969485633605,10,0,-0.24076107829330043,0.024426183548801383
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,0.0031104180319843086,0.0107988756823265,10,0,0.010474887827713508,0.03797057484328015
GOBP_CELLULAR_RESPIRATION,0.004400101740483624,0.0005252149629546,10,1,-0.5517773859912356,0.05271973752023897
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT,0.004903558474094595,0.0203512371482036,10,0,-0.03177495781197663,0.05768367877707641
GOMF_MACROMOLECULAR_CONFORMATION_ISOMERASE_ACTIVITY,0.0051049381488651666,0.0055621866491014,10,0,-0.06841957081877761,0.05898026754135291
GOBP_SENSORY_ORGAN_MORPHOGENESIS,0.005383519395981562,0.0920679886685552,10,0,0.019986961865549113,0.06110766752982579
GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION,0.006026227397281751,0.0267550774069779,10,0,-0.10192536266129355,0.0672236056214016
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING,0.007212185961342869,0.0087602848351191,10,0,-0.07568245088215024,0.07908956469472604
GOCC_RIBOSOMAL_SUBUNIT,0.007552816255525274,7.09160292735317e-05,9,2,-0.06829188823163769,0.08125826837160689
GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.007725769030855471,0.0031075101196281,10,0,-0.08156733591847229,0.08125826837160689
GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX,0.007897825634508273,0.0033146445993469,10,0,0.05531044873685809,0.08125826837160689
GOCC_PIGMENT_GRANULE,0.00791231979507146,0.0023310567861194,10,0,0.12233407825603579,0.08125826837160689
GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION,0.009896630424150893,0.0021696637928424,7,0,-0.4302535860659492,0.10004874819415044
GOBP_CELL_DIVISION,0.010276182073617952,0.0043720268027947,10,0,-0.2277581984288637,0.10228753540970484
GOCC_EARLY_ENDOSOME,0.011313967047991539,0.0156456925514532,10,0,0.2418627599278116,0.11091116181894736
GOBP_RNA_SPLICING,0.012324277253250372,0.0385015608740895,10,0,0.01708684371168432,0.11901205049034315
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,0.012710432289285716,0.0166718744695258,10,0,-0.27116276630459574,0.12093602487011555
GOMF_SEQUENCE_SPECIFIC_DNA_BINDING,0.013442715501101703,0.03,10,0,-0.20194488157499518,0.1250525985681702
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES,0.013529647449415632,0.0202693743831781,10,0,0.005408397787631069,0.1250525985681702
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,0.015047449665781091,0.0189494333553747,10,0,0.006435331592031824,0.137122534278315
GOBP_RESPONSE_TO_NUTRIENT_LEVELS,0.015560293079856574,0.00698204225742,10,0,0.02159137783307539,0.1398265225370445
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,0.018111986020729814,7.2582311419768e-05,10,2,-0.13834826792432237,0.1605267802111259
GOBP_PATTERN_SPECIFICATION_PROCESS,0.020466440384811463,0.01092551494939,10,0,-0.14153427043829747,0.17894306660774345
GOCC_ORGANELLE_ENVELOPE,0.022104997733018165,0.0055299916524238,10,0,-0.2422616152285934,0.19004680953425976
GOCC_SPINDLE,0.022323891073576105,0.0656934306569343,10,0,-0.18073520329288392,0.19004680953425976
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,0.02391153288884642,0.0254263520825392,10,0,0.030039034313331037,0.2009189841439433
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY,0.02450599613881525,0.0158944257999414,10,0,0.18885377302765488,0.20327409617709574
GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY,0.025621238283411903,0.0178680722225799,10,0,-0.19272670260841757,0.20983469834642404
GOMF_HISTONE_BINDING,0.02600016541201259,0.0017138075238913,10,0,0.047112899946073906,0.21027633776965182
GOMF_ENZYME_ACTIVATOR_ACTIVITY,0.02664348996094018,0.0116092840047017,10,0,-0.20492455948220498,0.21232537179938238
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,0.026909861649999003,1.40071912046673e-05,10,1,-0.1673825557178958,0.21232537179938238
GOBP_MRNA_PROCESSING,0.029736817828769947,0.0056694949917459,10,0,0.006024556256844294,0.23029137106503125
GOBP_MITOCHONDRION_ORGANIZATION,0.029898725146000966,0.0131568489094732,10,0,-0.11545964416168034,0.23029137106503125
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,0.03081577884382818,0.0333333333333333,10,0,-0.050010678052263245,0.2331116355371093
GOBP_RESPONSE_TO_ABIOTIC_STIMULUS,0.03146432363343408,0.0389221556886228,10,0,-0.0891782317832405,0.2331116355371093
GOMF_CADHERIN_BINDING,0.031683798348320795,0.0028713026210994,10,0,-0.13168322862671997,0.2331116355371093
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,0.03192408822696459,0.0210404918868859,10,0,-0.03535247988782651,0.2331116355371093
GOCC_LARGE_RIBOSOMAL_SUBUNIT,0.03206636099351272,1.72096599993164e-06,10,1,-0.013117085340644773,0.2331116355371093
GOCC_RIBONUCLEOPROTEIN_COMPLEX,0.032885350314891044,0.0074756911457796,10,0,-0.030481556221549688,0.23640912948593898
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS,0.03574081458204579,0.0086033799777033,10,0,0.03373475958785488,0.2541132641163036
GOBP_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS,0.0363940599103213,0.019900337138895,10,0,0.00636306051301404,0.25594518219541174
GOBP_RESPONSE_TO_STEROID_HORMONE,0.0404473128983408,0.0418410041841004,10,0,0.05489137785095601,0.2813915209164139
GOBP_CYTOPLASMIC_TRANSLATION,0.04130408085323941,0.0002493301529769,9,1,-0.08847630922870389,0.28429510970261596
GOMF_ATP_HYDROLYSIS_ACTIVITY,0.04388830961881297,0.0268785149036653,10,0,0.019332238793408996,0.2978779345188795
GOCC_NUCLEAR_ENVELOPE,0.044200364786860465,0.0600203458799593,10,0,-0.2046572757422333,0.2978779345188795
GOBP_SEXUAL_REPRODUCTION,0.0446586702447161,0.0110614235810495,10,0,0.13923937831996908,0.2978779345188795
GOMF_CHROMATIN_BINDING,0.04602684774907562,0.0523255813953488,10,0,0.0367866421739594,0.30153326047999907
GOBP_RESPONSE_TO_METAL_ION,0.046138783288284246,0.0231679658504432,10,0,-0.0004006668827504223,0.30153326047999907
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA,0.04679877715953834,0.008625382564362,10,0,0.1360693629329112,0.3027880882222131
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE,0.04756470011689631,0.0398706896551724,10,0,-0.19616769679177484,0.3046966433230882
GOBP_RESPONSE_TO_RADIATION,0.04853296297525327,0.0549338758901322,10,0,-0.0731119244036665,0.3072284208325821
GOBP_EMBRYONIC_MORPHOGENESIS,0.04890962495480056,0.0184690152258236,10,0,-0.3854660258966518,0.3072284208325821
GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY,0.050157851493152064,0.0075552493019337,10,0,-0.030046860406072663,0.3120397107314364
GOCC_MICROTUBULE_CYTOSKELETON,0.05126043601001037,0.058941058941059,10,0,-0.18787093002432342,0.3158619247473972
GOBP_CELL_CYCLE,0.05452100910074762,0.032967032967033,10,0,-0.14635559830218653,0.33278389517154444
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS,0.05758496294732709,0.0135646072423215,10,0,-0.1040005962301579,0.3482006638029965
GOCC_MITOCHONDRION,0.05965655130243579,0.0031380791170012,10,0,-0.0893398036040189,0.3573869323395921
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_NUCLEIC_ACID,0.06115378122002331,0.0393541876892028,10,0,0.11840439887492082,0.35910535543276767
GOBP_REGULATION_OF_CELL_CYCLE,0.06123027888079266,0.0426829322604727,10,0,-0.15933415404699997,0.35910535543276767
