pathway,sum_pval,sum_rank,n_timepoints,n_significant,mean_NES,rank_by_sum_pval,rank_by_sum_rank
GOBP_HEART_PROCESS,0.13009459719923405,226.0,10,6,-0.218110467948194,1.0,1.0
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,0.35432989881320814,314.0,7,5,-0.12416904484099289,4.0,2.0
GOBP_CARDIAC_MUSCLE_CONTRACTION,0.23839986992567214,336.0,10,5,-0.22639366349976003,2.0,3.0
GOBP_CIRCULATORY_SYSTEM_PROCESS,0.2483385909335915,373.0,10,3,-0.23928558656580404,3.0,4.0
GOBP_STRIATED_MUSCLE_CONTRACTION,0.35831499280385104,457.0,10,3,-0.21939793994930196,5.0,5.0
GOBP_MUSCLE_CONTRACTION,0.4657888244628243,494.0,10,6,-0.20026665088597592,6.0,6.0
GOCC_SUPRAMOLECULAR_POLYMER,0.541655033844414,523.0,7,4,0.14804859182985758,8.0,7.0
GOBP_MUSCLE_ORGAN_DEVELOPMENT,0.4817095059901371,561.0,10,3,-0.23135770633528896,7.0,8.0
GOCC_CONTRACTILE_MUSCLE_FIBER,0.7080090295641513,618.0,10,8,-0.10388270159205222,10.0,9.0
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,0.8066783077081774,686.0,10,2,-0.0010257427282246213,13.0,10.0
GOCC_I_BAND,0.7179963248009167,693.0,10,7,0.043931055886690905,11.0,11.0
GOBP_MUSCLE_SYSTEM_PROCESS,0.9692819933124784,796.0,10,4,0.10570423444290007,14.0,12.0
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,0.6676829312348496,802.0,7,1,-0.053876956945182845,9.0,13.0
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,0.9793646778547398,874.0,10,6,-0.08595405085639363,15.0,14.0
GOBP_HEART_MORPHOGENESIS,0.7944945535247422,945.0,10,1,0.04322617484044402,12.0,15.0
GOBP_MUSCLE_CELL_DIFFERENTIATION,1.236615376173075,963.0,10,5,0.02054244854904379,19.0,16.0
GOCC_ACTIN_CYTOSKELETON,1.0970293709986416,1019.0,7,2,-0.16549685542050102,16.0,17.0
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,1.2445893505253183,1134.0,10,2,0.0981828186561678,20.0,18.0
