pathway,fisher_pval,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,fisher_padj
GOCC_CONTRACTILE_MUSCLE_FIBER,2.363648566276266e-59,2.0500509504229546e-54,5.20865236978019e-17,10,8,-0.032518846424819704,1.529280622380744e-56
GOCC_I_BAND,8.935319261619711e-36,1.2858336211312553e-33,3.25688172653327e-10,10,8,0.11296000181952404,2.8905757811339766e-33
GOBP_MUSCLE_SYSTEM_PROCESS,1.678144740024187e-34,2.60388430461325e-31,5.882461748105339e-11,10,7,-0.21421535982045287,3.6191988226521633e-32
GOBP_MUSCLE_CONTRACTION,2.862797207545185e-34,1.9458340326520717e-29,8.296597346627449e-11,10,7,-0.21863766337634924,4.6305744832043366e-32
GOBP_STRIATED_MUSCLE_CONTRACTION,6.240969530538587e-26,7.539814502917017e-26,1.52421406629659e-07,10,6,-0.252025504999944,6.729845477097444e-24
GOBP_CARDIAC_MUSCLE_CONTRACTION,6.240969530538587e-26,7.539814502917017e-26,1.52421406629659e-07,10,6,-0.252025504999944,6.729845477097444e-24
GOBP_MUSCLE_CELL_DEVELOPMENT,3.475113086013618e-25,4.5154933314153255e-21,5.17622682094568e-07,10,7,-0.08534316132761566,3.21199738092973e-23
GOBP_HEART_PROCESS,1.0190233270833976e-24,4.948211394575901e-25,2.2437806189331e-06,10,7,-0.245158297015947,8.241351157786978e-23
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,3.160200480647402e-24,1.3439134748440182e-22,1.60681110554806e-06,10,6,-0.11843637989054753,2.2718330121987437e-22
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,3.689167871509209e-24,1.0612062030901054e-20,3.34972979325554e-07,10,8,-0.11660585834152704,2.386891612866458e-22
GOBP_CIRCULATORY_SYSTEM_PROCESS,4.214906076676954e-24,7.064944174479267e-24,2.52435815338624e-06,10,6,-0.049299916055258276,2.479131119645445e-22
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,8.773821699801348e-23,4.996631971813731e-22,4.85700820016301e-08,10,5,-0.20313597122666693,4.7305521998095605e-21
GOBP_MUSCLE_ORGAN_DEVELOPMENT,3.918280985989706e-21,4.018875181420626e-23,1.50333400797823e-05,10,5,-0.26438865985470095,1.9500983061041075e-19
