pathway,pval,padj,log2err,ES,NES,size,leadingEdge,timepoint
GOBP_POSITIVE_REGULATION_OF_TRANSLATION,0.199654246987095,0.958340385538054,0.249246554383295,0.343096234309623,1.2126269641377,20,LARP1|EIF2AK4|RPS4X|EIF3E|CNBP|TRUB2|RPL5|PRMT1|AGO2|ELAVL1|FASTKD2|LIN28A|CCL5|METTL8|PRKDC|RBM3|YBX1|EIF6|COA3|IGF2BP1,7
GOBP_FATTY_ACID_METABOLIC_PROCESS,0.204106280193237,0.972799505094052,0.101350743797099,-0.470451147446458,-1.24059791348312,17,ABCB11|FADS1|IVD|CYP4V2|NDUFS6|HTD2|BRCA1|IRS2|EIF6,7
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,0.205944135022372,0.972799505094052,0.249246554383295,0.350575753681664,1.3149247056678,24,IGF2|CFL1|ZFP36L1|GRB2|CREB1|RANGAP1|HRAS,7
GOBP_PROTEIN_MATURATION,0.206243032329989,0.972799505094052,0.0959206777921745,-0.378503990364138,-1.19522966586445,44,CSNK2A1|ELP6|METTL21A|SPG7|HM13|SPCS2|ARL2|MELTF|GFER|YME1L1,7
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,0.208333333333333,0.977011494252874,0.241339976815091,0.323172214616826,1.14220822706787,20,PRDX2|MDK|SMARCA4|ZFP36L1|CREB1,7
GOBP_VIRAL_PROCESS,0.214922048997773,0.993258426966292,0.0934449219410994,-0.377514508448614,-1.18813128679394,43,RAN|ST3GAL2|NMT2|EIF3L|IFITM1|LRSAM1|VAMP8|ZBED1|CTBP2|BRD4|OAZ2|KPNA6,7
GOBP_CELL_CYCLE,0.215086646279307,0.993258426966292,0.0883594442500905,-0.32660720472682,-1.1417945271811,109,RAN|CCNB1IP1|CSNK2A1|TERF1|SEPTIN2|CEP68|PIN1|INO80E|TRIM71|ESCO2|ARL2|FGFR1|CSPP1|CCND1|WDR12|BMP7|DUSP3|MIS18A|KIF3B|MAU2|BAZ1B|ANKLE2|BRD4|PDXP|SFPQ|NOLC1|ZNF655|PUM1|NME6|GTPBP4|USP8|TGFB2|NABP1,7
GOBP_CELL_DIVISION,0.215555555555556,0.993258426966292,0.0931454575337804,-0.36777918536834,-1.17771072587602,50,RAN|TERF1|MACC1|SEPTIN2|PIN1|FGFR1|CSPP1|CCND1|YME1L1|MIS18A|KIF3B|MAU2|SENP5|ANKLE2|PDXP,7
GOBP_PROTEIN_FOLDING,0.216666666666667,0.993258426966292,0.096887770327544,-0.445910945884158,-1.22938340050392,21,CSNK2A1|ELP6|METTL21A|ARL2|GFER,7
GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_ONE_CARBON_GROUPS,0.218978102189781,0.998246544060678,0.09754492162472,-0.470451478545831,-1.22677801434644,16,SETD5|METTL21A|FAM98A|SETD7|DNMT3A|METTL16,7
GOBP_SYNAPTIC_SIGNALING,0.221719457013575,0.998512404625942,0.0925528864684773,-0.391961712183621,-1.1853373246685,34,FBXL20|SSH1|RAB3B|SYAP1|KCMF1|RAC1|MAPK9|GNB1|PARK7|USP8,7
GOBP_T_CELL_DIFFERENTIATION,0.222222222222222,0.998512404625942,0.237793834423688,0.317412842059316,1.15777560097583,21,PRDX2|MDK|SMARCA4|ZFP36L1|ICOSLG,7
GOMF_PROTEIN_KINASE_ACTIVITY,0.222707423580786,0.998512404625942,0.0902635484340068,-0.357194689510949,-1.16132401661107,53,CSNK2A1|FERMT2|FGFR1|VRK3|CCND1|BMP7|DUSP3|MAP3K9|BAZ1B|BMPR1A|ANKLE2|BRD4|MAPK9,7
GOBP_MICROTUBULE_BASED_MOVEMENT,0.225190714080886,1.0,0.249246554383295,0.343888670937249,1.28984307860964,24,KIF1C|KXD1|BLOC1S1|DYNLL1|UBB|KPNB1|CLUAP1|HAP1|TUBA1A|TTLL9,7
GOCC_SMALL_RIBOSOMAL_SUBUNIT,0.233333333333333,1.0,0.219250346703755,0.345344019700543,1.15485247067737,16,MRPS26|RPS15|RPS27|RPS19|RPS3|RPS26|RACK1|RPS4X|RPS23,7
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,0.23463687150838,1.0,0.219250346703755,0.309388065452358,1.09714928933894,19,P2RY6|CD63|FKBP1A,7
GOBP_CELLULAR_COMPONENT_DISASSEMBLY,0.234831460674157,1.0,0.088894528862045,-0.386395877618493,-1.17981878039825,36,ELP6|MELTF|SWAP70|VAMP8|DUSP3|RAC1|RNF14|PLAAT3|PDXP|APEH|SSRP1|MTRFR|TGFB2|SET,7
GOBP_ESTABLISHMENT_OF_CELL_POLARITY,0.237569060773481,1.0,0.216542836735348,0.356919875130073,1.16747302760354,15,CFL1|RAP1B|RACK1|EZR|OPHN1|IFT20|CRK|ABL2|CDC42|FSCN1|AMOTL1|GATA3|GPSM2|PAFAH1B1|SNX27,7
GOBP_RESPONSE_TO_KETONE,0.237569060773481,1.0,0.216542836735348,0.360200029768934,1.17820230421175,15,P2RY6|AARD|CREB1|DSG2|LARP1,7
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE,0.240338164251208,1.0,0.0916795246008379,-0.455394744450769,-1.20089359510192,17,FBXL20|RAB3B|RAC1|PARK7,7
GOMF_ACYLTRANSFERASE_ACTIVITY_TRANSFERRING_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS,0.241545893719807,1.0,0.0913924325943768,-0.455210106889796,-1.20040669869592,17,NMT2|ESCO2|GLUL|KAT8|PLAAT3|SAT1,7
GOCC_TRANSPORT_VESICLE,0.244228432563791,1.0,0.0911073131586733,-0.445256629395293,-1.20261610245967,19,RAB3B|AP1S3|RAC1|GOSR2|PARK7,7
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,0.244437333480343,1.0,0.249246554383295,0.332069549144714,1.24551241660267,24,KIF1C|KXD1|BLOC1S1|DYNLL1|TUBA1B|UBB|CLUAP1|HAP1|TUBA1A,7
GOBP_REGULATION_OF_T_CELL_ACTIVATION,0.247408440645271,1.0,0.249246554383295,0.326347934835316,1.21560225550311,23,IGF2|PRDX2|MDK|SMARCA4|ICOSLG,7
GOMF_SEQUENCE_SPECIFIC_DNA_BINDING,0.250511247443763,1.0,0.0802023444698144,-0.322503019428095,-1.12491870755773,105,TERF1|NR6A1|ZNF8|VRTN|MIXL1|ZNF101|MLX|ZBED1|ZNF397|CXXC5|TBL1XR1|EOMES|ZNF543|ZHX3|ZBTB43|SOX11|KLF6|NANOG|BRD4|ZNF114|SOX12|PARK7|SFPQ|DNMT3A|H2AZ1|ZNF655|GMEB1|ZNF805|IKZF3|ZBTB8A|DMTF1|ZNF766|RBBP5|MBD3|ZNF347|ZNF7,7
GOBP_DEFENSE_RESPONSE_TO_VIRUS,0.25414364640884,1.0,0.208955027549354,0.349921280759884,1.14458085844273,15,G3BP1|IFITM3|UAP1|ILF3|CXADR|EIF2AK4,7
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II,0.25583864118896,1.0,0.0810802057550866,-0.342658679849983,-1.1391323741109,66,NR6A1|ZNF8|MDFI|FGFR1|SARNP|MLX|CCND1|CTBP2|CXXC5|TBL1XR1|EOMES|SAMD11|ZHX3|SOX11|NANOG|SOX12|SINHCAF|CGGBP1|ATF7IP|SFPQ|DNMT3A,7
