pathway,pval,padj,log2err,ES,NES,size,leadingEdge,timepoint
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,3.3496336344022e-05,0.0175520802442676,0.557332238758646,-0.742599143513551,-2.35674592055906,16,TTN|ACTC1|MYL3|TPM2|MYH6|TNNC1|MYL4|VIM|ACTA2|TPM1,0
PASINI_SUZ12_TARGETS_DN,0.0001298639597206,0.0340243574468034,0.518848077743792,-0.527237157228415,-2.08428556570383,39,KRT8|KRT19|FLNC|ACTC1|PDLIM7|TUBA1A|TPM2|KRT18|CD151|RHOB|PDLIM5|LRATD2|TGFB2|GLIPR2|FLNA|VIM|ACTA2|TPM1|PHLDA1,0
LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN,0.0001989543099898,0.0347506861448863,0.518848077743792,-0.597796528077281,-2.18421174562756,28,SLC2A3|CCBE1|SEPTIN11|RHOB|FAM89A|PDLIM5|GLIPR2|APOE|VIM|APLNR|ACTA2|GRK3|RAB31|PHLDA1|GNB4|RASGRP3|SERPING1,0
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP,0.0004263790779187,0.0470741097858351,0.49849310876659,-0.685431395899708,-2.11930719894579,15,SLC2A3|HOMER3|JUP|TUBA1A|PDLIM5|APOE|ACTA2|RPS6KA5,0
REACTOME_MUSCLE_CONTRACTION,0.0004491804368877,0.0470741097858351,0.49849310876659,-0.613090376673194,-2.0648615799835,21,TTN|ACTC1|MYL3|TPM2|MYL7|MYH6|TNNC1|MYL4|VIM|ACTA2|TPM1,0
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP,0.0007862247023467,0.0686636240049459,0.477270815362862,-0.5746255673948,-2.04549660228853,24,SLC2A3|FLNC|ACTC1|SEPTIN11|TPM2|KRT18|RHOB|KRT7|PDLIM5|TGFB2|APOE|RPS6KA5,0
IBRAHIM_NRF1_UP,0.0009606450662944,0.0712800954920823,0.477270815362862,0.540833530470554,1.87224802967425,36,KIF3B|TIMM17A|LDHB|CCDC43|SET|GATAD2A|PRPF4|KCMF1|PRDX1|CERK|HSPA8|DYNLL2|SYAP1|FGFR1|FAM168B|CELF1|PAPOLA|PHAX|UNKL|TPM3|PAFAH1B1|GRB2|ISY1,0
PULVER_FOREY_PERTURB_ACCUMULATION_LG1,0.0010882457327035,0.0712800954920823,0.45505986738723,0.463907833943094,1.79691657609089,64,WDR5|AGO1|YKT6|FOXJ3|ARPC5L|SET|GATAD2A|GLUL|TIMM13|PDCD7|MLST8|GFER|RAN|CCNB1IP1|CERK|HSPA8|DYNLL2|ELAVL1|FGFR1|NKIRAS2|TAF10|RPSA|TRNT1|EIF3F|SFPQ|GADD45GIP1,0
SWEET_LUNG_CANCER_KRAS_DN,0.003098540582175,0.159159346169664,0.431707695803346,-0.549419507048647,-1.85042087522922,21,ACTC1|NT5DC2|ANKRD1|MYL3|TUBA1A|MYL7|RHOB|MYH6|TNNC1|MYL4|ACTA2,0
JISON_SICKLE_CELL_DISEASE_DN,0.0031042799303193,0.159159346169664,0.431707695803346,0.560798402673858,1.81310812860438,27,RPL22|TCF3|FOXJ3|SET|HSPA8|TOMM7|FAM168B|EIF4A1|EIF3F|RPS7|SFPQ|PABPC4|EEF1A1|PTMA|RPL7|RPL4|EIF3K|SLC25A6|RPL21|RPL6,0
