pathway,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,stouffer_padj
FISCHER_DREAM_TARGETS,0.27656164195709,0.0039903460785081,10,0,0.16963257369419943,0.5510201535570919
GEORGES_TARGETS_OF_MIR192_AND_MIR215,0.2780543328214824,0.0258019962601104,10,0,-0.16752833780796134,0.5518957212062757
PULVER_FOREY_CELLCYCLE_PEAKING_S2,0.28180032587029624,0.0376850605652759,10,0,-0.19379524996345482,0.5562192558654465
REACTOME_HIV_INFECTION,0.28235557645078013,0.130576713819369,10,0,0.15373906168846477,0.5562192558654465
FIGAROL_EGFR_TKI_DRUG_TOLERANT_CELL_DN,0.28568776744396585,0.0262196267697743,10,0,0.20380261160879906,0.5606756185042626
SCHLOSSER_SERUM_RESPONSE_DN,0.28838520655173117,0.0227350791924131,10,0,-0.1433749627586296,0.5630448284469471
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3,0.2890440054431847,0.0625,10,0,-0.2215659539879022,0.5630448284469471
HAN_SATB1_TARGETS_UP,0.2942931499545618,0.030897275942006,10,0,-0.014764713715098177,0.5711467058377421
REACTOME_MAPK1_MAPK3_SIGNALING,0.29862279277650083,0.0095549717465943,10,0,-0.08149940027139156,0.577410861309544
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP,0.3035866933201413,0.0676532769556025,10,0,-0.23137997484004594,0.5820826986927864
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL,0.30504112748935497,0.0102088829047376,10,0,-0.11424141814759134,0.5820826986927864
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,0.3058873783818613,0.0538479304389618,10,0,0.06191850226278099,0.5820826986927864
ENK_UV_RESPONSE_EPIDERMIS_UP,0.30706044280300104,0.180310880829016,10,0,0.224703371469385,0.5820826986927864
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_1,0.30784269531462405,0.126008064516129,10,0,-0.07961302231861067,0.5820826986927864
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,0.3083344325409342,0.0214408456471549,10,0,-0.4339051129168894,0.5820826986927864
BROWNE_HCMV_INFECTION_48HR_DN,0.31072559159928564,0.0240997941529032,10,0,-0.20433860962849731,0.5820826986927864
BENPORATH_ES_1,0.3107291413989611,0.0486555697823304,10,0,0.11894703193670284,0.5820826986927864
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_4,0.31189294726063377,0.045108038000224,10,0,-0.2754687526595615,0.5820826986927864
PILON_KLF1_TARGETS_UP,0.31214740139823083,0.0383022774327122,10,0,0.0009527803242965982,0.5820826986927864
WP_MIRTARGETED_GENES_IN_LEUKOCYTES,0.3134292052041415,0.0585106382978723,10,0,-0.30069047939537547,0.5824003671169156
ONKEN_UVEAL_MELANOMA_DN,0.3163754272645698,0.0017065539040614,10,0,-0.4118269320417721,0.5857976109068359
DARWICHE_SQUAMOUS_CELL_CARCINOMA_DN,0.32248840252014194,0.219792865362486,10,0,-0.21080489100547192,0.5950138131005436
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,0.3261062580449188,0.0870466321243523,10,0,-0.2224156678494799,0.5978910861900136
REACTOME_MITOTIC_G2_G2_M_PHASES,0.3274098066266667,0.0235468745499684,10,0,0.06651474221191181,0.5978910861900136
BOCHKIS_FOXA2_TARGETS,0.32775779443898645,0.141732283464567,10,0,0.2319760465697162,0.5978910861900136
PULVER_FOREY_PERTURB_ACCUMULATION_S,0.32861189469985486,0.105210420841683,10,0,-0.1961865930100353,0.5978910861900136
PULVER_FOREY_PERTURB_ACCUMULATION_M_EG1,0.330906244105026,0.0705128205128205,10,0,0.005067111069268793,0.5984708088301232
SANSOM_APC_MYC_TARGETS,0.33121476061209104,0.0073672324069256,10,0,-0.2307624259194573,0.5984708088301232
LI_INDUCED_T_TO_NATURAL_KILLER_UP,0.334170789592098,0.0809443507588533,10,0,-0.020560808608501114,0.6017370919115442
SENESE_HDAC1_TARGETS_UP,0.33635397451164556,0.0545454545454545,10,0,-0.15725663922119232,0.6035941186441858
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP,0.3413171921282131,0.005649885925617,10,0,0.1061661989072031,0.6104102685159852
WP_PLEURAL_MESOTHELIOMA,0.3447991144419012,0.112721417069243,10,0,-0.0036428552874092856,0.6145399182569939
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_8D,0.34630206269545916,0.109459459459459,10,0,-0.1596864080370035,0.6151263757709173
STEIN_ESRRA_TARGETS,0.3630870094031684,0.0470035252643948,10,0,-0.0541962957488609,0.6427621382677711
GARY_CD5_TARGETS_DN,0.36773036983944296,0.0187842779188122,10,0,-0.08175285590692694,0.64879028214097
NUYTTEN_EZH2_TARGETS_UP,0.3706056293650264,0.0586034912718205,10,0,-0.12569982912406602,0.6499923050936154
PULVER_FOREY_CELLCYCLE_PEAKING_M,0.3709252747487213,0.0918032786885246,10,0,-0.2842851394667243,0.6499923050936154
ACEVEDO_LIVER_CANCER_UP,0.37252938492380716,0.038038038038038,10,0,-0.18405296479468802,0.6499923050936154
KEGG_HUNTINGTONS_DISEASE,0.3733734424297295,0.0132456479727321,10,0,-0.16746327772268033,0.6499923050936154
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN,0.37551089446800273,0.171521035598705,10,0,-0.198039085879918,0.6515487043087199
MOOTHA_PGC,0.3783892545312941,0.0594758064516129,10,0,-0.389344323176773,0.6524237251794297
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN,0.3785053672796691,0.182464454976303,10,0,-0.16476399196257557,0.6524237251794297
WANG_SMARCE1_TARGETS_UP,0.38120418365107905,0.0001207750158889,10,1,0.15337541127745813,0.6549212860103784
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP,0.3836360090426386,0.0257709601008379,10,0,-0.22671721734545153,0.6549822480669552
SMID_BREAST_CANCER_BASAL_UP,0.3848129239238666,0.102746693794507,10,0,0.03823669612098797,0.6549822480669552
WP_MIRTARGETED_GENES_IN_MUSCLE_CELL,0.38498956565767595,0.0399082625672293,10,0,-0.21794860878674505,0.6549822480669552
REACTOME_CHROMATIN_ORGANIZATION,0.39258911839200716,0.0956848030018762,10,0,0.04130546064673056,0.6650755999583051
MARSON_BOUND_BY_FOXP3_UNSTIMULATED,0.393460755700524,0.110220440881764,10,0,-0.05031740681701828,0.6650755999583051
ROZANOV_MMP14_TARGETS_UP,0.39698287487412603,0.103092783505155,10,0,-0.38996263021727456,0.6688714676335756
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4,0.3991137770586912,0.0121982954150393,10,0,0.17259825089216774,0.6703064717267763
YAGI_AML_WITH_11Q23_REARRANGED,0.4019399903750315,0.0337571566339103,10,0,0.21683507489205703,0.6728963417141103
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP,0.4045084805819148,0.25,10,0,-0.23837078465365685,0.6742214994851284
MARSON_BOUND_BY_E2F4_UNSTIMULATED,0.40615227892708056,0.0620620620620621,10,0,-0.17996820195852142,0.6742214994851284
SENESE_HDAC1_AND_HDAC2_TARGETS_DN,0.40761269752888807,0.023818699281991,10,0,0.12053637976963705,0.6742214994851284
REACTOME_RHO_GTPASE_EFFECTORS,0.40787827354348416,0.08,10,0,-0.06831229609333098,0.6742214994851284
NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON,0.40998167178723954,0.0278543124453485,10,0,0.033312328640885645,0.6755672830707973
PULVER_FOREY_PERTURB_ATTRITION_LG1,0.41748775923657083,0.0913539967373573,10,0,-0.0515827227792011,0.6857792659559971
DARWICHE_PAPILLOMA_RISK_HIGH_UP,0.42147276858494465,0.0900662339593811,10,0,-0.2326665888374503,0.6901418861033295
PROVENZANI_METASTASIS_DN,0.4250519541019997,0.0229980311274965,10,0,-0.17826290897196437,0.6901418861033295
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP,0.4253289006356763,0.146086956521739,10,0,0.03008490982901042,0.6901418861033295
