,25L007999,25L008000,25L008001,25L008011,25L008012,25L008013
ENSMUSG00000000001,0,15,0,1,0,0
ENSMUSG00000000028,0,0,0,4,0,0
ENSMUSG00000000037,0,35,0,0,0,0
ENSMUSG00000000056,0,583,0,290,106,0
ENSMUSG00000000078,1,2412,0,1674,180,4
ENSMUSG00000000085,0,102,0,298,5,0
ENSMUSG00000000088,0,504,1578,84,8,0
ENSMUSG00000000125,0,20,0,0,25,0
ENSMUSG00000000126,0,2,0,0,0,0
ENSMUSG00000000127,0,0,0,114,0,0
ENSMUSG00000000131,0,6,0,41,0,0
ENSMUSG00000000134,0,35,0,64,1,0
ENSMUSG00000000148,0,15,0,46,0,0
ENSMUSG00000000149,0,13,0,206,94,0
ENSMUSG00000000168,0,421,0,7,10,0
ENSMUSG00000000171,0,502,0,672,441,0
ENSMUSG00000000184,1,137,9,542,23,0
ENSMUSG00000000194,0,239,7,2,4,0
ENSMUSG00000000197,0,5,0,0,15,0
ENSMUSG00000000202,0,0,0,143,0,0
ENSMUSG00000000223,8,38,0,4,0,0
ENSMUSG00000000247,0,143,0,18,4,0
ENSMUSG00000000253,0,169,0,8,35,0
ENSMUSG00000000266,0,3,7,2,1,0
ENSMUSG00000000276,0,18,0,612,8,0
ENSMUSG00000000278,0,10,30,0,5,0
ENSMUSG00000000282,0,453,0,115,79,0
ENSMUSG00000000295,34,148,0,22,13,0
ENSMUSG00000000296,0,105,0,0,0,0
ENSMUSG00000000301,0,6,0,0,4,0
ENSMUSG00000000305,0,3,0,166,7,0
ENSMUSG00000000308,0,32,0,176,12,0
ENSMUSG00000000326,1,844,0,190,107,0
ENSMUSG00000000339,0,79,0,88,44,0
ENSMUSG00000000340,0,3,0,2,0,0
ENSMUSG00000000346,9,295,0,873,49,0
ENSMUSG00000000355,0,48,0,9,0,0
ENSMUSG00000000374,0,20,0,14,60,0
ENSMUSG00000000378,107,786,0,457,376,0
ENSMUSG00000000384,3,84,0,87,0,0
ENSMUSG00000000392,0,0,0,8,0,0
ENSMUSG00000000399,0,34,0,3,8,0
ENSMUSG00000000409,0,158,0,91,2,0
ENSMUSG00000000411,0,0,0,37,0,0
ENSMUSG00000000416,0,14,0,0,0,0
ENSMUSG00000000420,12,67,0,326,10,0
ENSMUSG00000000439,0,168,692,16,2,0
ENSMUSG00000000441,0,4,0,7,8,0
ENSMUSG00000000489,0,53,0,0,16,0
ENSMUSG00000000530,0,280,0,0,0,0
ENSMUSG00000000531,0,29,0,13,18,0
ENSMUSG00000000532,0,0,0,19,2,0
ENSMUSG00000000538,0,141,1740,0,9,0
ENSMUSG00000000552,0,0,0,0,11,0
ENSMUSG00000000560,0,61,1,8,13,0
ENSMUSG00000000561,0,16,1226,228,0,0
ENSMUSG00000000563,0,257,1359,59,44,0
ENSMUSG00000000567,0,14,0,0,7,0
ENSMUSG00000000568,0,446,0,232,26,0
ENSMUSG00000000579,0,239,0,99,18,0
ENSMUSG00000000581,0,97,0,17,8,0
ENSMUSG00000000594,0,0,0,0,1,0
ENSMUSG00000000605,0,342,7,5,2,6
ENSMUSG00000000631,7,85,0,51,11,0
ENSMUSG00000000693,0,4,0,1,0,0
ENSMUSG00000000708,0,2,0,0,0,0
ENSMUSG00000000711,0,193,0,24,37,0
ENSMUSG00000000738,0,15,0,15,0,0
ENSMUSG00000000740,0,497,1668,1270,143,1
ENSMUSG00000000743,0,1024,0,1751,101,10
ENSMUSG00000000751,0,109,6,0,15,0
ENSMUSG00000000759,0,0,60,5,1,0
ENSMUSG00000000776,0,0,0,3,0,0
ENSMUSG00000000782,0,0,0,0,7,0
ENSMUSG00000000787,0,381,0,526,31,9
ENSMUSG00000000792,0,9,0,125,0,0
ENSMUSG00000000794,0,3,0,0,0,0
ENSMUSG00000000804,0,50,0,62,3,0
ENSMUSG00000000805,0,0,0,37,9,0
ENSMUSG00000000811,0,88,0,2,34,0
ENSMUSG00000000823,29,121,0,83,8,0
ENSMUSG00000000826,5,2071,22,1351,216,34
ENSMUSG00000000827,0,130,0,991,0,11
ENSMUSG00000000838,0,34,0,8,2,0
ENSMUSG00000000861,0,772,282,508,117,0
ENSMUSG00000000876,0,330,0,45,6,0
ENSMUSG00000000881,0,108,0,65,0,0
ENSMUSG00000000884,0,0,0,0,47,0
ENSMUSG00000000902,1,8,0,6,0,0
ENSMUSG00000000915,0,258,0,525,61,0
ENSMUSG00000000916,0,65,0,51,9,0
ENSMUSG00000000934,0,70,0,0,10,0
ENSMUSG00000000948,0,114,0,25,24,0
ENSMUSG00000000957,0,1,0,2,4,0
ENSMUSG00000000959,2,0,0,1,35,0
ENSMUSG00000000976,0,52,0,0,2,0
ENSMUSG00000001014,0,0,0,34,0,0
ENSMUSG00000001016,0,40,200,12,2,0
ENSMUSG00000001017,0,112,0,27,72,0
ENSMUSG00000001018,0,48,0,239,0,0
ENSMUSG00000001025,0,22,0,115,0,0
ENSMUSG00000001034,0,6,0,0,11,0
ENSMUSG00000001036,0,71,0,38,14,0
ENSMUSG00000001039,0,208,0,2,3,0
ENSMUSG00000001052,0,0,0,0,7,0
ENSMUSG00000001053,0,60,0,0,18,0
ENSMUSG00000001054,0,45,0,0,0,0
ENSMUSG00000001056,0,1215,32,1168,169,0
ENSMUSG00000001062,0,130,40,28,10,0
ENSMUSG00000001089,0,58,0,9,0,0
ENSMUSG00000001098,0,176,0,52,8,1
ENSMUSG00000001100,0,398,937,104,39,0
ENSMUSG00000001105,14,646,235,376,73,0
ENSMUSG00000001119,0,0,0,0,10,0
ENSMUSG00000001120,0,19,0,10,0,0
ENSMUSG00000001127,0,195,0,426,69,0
ENSMUSG00000001128,0,75,0,0,0,0
ENSMUSG00000001134,0,22,0,0,1,0
ENSMUSG00000001138,0,191,0,0,2,0
