panel,stem,replicate_pair,log10_export_ratio
a,suppl6a_ipsc_export_ratio,1,-0.7761307622593028
a,suppl6a_ipsc_export_ratio,1,-1.2086269986411056
a,suppl6a_ipsc_export_ratio,1,0.35984344852110034
a,suppl6a_ipsc_export_ratio,1,-1.1738424995337644
a,suppl6a_ipsc_export_ratio,1,-1.356017034562339
a,suppl6a_ipsc_export_ratio,1,-1.9949512337917021
a,suppl6a_ipsc_export_ratio,1,-1.5556618232181052
a,suppl6a_ipsc_export_ratio,1,-1.3253482187250063
a,suppl6a_ipsc_export_ratio,1,-0.803868758794699
a,suppl6a_ipsc_export_ratio,1,-0.5043259442078664
a,suppl6a_ipsc_export_ratio,1,-0.4990022862219359
a,suppl6a_ipsc_export_ratio,1,-0.5641734043178912
a,suppl6a_ipsc_export_ratio,1,-1.3146008244554035
a,suppl6a_ipsc_export_ratio,1,-1.106719996526181
a,suppl6a_ipsc_export_ratio,1,0.40270840687897524
a,suppl6a_ipsc_export_ratio,1,-1.8303547115736225
a,suppl6a_ipsc_export_ratio,1,-0.35328098602422736
a,suppl6a_ipsc_export_ratio,1,-0.8280324669408814
a,suppl6a_ipsc_export_ratio,1,0.20191043550507473
a,suppl6a_ipsc_export_ratio,1,0.8411474683351503
a,suppl6a_ipsc_export_ratio,1,-0.15413465968921938
a,suppl6a_ipsc_export_ratio,1,-0.7226271948960901
a,suppl6a_ipsc_export_ratio,1,0.7192213182392664
a,suppl6a_ipsc_export_ratio,1,0.054864591938910995
a,suppl6a_ipsc_export_ratio,1,-0.6922650959865755
a,suppl6a_ipsc_export_ratio,1,-0.8672196959187498
a,suppl6a_ipsc_export_ratio,1,0.4368974117620113
a,suppl6a_ipsc_export_ratio,1,-0.6288921444634029
a,suppl6a_ipsc_export_ratio,1,0.6221813952846074
a,suppl6a_ipsc_export_ratio,1,-0.44837940555143124
a,suppl6a_ipsc_export_ratio,1,0.016479813909235603
a,suppl6a_ipsc_export_ratio,1,-0.6137067738025046
a,suppl6a_ipsc_export_ratio,1,-1.2645790656661973
a,suppl6a_ipsc_export_ratio,1,-0.19920834707049456
a,suppl6a_ipsc_export_ratio,1,-0.3274146066969087
a,suppl6a_ipsc_export_ratio,1,-0.2955632167841676
a,suppl6a_ipsc_export_ratio,1,-0.7615548204637963
a,suppl6a_ipsc_export_ratio,1,-0.6199240266042464
a,suppl6a_ipsc_export_ratio,1,0.5209705091110267
a,suppl6a_ipsc_export_ratio,1,-0.8381670926198959
a,suppl6a_ipsc_export_ratio,1,0.5074034622676704
a,suppl6a_ipsc_export_ratio,1,0.9691890167959342
a,suppl6a_ipsc_export_ratio,1,-0.48463829841346884
a,suppl6a_ipsc_export_ratio,1,0.6242624479364625
a,suppl6a_ipsc_export_ratio,1,-0.8046256402120661
a,suppl6a_ipsc_export_ratio,1,-0.07266015290423436
a,suppl6a_ipsc_export_ratio,1,-0.3022103489594771
a,suppl6a_ipsc_export_ratio,1,-0.7044809941733414
a,suppl6a_ipsc_export_ratio,1,0.1362648741093009
a,suppl6a_ipsc_export_ratio,1,-1.034834034728055
a,suppl6a_ipsc_export_ratio,1,-1.1712246254283962
a,suppl6a_ipsc_export_ratio,1,-0.4230484186376388
a,suppl6a_ipsc_export_ratio,1,0.14511183929106702
a,suppl6a_ipsc_export_ratio,1,-1.0221138298927859
a,suppl6a_ipsc_export_ratio,1,-0.6435109985167937
a,suppl6a_ipsc_export_ratio,1,0.9721683705035052
a,suppl6a_ipsc_export_ratio,1,0.18805070045101197
a,suppl6a_ipsc_export_ratio,1,0.5947872925008313
a,suppl6a_ipsc_export_ratio,1,-1.2911281133799508
a,suppl6a_ipsc_export_ratio,1,-0.47102555917184297
a,suppl6a_ipsc_export_ratio,1,-0.6313961065319343
a,suppl6a_ipsc_export_ratio,1,-0.11545576163273402
a,suppl6a_ipsc_export_ratio,1,-1.4753055297262607
a,suppl6a_ipsc_export_ratio,1,0.9152481950536167
a,suppl6a_ipsc_export_ratio,1,-0.7437453096001003
a,suppl6a_ipsc_export_ratio,1,0.26602169762435074
a,suppl6a_ipsc_export_ratio,1,-1.0095489565904576
a,suppl6a_ipsc_export_ratio,1,0.0205334173234486
a,suppl6a_ipsc_export_ratio,1,0.4152397431702289
a,suppl6a_ipsc_export_ratio,1,-0.46464511297481625
a,suppl6a_ipsc_export_ratio,1,-0.589773981267484
a,suppl6a_ipsc_export_ratio,1,-1.2733974623636901
a,suppl6a_ipsc_export_ratio,1,-0.6409922847001133
a,suppl6a_ipsc_export_ratio,1,-0.49652568427845667
a,suppl6a_ipsc_export_ratio,1,0.11522170754776048
