,25L007993,25L007994,25L007995,25L008005,25L008006,25L008007
ENSMUSG00000000001,180,0,0,2,55,31
ENSMUSG00000000056,0,3,23,14,0,92
ENSMUSG00000000078,3136,77,133,214,44,248
ENSMUSG00000000085,55,0,0,0,0,69
ENSMUSG00000000088,678,0,162,12,0,18
ENSMUSG00000000126,0,0,0,0,8,0
ENSMUSG00000000127,0,0,0,0,0,25
ENSMUSG00000000131,0,0,0,0,0,7
ENSMUSG00000000134,827,85,0,15,44,48
ENSMUSG00000000142,0,0,0,0,6,21
ENSMUSG00000000149,0,0,20,3,0,3
ENSMUSG00000000168,321,0,9,1,3,0
ENSMUSG00000000171,424,14,622,59,146,120
ENSMUSG00000000184,3,1,3,82,22,20
ENSMUSG00000000194,2,0,4,0,0,16
ENSMUSG00000000202,0,0,7,0,13,0
ENSMUSG00000000223,0,0,0,3,0,0
ENSMUSG00000000247,26,32,7,3,4,37
ENSMUSG00000000253,0,3,9,11,7,0
ENSMUSG00000000266,0,0,0,3,0,0
ENSMUSG00000000276,0,0,0,25,0,41
ENSMUSG00000000278,0,0,0,0,0,19
ENSMUSG00000000282,1870,0,366,28,0,113
ENSMUSG00000000295,6,0,224,0,45,12
ENSMUSG00000000296,13,0,0,0,0,0
ENSMUSG00000000301,0,0,7,0,10,0
ENSMUSG00000000305,10,0,1,3,8,5
ENSMUSG00000000308,0,0,0,0,22,54
ENSMUSG00000000317,26,0,8,0,0,0
ENSMUSG00000000326,293,47,28,342,42,94
ENSMUSG00000000339,383,62,9,63,78,139
ENSMUSG00000000340,0,0,0,9,0,0
ENSMUSG00000000346,31,1,227,14,12,204
ENSMUSG00000000355,24,0,12,3,0,14
ENSMUSG00000000374,0,0,3,39,0,186
ENSMUSG00000000378,707,3,435,327,10,218
ENSMUSG00000000384,47,0,20,27,22,12
ENSMUSG00000000392,0,0,0,0,0,17
ENSMUSG00000000399,0,0,21,11,0,0
ENSMUSG00000000409,0,26,0,24,0,0
ENSMUSG00000000416,0,0,0,0,0,7
ENSMUSG00000000420,2,0,0,30,1,44
ENSMUSG00000000439,0,0,107,51,50,215
ENSMUSG00000000440,0,0,0,0,1,0
ENSMUSG00000000441,5,0,22,8,0,4
ENSMUSG00000000489,124,0,0,0,0,90
ENSMUSG00000000531,151,0,267,50,5,169
ENSMUSG00000000532,3,0,0,19,0,6
ENSMUSG00000000538,2,0,20,16,0,7
ENSMUSG00000000552,0,0,0,4,0,0
ENSMUSG00000000560,5,3,0,11,4,59
ENSMUSG00000000561,47,2,12,17,18,11
ENSMUSG00000000563,6,26,0,1,0,101
ENSMUSG00000000567,0,0,0,10,0,20
ENSMUSG00000000568,24,0,1,0,11,25
ENSMUSG00000000579,273,2,7,9,3,12
ENSMUSG00000000581,3,0,0,0,8,24
ENSMUSG00000000594,0,0,0,0,0,2
ENSMUSG00000000605,105,0,1,25,45,41
ENSMUSG00000000627,12,0,0,0,0,0
ENSMUSG00000000631,271,0,6,2,0,20
ENSMUSG00000000632,0,0,0,0,0,59
ENSMUSG00000000693,0,0,0,0,0,3
ENSMUSG00000000711,73,0,0,7,27,20
ENSMUSG00000000738,0,0,0,0,9,0
ENSMUSG00000000739,6,0,1,0,0,0
ENSMUSG00000000740,652,11,296,112,50,125
ENSMUSG00000000743,329,34,215,429,43,138
ENSMUSG00000000759,0,0,0,13,10,0
ENSMUSG00000000776,0,0,3,0,0,7
ENSMUSG00000000787,383,0,20,21,9,24
ENSMUSG00000000792,0,0,1,3,0,0
