,25L007993,25L007994,25L007995,25L008005,25L008006,25L008007
ENSMUSG00000000794,0,0,0,32,0,0
ENSMUSG00000000804,12,0,10,69,109,0
ENSMUSG00000000805,0,0,95,16,48,106
ENSMUSG00000000811,22,7,0,44,1,0
ENSMUSG00000000823,1,0,0,33,3,26
ENSMUSG00000000826,2973,63,58,468,171,211
ENSMUSG00000000827,5,0,2,5,1,54
ENSMUSG00000000838,9,0,5,5,0,0
ENSMUSG00000000861,154,44,94,33,30,91
ENSMUSG00000000876,18,0,5,0,17,2
ENSMUSG00000000881,107,0,0,3,20,14
ENSMUSG00000000884,226,0,0,3,0,0
ENSMUSG00000000901,1,0,0,0,0,0
ENSMUSG00000000902,0,0,0,4,0,0
ENSMUSG00000000915,1294,20,257,80,35,31
ENSMUSG00000000916,406,0,6,1,1,2
ENSMUSG00000000934,0,0,5,14,6,3
ENSMUSG00000000948,76,0,15,2,11,7
ENSMUSG00000000957,0,0,5,0,0,0
ENSMUSG00000000959,0,0,0,0,0,35
ENSMUSG00000000976,30,0,0,0,0,96
ENSMUSG00000001016,12,0,2,1,4,0
ENSMUSG00000001017,13,0,24,25,59,105
ENSMUSG00000001018,184,0,1,88,14,0
ENSMUSG00000001034,0,0,4,0,7,0
ENSMUSG00000001036,71,0,0,11,0,57
ENSMUSG00000001039,0,0,0,23,0,0
ENSMUSG00000001052,3,0,0,0,2,8
ENSMUSG00000001053,0,0,0,7,0,1
ENSMUSG00000001056,3671,83,894,359,120,276
ENSMUSG00000001062,7,0,2,5,54,17
ENSMUSG00000001065,0,0,6,0,0,0
ENSMUSG00000001089,14,0,0,1,40,40
ENSMUSG00000001098,787,0,15,19,3,20
ENSMUSG00000001100,257,44,0,118,188,371
ENSMUSG00000001105,316,0,173,46,28,29
ENSMUSG00000001120,90,0,0,2,3,17
ENSMUSG00000001127,3,0,0,64,20,4
ENSMUSG00000001138,0,0,0,0,7,16
ENSMUSG00000001143,0,0,0,1,17,11
ENSMUSG00000001157,8,0,0,1,0,13
ENSMUSG00000001158,32,0,15,25,0,30
ENSMUSG00000001166,0,0,0,0,2,5
ENSMUSG00000001173,27,0,0,2,0,6
ENSMUSG00000001175,1651,36,967,672,362,833
ENSMUSG00000001211,713,0,121,260,43,171
ENSMUSG00000001227,650,9,91,30,26,127
ENSMUSG00000001229,0,0,0,17,0,24
ENSMUSG00000001240,76,12,0,9,0,6
ENSMUSG00000001248,2,119,16,24,51,61
ENSMUSG00000001260,0,0,0,0,0,4
ENSMUSG00000001270,1385,79,548,99,158,286
ENSMUSG00000001280,0,0,0,0,0,11
ENSMUSG00000001285,0,1,0,0,0,24
ENSMUSG00000001288,0,0,0,0,0,10
ENSMUSG00000001289,499,10,396,96,35,92
ENSMUSG00000001300,7,0,3,23,0,134
ENSMUSG00000001305,0,0,16,0,0,0
ENSMUSG00000001313,0,11,35,12,31,9
ENSMUSG00000001323,0,0,25,21,9,57
ENSMUSG00000001349,0,0,0,0,1,0
ENSMUSG00000001366,3,0,4,0,6,2
ENSMUSG00000001380,33,5,4,12,0,54
ENSMUSG00000001383,0,7,0,18,3,7
ENSMUSG00000001403,70,0,0,0,0,0
ENSMUSG00000001415,0,0,9,17,0,86
ENSMUSG00000001416,0,4,175,77,0,10
ENSMUSG00000001418,0,0,0,24,16,4
ENSMUSG00000001419,3,0,0,35,0,28
ENSMUSG00000001420,0,0,0,14,0,0
ENSMUSG00000001424,9,0,0,23,0,11
ENSMUSG00000001435,629,0,0,0,0,0
ENSMUSG00000001440,243,0,0,6,14,21
ENSMUSG00000001441,32,0,7,30,2,3
ENSMUSG00000001445,127,5,66,12,0,20
ENSMUSG00000001467,71,0,9,26,17,13
ENSMUSG00000001472,1207,29,796,264,231,612
ENSMUSG00000001482,0,0,16,0,7,13
ENSMUSG00000001497,15,4,3,0,0,9
ENSMUSG00000001507,6,0,0,0,0,1
ENSMUSG00000001517,0,0,0,0,8,0
ENSMUSG00000001518,0,23,0,0,22,0
ENSMUSG00000001520,0,0,0,6,0,0
ENSMUSG00000001521,5,0,26,0,0,0
ENSMUSG00000001525,859,17,78,1,96,9
ENSMUSG00000001542,0,0,0,123,51,20
ENSMUSG00000001552,1,0,0,0,0,0
ENSMUSG00000001569,3,0,6,35,6,13
ENSMUSG00000001576,4,0,0,43,7,59
ENSMUSG00000001622,3,0,0,0,0,0
ENSMUSG00000001627,0,0,4,10,3,29
ENSMUSG00000001632,1,0,0,4,0,38
ENSMUSG00000001642,481,0,0,20,35,157
ENSMUSG00000001656,1,0,0,0,0,0
ENSMUSG00000001666,0,0,0,30,0,7
ENSMUSG00000001674,0,0,0,0,0,12
ENSMUSG00000001687,686,1,0,5,4,72
ENSMUSG00000001707,0,0,0,9,15,9
ENSMUSG00000001729,0,0,0,6,7,32
ENSMUSG00000001750,11,0,0,0,0,1
ENSMUSG00000001755,130,11,8,90,10,16
ENSMUSG00000001774,9,0,0,6,0,32
ENSMUSG00000001783,1076,41,5,110,28,62
ENSMUSG00000001785,0,0,0,3,62,10
ENSMUSG00000001786,0,0,0,5,0,27
ENSMUSG00000001794,1311,34,60,139,66,468
ENSMUSG00000001802,0,0,0,0,9,0
ENSMUSG00000001829,0,0,0,2,11,4
ENSMUSG00000001833,107,0,13,95,66,59
ENSMUSG00000001844,64,8,204,170,8,26
ENSMUSG00000001847,553,0,49,69,23,8
ENSMUSG00000001855,0,0,0,47,10,1
ENSMUSG00000001891,68,1,7,15,3,0
ENSMUSG00000001909,324,0,3,0,0,0
ENSMUSG00000001910,445,0,0,86,47,15
ENSMUSG00000001911,1606,46,225,106,48,315
ENSMUSG00000001924,0,0,0,0,0,31
ENSMUSG00000001930,1,0,0,0,0,2
ENSMUSG00000001962,51,0,0,0,0,5
ENSMUSG00000001964,17,4,6,4,5,2
ENSMUSG00000001983,0,0,0,0,6,0
ENSMUSG00000001986,0,0,0,12,0,0
ENSMUSG00000001995,0,0,0,16,0,70
ENSMUSG00000001998,2,0,4,1,0,21
ENSMUSG00000001999,0,42,0,11,0,39
ENSMUSG00000002006,123,0,71,16,36,53
ENSMUSG00000002010,0,12,1,0,5,69
ENSMUSG00000002012,0,0,0,1,7,0
ENSMUSG00000002014,2,0,6,217,35,15
ENSMUSG00000002015,78,30,13,9,0,17
ENSMUSG00000002017,173,13,0,72,124,133
ENSMUSG00000002028,0,0,26,2,0,14
ENSMUSG00000002031,0,0,3,34,17,6
ENSMUSG00000002032,0,0,17,0,32,217
ENSMUSG00000002043,0,111,640,197,0,40
ENSMUSG00000002052,269,0,0,78,5,4
ENSMUSG00000002055,1,0,0,0,0,0
ENSMUSG00000002058,0,15,19,258,34,16
ENSMUSG00000002059,0,0,0,17,0,5
ENSMUSG00000002064,1027,0,0,0,15,174
ENSMUSG00000002068,0,0,0,45,3,38
ENSMUSG00000002083,19,0,0,0,0,11
ENSMUSG00000002102,155,14,13,124,85,90
ENSMUSG00000002103,0,0,0,0,23,62
ENSMUSG00000002105,0,0,0,0,0,5
ENSMUSG00000002107,5804,196,467,463,258,465
ENSMUSG00000002109,0,0,0,4,0,0
ENSMUSG00000002129,0,0,0,29,1,51
ENSMUSG00000002147,0,0,0,7,0,9
ENSMUSG00000002205,864,0,0,15,16,26
ENSMUSG00000002210,0,24,0,193,6,31
ENSMUSG00000002221,1,0,1,0,19,0
ENSMUSG00000002222,0,0,49,15,0,17
ENSMUSG00000002227,0,0,0,3,0,0
ENSMUSG00000002233,0,0,0,12,0,21
ENSMUSG00000002250,0,0,0,0,32,0
ENSMUSG00000002265,0,0,2,3,0,49
ENSMUSG00000002266,0,0,0,0,0,5
ENSMUSG00000002280,82,0,0,15,8,36
ENSMUSG00000002297,14,10,0,15,3,0
ENSMUSG00000002307,346,0,17,33,10,0
ENSMUSG00000002308,8,0,0,0,0,4
ENSMUSG00000002319,11,18,0,46,1,16
ENSMUSG00000002320,0,0,0,0,290,4
ENSMUSG00000002325,0,0,89,0,0,4
ENSMUSG00000002326,0,0,0,7,27,10
ENSMUSG00000002329,243,0,1,35,7,72
ENSMUSG00000002332,0,0,0,0,0,8
ENSMUSG00000002341,54,0,0,1,45,22
ENSMUSG00000002342,91,2,16,5,10,19
ENSMUSG00000002343,4,27,49,120,10,44
ENSMUSG00000002345,7054,138,937,360,44,424
ENSMUSG00000002346,0,4,0,13,0,0
ENSMUSG00000002372,0,0,0,0,0,3
ENSMUSG00000002379,253,0,350,224,147,113
ENSMUSG00000002393,0,0,7,11,29,53
ENSMUSG00000002395,511,0,17,0,2,17
ENSMUSG00000002396,9,0,68,32,0,22
ENSMUSG00000002409,0,0,0,0,0,10
ENSMUSG00000002413,31,4,67,77,17,26
ENSMUSG00000002416,1017,1,92,81,33,33
ENSMUSG00000002458,13,0,259,9,12,53
ENSMUSG00000002459,0,3,0,0,0,0
ENSMUSG00000002477,188,4,46,4,21,14
ENSMUSG00000002486,0,0,0,0,0,4
ENSMUSG00000002489,72,0,0,0,0,67
ENSMUSG00000002496,3,2,3,53,122,166
ENSMUSG00000002504,0,0,0,0,9,32
ENSMUSG00000002524,0,0,160,73,16,46
ENSMUSG00000002546,350,0,0,0,0,2
ENSMUSG00000002550,2522,147,167,111,49,806
ENSMUSG00000002578,1,0,1,0,4,92
ENSMUSG00000002580,2232,192,534,282,159,355
ENSMUSG00000002608,116,4,0,54,0,3
ENSMUSG00000002617,41,150,0,0,0,18
ENSMUSG00000002625,0,0,62,0,1,24
ENSMUSG00000002635,2,0,0,0,0,13
ENSMUSG00000002658,16,7,26,28,12,9
ENSMUSG00000002660,624,2,24,100,85,154
ENSMUSG00000002661,0,0,28,0,3,38
ENSMUSG00000002679,0,0,0,4,0,0
ENSMUSG00000002718,0,0,0,16,0,0
ENSMUSG00000002728,1,0,9,10,25,142
ENSMUSG00000002731,39,0,0,0,0,1
ENSMUSG00000002733,651,96,2,55,4,85
ENSMUSG00000002741,136,5,123,53,83,119
ENSMUSG00000002748,0,0,1,6,0,6
ENSMUSG00000002763,53,0,1,0,0,2
ENSMUSG00000002767,0,0,2,0,0,16
ENSMUSG00000002768,806,6,271,240,229,259
ENSMUSG00000002771,72,26,5,7,4,8
ENSMUSG00000002778,0,0,0,0,0,14
ENSMUSG00000002781,0,0,0,0,0,12
ENSMUSG00000002797,0,0,0,74,0,10
ENSMUSG00000002799,6,0,0,9,0,12
ENSMUSG00000002803,1,0,0,10,6,16
ENSMUSG00000002804,871,0,0,0,0,3
ENSMUSG00000002808,0,0,0,0,0,21
ENSMUSG00000002812,0,0,0,0,0,4
ENSMUSG00000002814,0,0,0,23,0,0
ENSMUSG00000002820,1,10,60,27,11,73
ENSMUSG00000002825,0,0,27,0,0,5
ENSMUSG00000002833,49,0,0,0,0,26
ENSMUSG00000002835,3,0,0,1,0,0
ENSMUSG00000002844,0,0,0,4,1,0
ENSMUSG00000002846,0,0,0,0,34,0
ENSMUSG00000002870,7,0,0,0,0,0
ENSMUSG00000002871,0,0,0,0,0,2
ENSMUSG00000002881,174,11,29,33,0,46
ENSMUSG00000002885,0,0,8,0,0,0
ENSMUSG00000002908,0,5,0,0,16,4
ENSMUSG00000002910,3,0,72,0,0,0
ENSMUSG00000002948,0,0,0,55,7,105
ENSMUSG00000002949,0,0,0,10,0,1
ENSMUSG00000002957,2471,672,225,197,931,489
ENSMUSG00000002963,0,0,181,71,17,67
ENSMUSG00000002968,1,0,0,0,34,54
ENSMUSG00000002981,263,0,0,15,41,119
ENSMUSG00000002984,15,20,3,254,0,148
ENSMUSG00000002985,0,0,0,0,0,67
ENSMUSG00000002996,0,0,0,23,4,6
ENSMUSG00000002997,5,0,14,97,0,36
ENSMUSG00000003031,0,0,0,82,0,102
ENSMUSG00000003033,43,0,0,93,0,17
ENSMUSG00000003037,339,0,0,18,19,10
ENSMUSG00000003038,58,26,402,23,24,43
ENSMUSG00000003039,2175,12,271,3,80,26
ENSMUSG00000003062,153,9,8,15,0,20
ENSMUSG00000003068,0,0,1,6,0,17
ENSMUSG00000003070,0,0,1,4,0,14
ENSMUSG00000003072,2473,7,693,384,218,363
ENSMUSG00000003099,475,0,16,0,0,9
ENSMUSG00000003131,332,9,237,69,47,33
ENSMUSG00000003135,0,0,0,0,15,46
ENSMUSG00000003153,2,0,0,6,0,7
ENSMUSG00000003154,102,0,0,35,0,27
ENSMUSG00000003161,281,0,7,13,152,0
ENSMUSG00000003166,48,18,0,110,33,81
ENSMUSG00000003184,0,0,96,0,33,0
ENSMUSG00000003198,0,0,0,0,0,37
ENSMUSG00000003199,710,0,6,2,14,80
ENSMUSG00000003206,3,0,0,0,0,8
ENSMUSG00000003208,0,3,0,72,7,6
ENSMUSG00000003226,0,0,0,0,0,14
ENSMUSG00000003228,0,0,0,0,0,8
ENSMUSG00000003233,20,0,62,13,11,35
ENSMUSG00000003234,0,5,0,12,0,9
ENSMUSG00000003235,73,20,131,108,20,104
ENSMUSG00000003269,15,0,0,7,5,3
ENSMUSG00000003271,0,0,0,0,0,11
ENSMUSG00000003273,40,0,7,1,0,8
ENSMUSG00000003279,278,8,71,21,25,38
ENSMUSG00000003299,246,0,23,0,26,12
ENSMUSG00000003308,14,4,0,123,57,39
ENSMUSG00000003316,215,28,21,84,31,58
ENSMUSG00000003344,5,0,0,26,38,49
ENSMUSG00000003345,1097,8,96,63,14,253
ENSMUSG00000003346,0,9,3,14,31,62
ENSMUSG00000003348,6,0,308,32,37,183
ENSMUSG00000003352,25,58,19,199,37,49
ENSMUSG00000003354,0,0,0,0,0,15
ENSMUSG00000003360,0,0,0,0,5,0
ENSMUSG00000003363,13,6,0,13,14,12
ENSMUSG00000003378,0,0,57,143,8,180
ENSMUSG00000003380,235,0,439,218,204,285
ENSMUSG00000003382,0,0,0,30,82,14
ENSMUSG00000003402,201,7,8,0,36,41
ENSMUSG00000003410,5363,360,1113,896,323,616
ENSMUSG00000003411,1,0,0,23,12,22
ENSMUSG00000003421,0,19,0,99,4,87
ENSMUSG00000003423,385,8,343,22,38,15
ENSMUSG00000003429,66,3,143,108,4,30
ENSMUSG00000003435,58,0,11,0,4,17
ENSMUSG00000003436,0,0,0,8,4,0
ENSMUSG00000003437,0,0,12,0,0,0
ENSMUSG00000003438,40,0,41,133,56,572
ENSMUSG00000003444,4,0,4,102,161,194
ENSMUSG00000003452,24,0,10,0,0,0
ENSMUSG00000003464,3,1,517,3,31,131
ENSMUSG00000003469,829,0,0,296,20,44
ENSMUSG00000003476,0,0,5,0,0,0
ENSMUSG00000003500,328,0,14,1,7,5
ENSMUSG00000003518,216,0,23,41,62,111
ENSMUSG00000003527,0,0,0,79,0,14
ENSMUSG00000003528,293,10,0,106,11,9
ENSMUSG00000003531,0,24,427,73,75,149
ENSMUSG00000003541,7,0,0,16,25,125
ENSMUSG00000003545,0,0,0,0,0,63
ENSMUSG00000003546,0,9,0,0,0,0
ENSMUSG00000003549,84,25,63,32,18,175
ENSMUSG00000003573,478,0,0,0,2,0
ENSMUSG00000003575,164,0,27,15,70,19
ENSMUSG00000003581,4,0,0,0,5,0
ENSMUSG00000003604,0,0,28,4,0,0
ENSMUSG00000003660,165,0,0,0,0,12
ENSMUSG00000003662,1,0,8,0,6,0
ENSMUSG00000003721,0,14,0,5,25,79
ENSMUSG00000003731,0,0,0,17,16,22
ENSMUSG00000003746,0,0,0,0,0,6
ENSMUSG00000003762,0,133,0,51,0,0
ENSMUSG00000003778,8,0,0,0,16,13
ENSMUSG00000003808,0,0,4,30,0,21
ENSMUSG00000003809,4,0,0,4,0,0
ENSMUSG00000003810,635,0,41,27,0,55
ENSMUSG00000003812,0,0,0,0,0,11
ENSMUSG00000003813,100,2,18,20,43,204
ENSMUSG00000003814,60,0,4,27,0,71
ENSMUSG00000003824,53,1,17,0,0,0
ENSMUSG00000003847,0,0,0,0,0,21
ENSMUSG00000003848,0,0,0,0,7,18
ENSMUSG00000003863,2,0,38,102,11,116
ENSMUSG00000003865,14,8,2,36,6,178
ENSMUSG00000003868,5,2,0,0,6,0
ENSMUSG00000003872,39,0,196,0,0,23
ENSMUSG00000003873,511,0,15,303,187,44
ENSMUSG00000003923,0,11,0,17,0,28
ENSMUSG00000003929,0,0,0,11,0,6
ENSMUSG00000003934,1025,0,1,0,0,33
ENSMUSG00000003948,42,8,4,45,13,25
ENSMUSG00000003949,0,0,0,5,9,9
ENSMUSG00000003955,7,2,28,18,0,4
ENSMUSG00000003970,1675,23,348,140,25,308
ENSMUSG00000003974,0,0,0,0,1,0
ENSMUSG00000003992,24,54,0,110,7,47
ENSMUSG00000004018,4,0,0,7,3,0
ENSMUSG00000004032,0,0,0,76,47,231
ENSMUSG00000004040,0,0,59,2,0,5
ENSMUSG00000004054,0,0,5,0,28,0
ENSMUSG00000004056,1834,20,0,146,98,18
ENSMUSG00000004069,0,0,0,0,0,8
ENSMUSG00000004070,0,0,0,4,9,139
ENSMUSG00000004071,6273,41,13,180,39,233
ENSMUSG00000004096,16,0,12,10,0,0
ENSMUSG00000004099,0,0,0,3,0,0
ENSMUSG00000004100,10,0,0,0,0,1
ENSMUSG00000004110,52,0,0,6,0,0
ENSMUSG00000004113,163,0,0,0,0,2
ENSMUSG00000004127,2,0,0,0,3,12
ENSMUSG00000004151,5,0,2,1,0,32
ENSMUSG00000004187,111,0,0,1,0,7
ENSMUSG00000004207,65,0,4,158,21,451
ENSMUSG00000004221,0,36,2,0,3,0
ENSMUSG00000004263,0,0,0,222,0,7
ENSMUSG00000004264,0,0,0,8,35,118
ENSMUSG00000004267,199,22,14,196,241,109
ENSMUSG00000004268,199,0,0,2,4,1
ENSMUSG00000004285,3704,210,202,372,106,515
ENSMUSG00000004317,3,0,0,0,15,2
ENSMUSG00000004319,87,22,0,33,105,41
ENSMUSG00000004328,0,0,0,11,0,0
ENSMUSG00000004347,0,0,2,0,18,0
ENSMUSG00000004356,5,0,0,0,12,7
ENSMUSG00000004364,42,0,13,21,0,18
ENSMUSG00000004366,0,0,0,0,0,1
ENSMUSG00000004383,66,1,57,33,5,15
ENSMUSG00000004393,4575,0,0,50,8,11
ENSMUSG00000004394,5,2,0,17,1,61
ENSMUSG00000004415,0,10,281,0,10,0
ENSMUSG00000004446,0,0,5,0,71,0
ENSMUSG00000004451,0,0,0,7,12,11
ENSMUSG00000004455,269,0,2,43,11,18
ENSMUSG00000004460,10,0,0,0,0,0
ENSMUSG00000004462,1,0,4,0,0,4
ENSMUSG00000004500,0,0,0,2,0,10
ENSMUSG00000004508,36,0,0,38,1,9
ENSMUSG00000004530,1,0,59,3,31,33
ENSMUSG00000004535,340,0,15,44,29,129
ENSMUSG00000004561,0,0,16,0,22,46
ENSMUSG00000004562,16,0,9,0,6,0
ENSMUSG00000004567,0,0,0,0,0,15
ENSMUSG00000004568,0,0,0,14,0,0
ENSMUSG00000004591,0,0,0,0,12,5
ENSMUSG00000004610,316,0,201,11,5,22
ENSMUSG00000004626,9,0,17,4,7,6
ENSMUSG00000004630,0,1,0,0,0,0
ENSMUSG00000004631,0,0,0,2,0,0
ENSMUSG00000004637,0,0,0,0,25,0
ENSMUSG00000004642,18,1,4,0,0,46
ENSMUSG00000004651,1,0,4,0,0,0
ENSMUSG00000004661,5,0,0,0,0,0
ENSMUSG00000004665,214,0,0,226,10,0
ENSMUSG00000004667,1532,24,278,9,33,124
ENSMUSG00000004677,8,0,0,0,0,0
ENSMUSG00000004698,490,0,0,99,10,102
ENSMUSG00000004748,2,0,205,119,94,181
ENSMUSG00000004768,1,0,0,1,2,0
ENSMUSG00000004771,7,0,42,23,0,11
ENSMUSG00000004788,0,0,0,0,0,3
ENSMUSG00000004789,7,69,24,58,17,3
ENSMUSG00000004791,648,0,0,45,0,26
ENSMUSG00000004798,0,0,7,36,1,2
ENSMUSG00000004815,0,0,0,32,0,24
ENSMUSG00000004843,2,0,0,0,0,19
ENSMUSG00000004846,313,0,1,5,10,45
ENSMUSG00000004849,101,1,51,109,23,90
ENSMUSG00000004865,2,83,91,8,25,2
ENSMUSG00000004880,0,0,3,15,0,11
ENSMUSG00000004895,0,0,0,24,24,6
ENSMUSG00000004897,1555,12,0,5,24,89
ENSMUSG00000004929,79,0,0,13,47,28
ENSMUSG00000004933,280,0,107,57,14,33
ENSMUSG00000004934,38,7,10,28,30,85
ENSMUSG00000004936,21,0,0,0,14,85
ENSMUSG00000004937,419,19,324,273,59,267
ENSMUSG00000004945,0,0,15,22,0,7
ENSMUSG00000004947,306,0,0,0,0,0
ENSMUSG00000004952,0,0,324,0,0,0
ENSMUSG00000004961,55,0,1,0,0,6
ENSMUSG00000004980,0,0,3,7,0,51
ENSMUSG00000004994,185,0,7,46,27,3
ENSMUSG00000005034,1485,12,89,150,174,538
ENSMUSG00000005045,0,0,38,0,4,63
ENSMUSG00000005054,6,0,0,0,23,5
ENSMUSG00000005057,0,0,7,3,6,17
ENSMUSG00000005069,76,0,0,1,0,78
ENSMUSG00000005078,52,29,0,24,13,109
ENSMUSG00000005089,0,0,8,0,24,4
ENSMUSG00000005103,1,0,0,10,0,2
ENSMUSG00000005125,47,0,20,0,0,0
ENSMUSG00000005142,0,0,0,2,2,7
ENSMUSG00000005148,0,0,24,111,203,78
ENSMUSG00000005150,188,11,19,3,3,32
ENSMUSG00000005161,693,15,115,135,68,209
ENSMUSG00000005204,0,0,0,0,0,6
ENSMUSG00000005225,73,9,0,16,0,19
ENSMUSG00000005262,190,0,0,5,0,64
ENSMUSG00000005267,184,2,2,5,16,49
ENSMUSG00000005299,0,0,0,0,9,0
ENSMUSG00000005312,0,27,4,38,46,65
ENSMUSG00000005338,0,0,0,5,23,2
ENSMUSG00000005354,1475,131,162,191,359,360
ENSMUSG00000005357,0,0,0,2,3,0
ENSMUSG00000005362,0,0,4,0,0,0
ENSMUSG00000005371,0,0,0,0,0,16
ENSMUSG00000005374,0,0,88,0,32,5
ENSMUSG00000005378,40,0,7,6,81,16
ENSMUSG00000005410,0,0,0,14,0,0
ENSMUSG00000005413,0,0,0,0,0,7
ENSMUSG00000005417,45,0,14,59,55,11
ENSMUSG00000005442,592,26,536,64,19,35
ENSMUSG00000005447,154,1,59,66,6,43
ENSMUSG00000005469,24,0,4,26,24,90
ENSMUSG00000005481,0,3,0,0,0,0
ENSMUSG00000005483,789,6,20,7,43,5
ENSMUSG00000005501,0,0,1,0,0,0
ENSMUSG00000005505,0,0,0,33,5,19
ENSMUSG00000005506,1470,28,154,392,105,390
ENSMUSG00000005510,0,1,0,45,0,0
ENSMUSG00000005514,11,0,0,7,5,0
ENSMUSG00000005533,499,0,2,0,4,1
ENSMUSG00000005534,0,0,0,20,3,50
ENSMUSG00000005553,2,0,3,0,0,0
ENSMUSG00000005566,9,0,0,0,0,7
ENSMUSG00000005575,184,8,497,142,42,309
ENSMUSG00000005580,0,0,0,10,0,0
ENSMUSG00000005583,3191,48,229,1292,389,1405
ENSMUSG00000005609,0,0,0,3,0,38
ENSMUSG00000005610,315,0,29,21,20,4
ENSMUSG00000005615,0,4,18,37,48,34
ENSMUSG00000005621,0,0,0,0,4,29
ENSMUSG00000005625,812,100,2,71,50,163
ENSMUSG00000005656,167,0,28,48,7,26
ENSMUSG00000005667,0,0,32,4,0,187
ENSMUSG00000005672,5,0,0,0,0,0
ENSMUSG00000005674,377,0,105,124,16,95
ENSMUSG00000005677,77,0,29,6,0,5
ENSMUSG00000005683,5,0,0,197,14,31
ENSMUSG00000005687,12,0,41,6,16,8
ENSMUSG00000005698,537,8,2,14,7,12
ENSMUSG00000005699,711,0,5,169,90,39
ENSMUSG00000005732,0,0,0,5,0,2
ENSMUSG00000005774,0,0,1,0,0,0
ENSMUSG00000005779,0,5,0,36,0,0
ENSMUSG00000005802,0,0,0,49,0,25
ENSMUSG00000005804,115,0,9,0,14,0
ENSMUSG00000005813,134,0,0,5,39,81
ENSMUSG00000005823,1559,28,0,26,7,10
ENSMUSG00000005846,117,0,0,9,0,17
ENSMUSG00000005871,22,0,8,28,80,59
ENSMUSG00000005873,2186,39,555,338,131,540
ENSMUSG00000005881,68,0,0,77,7,319
ENSMUSG00000005882,0,0,0,35,14,48
ENSMUSG00000005886,279,0,0,2,0,11
ENSMUSG00000005893,58,9,34,11,23,7
ENSMUSG00000005899,0,11,2,12,0,0
ENSMUSG00000005907,1,0,0,0,0,0
ENSMUSG00000005936,9,0,3,7,9,79
