"Gene","GeneName","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003","TSPAN6",0.294207420829809,-2.85235920139473e-07,0.00144269500299221,0.514276722952359,NA
"ENSG00000000005","TNMD",0,NA,NA,NA,NA
"ENSG00000000419","DPM1",0.473225911071775,-2.53439227395113e-07,0.00144269496555309,0.497031740585441,NA
"ENSG00000000457","SCYL3",0.082109586378458,9.87157506654993e-09,0.00144269492610627,0.959604541505348,NA
"ENSG00000000460","C1orf112",0,NA,NA,NA,NA
"ENSG00000000938","FGR",0,NA,NA,NA,NA
"ENSG00000000971","CFH",0,NA,NA,NA,NA
"ENSG00000001036","FUCA2",0,NA,NA,NA,NA
"ENSG00000001084","GCLC",0.213959273182007,-2.31845143234453e-07,0.00144269498930995,0.817909334121948,NA
"ENSG00000001167","NFYA",0.948261112505893,-3.85836372510245e-07,0.00144269503438992,0.20780706816889,NA
"ENSG00000001460","STPG1",0.0392160884162586,-1.59883959022997e-07,0.00144269498073808,0.828219485339537,NA
"ENSG00000001461","NIPAL3",0.660495787471958,-3.67908197479338e-07,0.00144269464993975,0.484782948794499,NA
"ENSG00000001497","LAS1L",0,NA,NA,NA,NA
"ENSG00000001561","ENPP4",0,NA,NA,NA,NA
"ENSG00000001617","SEMA3F",0.178448170643227,1.3258628730033e-07,0.00144269492529453,0.85770082750106,NA
"ENSG00000001626","CFTR",0,NA,NA,NA,NA
"ENSG00000001629","ANKIB1",0,NA,NA,NA,NA
"ENSG00000001630","CYP51A1",0.0775688128760236,1.70067050997535e-07,0.0014426949812472,0.921534779338095,NA
"ENSG00000001631","KRIT1",0.228262138270638,-2.78869502230223e-07,0.00144269499984963,0.541114138811487,NA
"ENSG00000002016","RAD52",0,NA,NA,NA,NA
"ENSG00000002330","BAD",1.99188084520263,4.53677485116205e-07,0.0014426943215468,0.550334788915406,0.92477955405609
"ENSG00000002549","LAP3",0,NA,NA,NA,NA
"ENSG00000002586","CD99",0.665956792850212,-4.06867011087103e-07,0.00144269493668402,0.321158939757686,NA
"ENSG00000002587","HS3ST1",0,NA,NA,NA,NA
"ENSG00000002726","AOC1",0,NA,NA,NA,NA
"ENSG00000002745","WNT16",0,NA,NA,NA,NA
"ENSG00000002746","HECW1",0,NA,NA,NA,NA
"ENSG00000002822","MAD1L1",0,NA,NA,NA,NA
"ENSG00000002834","LASP1",1.29606368544756,4.31779122838523e-07,0.00144269503419528,0.1523197533672,NA
"ENSG00000002919","SNX11",0.607936128159877,-5.01427927200662e-07,0.0014426950096505,0.222562969575598,NA
"ENSG00000002933","TMEM176A",0,NA,NA,NA,NA
"ENSG00000003056","M6PR",0.228744522018263,1.68348617067789e-07,0.00144269493394939,0.786629377717299,NA
"ENSG00000003096","KLHL13",0,NA,NA,NA,NA
"ENSG00000003137","CYP26B1",0.0711358694993532,-1.83277818778425e-07,0.00144269498099459,0.817909334121948,NA
"ENSG00000003147","ICA1",0.0711358694993532,-1.83277818778425e-07,0.00144269498099459,0.817909334121948,NA
"ENSG00000003249","DBNDD1",0.0711358694993532,-1.83277818778425e-07,0.00144269498099459,0.817909334121948,NA
"ENSG00000003393","ALS2",0.816632708919887,9.63017916487416e-09,0.00144269469327312,0.995493706529604,NA
"ENSG00000003400","CASP10",0.121325674794717,-6.80079285821428e-08,0.00144269491653304,0.860478653761391,NA
"ENSG00000003402","CFLAR",1.75711957533539,1.21218063368128e-07,0.00144269436668226,0.866983961928206,0.986627748674298
"ENSG00000003436","TFPI",0.035698892302802,-1.53986517773582e-07,0.0014426949808346,0.837479417502493,NA
"ENSG00000003509","NDUFAF7",0.238284806148845,1.72874753062789e-07,0.00144269493553016,0.77637027965903,NA
