,SN_S1_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S1_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S1_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_3_MKDL250005004-1A_22VVM5LT4_L5
ENSG00000257923,136.0,57.0,78.0,26.0,31.0,34.0,15.0,15.0,15.0,36.0,77.0,42.0,9.0,20.0,33.0,0.0,0.0,1.0,27.0,19.0,1.0,40.0,39.0,14.0,20.0,11.0,4.0,20.0,38.0,13.0,18.0,10.0,6.0,10.0,28.0,1.0
ENSG00000257949,98.0,84.0,32.0,0.0,19.0,20.0,32.0,19.0,25.0,0.0,5.0,4.0,58.0,53.0,424.0,0.0,0.0,0.0,12.0,3.0,12.0,49.0,47.0,11.0,28.0,10.0,10.0,36.0,27.0,2.0,5.0,14.0,8.0,28.0,61.0,9.0
ENSG00000257950,236.0,293.0,164.0,9.0,60.0,39.0,46.0,51.0,5.0,38.0,198.0,15.0,3.0,56.0,44.0,3.0,2.0,3.0,52.0,19.0,17.0,63.0,64.0,21.0,53.0,32.0,13.0,71.0,34.0,11.0,15.0,30.0,17.0,50.0,70.0,9.0
ENSG00000257987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258064,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0
ENSG00000258083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258102,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,7.0,5.0,0.0,7.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0
ENSG00000258223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
