,SN_S1_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S1_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S1_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_3_MKDL250005004-1A_22VVM5LT4_L5
ENSG00000000003,226.0,160.0,89.0,58.0,256.0,246.0,3.0,6.0,1.0,53.0,99.0,54.0,63.0,55.0,224.0,0.0,0.0,4.0,501.0,408.0,483.0,1242.0,1808.0,713.0,722.0,694.0,467.0,1291.0,1168.0,301.0,232.0,507.0,277.0,691.0,1351.0,294.0
ENSG00000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0
ENSG00000000419,184.0,190.0,31.0,7.0,55.0,18.0,29.0,39.0,13.0,16.0,91.0,26.0,5.0,13.0,6.0,2.0,2.0,6.0,24.0,25.0,20.0,76.0,29.0,16.0,41.0,28.0,12.0,48.0,19.0,6.0,10.0,15.0,18.0,45.0,78.0,6.0
ENSG00000000457,28.0,36.0,2.0,0.0,1.0,0.0,3.0,13.0,6.0,5.0,12.0,3.0,0.0,5.0,26.0,3.0,0.0,1.0,16.0,4.0,6.0,12.0,14.0,4.0,12.0,8.0,5.0,14.0,12.0,5.0,2.0,11.0,5.0,6.0,19.0,0.0
ENSG00000000460,4.0,13.0,0.0,0.0,5.0,2.0,15.0,3.0,3.0,2.0,32.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,8.0,12.0,23.0,30.0,5.0,24.0,5.0,15.0,13.0,12.0,2.0,4.0,16.0,4.0,21.0,31.0,3.0
ENSG00000000938,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000971,14.0,26.0,9.0,1.0,1.0,2.0,5.0,9.0,0.0,2.0,13.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,5.0,12.0,3.0,12.0,3.0,4.0,0.0,3.0,1.0,1.0,5.0,4.0,0.0,2.0
ENSG00000001036,139.0,50.0,81.0,19.0,49.0,57.0,10.0,1.0,8.0,26.0,14.0,28.0,31.0,4.0,135.0,0.0,0.0,0.0,161.0,128.0,67.0,375.0,425.0,104.0,135.0,64.0,55.0,239.0,299.0,60.0,44.0,80.0,66.0,90.0,252.0,62.0
ENSG00000001084,60.0,35.0,4.0,4.0,27.0,4.0,37.0,26.0,4.0,1.0,49.0,11.0,1.0,6.0,0.0,0.0,0.0,1.0,6.0,1.0,2.0,18.0,14.0,3.0,8.0,1.0,2.0,10.0,12.0,7.0,4.0,2.0,5.0,1.0,7.0,0.0
ENSG00000001167,60.0,36.0,40.0,11.0,45.0,59.0,61.0,12.0,26.0,3.0,23.0,6.0,12.0,1.0,173.0,0.0,0.0,3.0,55.0,20.0,41.0,76.0,118.0,59.0,43.0,12.0,20.0,67.0,118.0,41.0,6.0,28.0,26.0,24.0,78.0,14.0
ENSG00000001460,360.0,421.0,127.0,11.0,61.0,37.0,43.0,45.0,24.0,38.0,225.0,51.0,0.0,9.0,0.0,0.0,0.0,1.0,109.0,68.0,107.0,193.0,87.0,47.0,213.0,103.0,100.0,180.0,187.0,80.0,76.0,87.0,79.0,109.0,246.0,28.0
ENSG00000001461,182.0,281.0,93.0,14.0,85.0,63.0,12.0,16.0,7.0,67.0,87.0,68.0,57.0,102.0,238.0,0.0,1.0,0.0,30.0,4.0,20.0,39.0,31.0,19.0,19.0,14.0,4.0,30.0,43.0,9.0,3.0,19.0,17.0,12.0,40.0,2.0
ENSG00000001497,36.0,20.0,44.0,12.0,82.0,94.0,21.0,2.0,8.0,19.0,22.0,20.0,201.0,195.0,1447.0,0.0,13.0,0.0,66.0,14.0,32.0,121.0,138.0,34.0,50.0,14.0,26.0,99.0,122.0,32.0,20.0,30.0,22.0,32.0,91.0,7.0
ENSG00000001561,25.0,3.0,12.0,2.0,0.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,17.0,15.0,7.0,37.0,34.0,19.0,13.0,14.0,13.0,20.0,21.0,7.0,3.0,6.0,6.0,16.0,29.0,8.0
ENSG00000001617,12.0,1.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
ENSG00000001626,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001629,54.0,50.0,12.0,0.0,23.0,18.0,2.0,0.0,5.0,8.0,5.0,2.0,10.0,6.0,46.0,0.0,0.0,0.0,13.0,8.0,7.0,12.0,18.0,8.0,6.0,5.0,2.0,20.0,10.0,0.0,2.0,7.0,5.0,4.0,18.0,3.0
ENSG00000001630,85.0,63.0,73.0,4.0,20.0,66.0,14.0,12.0,0.0,4.0,17.0,11.0,0.0,1.0,8.0,1.0,0.0,1.0,44.0,21.0,19.0,151.0,134.0,53.0,56.0,28.0,18.0,99.0,125.0,27.0,25.0,24.0,20.0,38.0,97.0,18.0
ENSG00000001631,314.0,393.0,163.0,5.0,79.0,90.0,43.0,72.0,6.0,16.0,134.0,29.0,3.0,22.0,26.0,6.0,2.0,7.0,30.0,14.0,6.0,50.0,35.0,14.0,31.0,16.0,14.0,27.0,44.0,20.0,14.0,7.0,19.0,27.0,27.0,7.0
ENSG00000002016,1.0,0.0,0.0,0.0,4.0,3.0,1.0,20.0,10.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,9.0,8.0,3.0,2.0,4.0,2.0,6.0,0.0,2.0,0.0,6.0,0.0,3.0,6.0,0.0
ENSG00000002330,1047.0,392.0,389.0,59.0,279.0,405.0,290.0,54.0,144.0,87.0,108.0,120.0,23.0,12.0,86.0,6.0,4.0,0.0,179.0,54.0,105.0,267.0,312.0,112.0,276.0,78.0,69.0,208.0,212.0,54.0,38.0,85.0,40.0,249.0,349.0,63.0
ENSG00000002549,86.0,80.0,43.0,5.0,47.0,58.0,5.0,1.0,3.0,10.0,9.0,21.0,49.0,40.0,126.0,0.0,0.0,0.0,63.0,58.0,35.0,147.0,149.0,19.0,59.0,23.0,22.0,83.0,88.0,17.0,22.0,12.0,20.0,27.0,75.0,40.0
ENSG00000002586,440.0,111.0,113.0,124.0,298.0,381.0,44.0,9.0,23.0,37.0,98.0,69.0,93.0,88.0,148.0,0.0,0.0,0.0,63.0,20.0,22.0,105.0,94.0,26.0,63.0,26.0,14.0,77.0,87.0,16.0,6.0,27.0,16.0,59.0,72.0,12.0
ENSG00000002587,4.0,8.0,0.0,0.0,1.0,0.0,2.0,10.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000002726,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002745,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000002746,10.0,10.0,7.0,1.0,13.0,2.0,9.0,7.0,0.0,1.0,6.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0
ENSG00000002822,22.0,5.0,4.0,0.0,4.0,12.0,20.0,0.0,6.0,9.0,18.0,6.0,7.0,21.0,142.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,14.0,4.0,2.0,2.0,1.0,1.0,8.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0
ENSG00000002834,83.0,35.0,33.0,15.0,63.0,47.0,14.0,4.0,1.0,71.0,136.0,78.0,24.0,19.0,93.0,0.0,0.0,4.0,18.0,4.0,7.0,20.0,27.0,2.0,15.0,1.0,7.0,22.0,16.0,10.0,1.0,1.0,6.0,12.0,20.0,6.0
ENSG00000002919,98.0,120.0,41.0,2.0,62.0,41.0,9.0,15.0,23.0,23.0,70.0,20.0,12.0,22.0,154.0,0.0,0.0,5.0,55.0,22.0,26.0,76.0,86.0,17.0,42.0,11.0,23.0,56.0,89.0,25.0,8.0,19.0,14.0,34.0,58.0,9.0
ENSG00000002933,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003056,55.0,38.0,37.0,9.0,42.0,31.0,15.0,11.0,1.0,19.0,58.0,26.0,9.0,3.0,8.0,0.0,0.0,0.0,42.0,28.0,29.0,79.0,137.0,61.0,68.0,44.0,29.0,55.0,84.0,24.0,18.0,14.0,21.0,37.0,95.0,14.0
ENSG00000003096,54.0,26.0,24.0,3.0,19.0,26.0,9.0,2.0,2.0,3.0,17.0,0.0,4.0,0.0,41.0,0.0,0.0,0.0,28.0,8.0,18.0,68.0,112.0,32.0,17.0,11.0,19.0,30.0,60.0,10.0,6.0,14.0,11.0,0.0,20.0,5.0
ENSG00000003137,20.0,4.0,4.0,8.0,13.0,19.0,1.0,5.0,3.0,11.0,18.0,0.0,4.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0
ENSG00000003147,6.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,18.0,17.0,12.0,2.0,1.0,1.0,21.0,19.0,6.0,3.0,0.0,6.0,11.0,25.0,8.0
ENSG00000003249,97.0,27.0,43.0,43.0,100.0,139.0,588.0,412.0,478.0,45.0,125.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,16.0,12.0,82.0,69.0,19.0,47.0,10.0,17.0,59.0,58.0,16.0,5.0,23.0,5.0,15.0,42.0,8.0
ENSG00000003393,308.0,291.0,42.0,13.0,75.0,68.0,102.0,143.0,17.0,76.0,212.0,44.0,40.0,97.0,121.0,8.0,0.0,12.0,20.0,14.0,16.0,66.0,61.0,32.0,52.0,12.0,19.0,63.0,48.0,8.0,20.0,21.0,24.0,19.0,53.0,13.0
ENSG00000003400,31.0,80.0,14.0,0.0,26.0,7.0,12.0,6.0,7.0,2.0,54.0,10.0,0.0,4.0,0.0,1.0,1.0,6.0,2.0,5.0,0.0,12.0,16.0,15.0,12.0,6.0,1.0,7.0,9.0,5.0,0.0,5.0,3.0,9.0,19.0,3.0
ENSG00000003402,490.0,430.0,191.0,36.0,148.0,83.0,144.0,235.0,33.0,88.0,401.0,113.0,17.0,85.0,28.0,6.0,8.0,15.0,65.0,41.0,28.0,96.0,109.0,32.0,69.0,38.0,47.0,86.0,111.0,23.0,28.0,52.0,35.0,50.0,122.0,11.0
ENSG00000003436,14.0,2.0,3.0,0.0,1.0,2.0,13.0,8.0,0.0,4.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,9.0,12.0,7.0,16.0,30.0,64.0,25.0,14.0,21.0,8.0,17.0,23.0,7.0,5.0,5.0,16.0,19.0,34.0,7.0
ENSG00000003509,90.0,135.0,76.0,7.0,30.0,36.0,15.0,28.0,1.0,8.0,24.0,13.0,31.0,57.0,70.0,2.0,0.0,1.0,59.0,64.0,47.0,154.0,153.0,64.0,98.0,73.0,59.0,114.0,120.0,43.0,33.0,35.0,28.0,112.0,124.0,17.0
ENSG00000003756,28.0,21.0,10.0,2.0,2.0,7.0,7.0,6.0,0.0,3.0,13.0,6.0,1.0,9.0,12.0,2.0,0.0,0.0,34.0,13.0,33.0,79.0,80.0,33.0,47.0,10.0,12.0,40.0,92.0,16.0,8.0,25.0,14.0,45.0,59.0,15.0
ENSG00000003987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000003989,22.0,45.0,9.0,5.0,34.0,34.0,1.0,0.0,0.0,2.0,12.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,9.0,3.0,7.0,3.0,0.0,1.0,4.0,8.0,6.0,1.0,4.0,2.0,1.0,8.0,0.0
ENSG00000004059,1589.0,678.0,576.0,98.0,290.0,436.0,136.0,69.0,98.0,109.0,387.0,226.0,40.0,25.0,98.0,0.0,3.0,3.0,745.0,231.0,315.0,1117.0,1148.0,311.0,697.0,266.0,263.0,1034.0,895.0,246.0,212.0,268.0,210.0,659.0,1196.0,191.0
ENSG00000004139,5.0,2.0,11.0,0.0,4.0,1.0,1.0,1.0,0.0,5.0,23.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,1.0,4.0,3.0,1.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000004142,118.0,77.0,22.0,17.0,105.0,110.0,116.0,75.0,114.0,55.0,80.0,57.0,9.0,17.0,91.0,0.0,0.0,0.0,79.0,32.0,27.0,123.0,161.0,47.0,56.0,44.0,15.0,100.0,161.0,21.0,13.0,37.0,29.0,59.0,91.0,21.0
ENSG00000004399,16.0,18.0,1.0,9.0,12.0,22.0,41.0,13.0,32.0,21.0,52.0,22.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,9.0,10.0,13.0,1.0,9.0,3.0,0.0,7.0,16.0,4.0,0.0,1.0,1.0,2.0,5.0,5.0
ENSG00000004455,428.0,301.0,149.0,23.0,109.0,138.0,41.0,49.0,15.0,42.0,151.0,30.0,40.0,28.0,101.0,0.0,0.0,2.0,384.0,192.0,205.0,892.0,1169.0,314.0,384.0,213.0,184.0,678.0,757.0,162.0,133.0,220.0,166.0,346.0,692.0,157.0
ENSG00000004468,17.0,19.0,8.0,0.0,6.0,1.0,2.0,3.0,2.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
ENSG00000004478,231.0,183.0,76.0,35.0,164.0,159.0,48.0,8.0,32.0,43.0,135.0,90.0,111.0,216.0,1115.0,0.0,2.0,0.0,151.0,82.0,55.0,338.0,365.0,112.0,140.0,43.0,57.0,260.0,315.0,73.0,34.0,63.0,59.0,96.0,201.0,37.0
ENSG00000004487,168.0,187.0,54.0,17.0,127.0,55.0,71.0,131.0,10.0,68.0,205.0,58.0,87.0,129.0,285.0,2.0,2.0,3.0,18.0,6.0,13.0,33.0,36.0,8.0,33.0,16.0,9.0,36.0,34.0,12.0,4.0,22.0,9.0,16.0,46.0,8.0
ENSG00000004534,120.0,138.0,46.0,5.0,78.0,80.0,17.0,13.0,5.0,49.0,108.0,15.0,17.0,20.0,43.0,1.0,0.0,1.0,22.0,15.0,17.0,65.0,65.0,17.0,33.0,27.0,15.0,34.0,57.0,18.0,2.0,12.0,18.0,15.0,46.0,18.0
ENSG00000004660,121.0,91.0,28.0,1.0,19.0,20.0,21.0,45.0,5.0,11.0,59.0,13.0,9.0,22.0,47.0,0.0,0.0,3.0,9.0,5.0,2.0,17.0,15.0,3.0,8.0,1.0,3.0,5.0,16.0,3.0,4.0,0.0,6.0,7.0,8.0,0.0
ENSG00000004700,136.0,52.0,45.0,3.0,14.0,28.0,0.0,0.0,0.0,3.0,0.0,6.0,14.0,1.0,43.0,0.0,0.0,0.0,50.0,71.0,59.0,274.0,410.0,102.0,125.0,97.0,110.0,147.0,227.0,51.0,24.0,53.0,52.0,64.0,194.0,45.0
ENSG00000004766,81.0,60.0,9.0,0.0,13.0,8.0,8.0,12.0,0.0,3.0,23.0,7.0,0.0,12.0,5.0,0.0,0.0,1.0,22.0,32.0,15.0,87.0,96.0,27.0,39.0,32.0,26.0,63.0,23.0,4.0,14.0,11.0,19.0,27.0,76.0,6.0
ENSG00000004776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004777,1.0,0.0,4.0,2.0,5.0,0.0,3.0,5.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,4.0,1.0,1.0,10.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0
ENSG00000004779,785.0,432.0,304.0,85.0,369.0,272.0,5.0,5.0,1.0,59.0,119.0,101.0,30.0,45.0,141.0,0.0,0.0,7.0,338.0,233.0,168.0,904.0,620.0,246.0,559.0,255.0,244.0,672.0,558.0,167.0,178.0,261.0,234.0,538.0,499.0,116.0
ENSG00000004799,22.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,12.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
ENSG00000004809,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000004846,27.0,42.0,21.0,0.0,11.0,15.0,5.0,27.0,2.0,15.0,39.0,9.0,0.0,10.0,0.0,1.0,3.0,2.0,8.0,1.0,3.0,4.0,7.0,3.0,4.0,1.0,5.0,3.0,5.0,4.0,4.0,1.0,5.0,4.0,8.0,1.0
ENSG00000004848,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004864,51.0,39.0,20.0,41.0,102.0,81.0,11.0,0.0,3.0,10.0,112.0,21.0,4.0,0.0,31.0,0.0,0.0,0.0,14.0,3.0,2.0,26.0,25.0,2.0,6.0,5.0,17.0,16.0,26.0,2.0,7.0,5.0,11.0,6.0,20.0,0.0
ENSG00000004866,19.0,1.0,18.0,1.0,9.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,9.0,2.0,0.0,11.0,5.0,5.0,6.0,2.0,1.0,8.0,11.0,5.0,6.0,3.0,0.0,3.0,8.0,4.0
ENSG00000004897,129.0,61.0,49.0,29.0,58.0,71.0,17.0,16.0,31.0,36.0,15.0,21.0,1.0,9.0,20.0,0.0,1.0,3.0,59.0,61.0,36.0,201.0,137.0,70.0,31.0,57.0,35.0,101.0,117.0,31.0,28.0,31.0,35.0,57.0,53.0,46.0
ENSG00000004939,27.0,18.0,10.0,1.0,3.0,3.0,7.0,13.0,3.0,3.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
ENSG00000004948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004961,124.0,71.0,61.0,16.0,44.0,75.0,5.0,4.0,0.0,8.0,28.0,34.0,241.0,463.0,1317.0,0.0,3.0,0.0,38.0,16.0,7.0,52.0,30.0,11.0,34.0,19.0,18.0,43.0,47.0,21.0,10.0,23.0,21.0,21.0,29.0,6.0
ENSG00000004975,13.0,1.0,9.0,1.0,6.0,17.0,9.0,10.0,2.0,0.0,5.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,14.0,5.0,6.0,21.0,41.0,14.0,26.0,7.0,1.0,13.0,16.0,12.0,4.0,8.0,0.0,4.0,23.0,5.0
ENSG00000005001,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005007,28.0,29.0,5.0,3.0,11.0,8.0,17.0,0.0,15.0,4.0,15.0,15.0,3.0,14.0,56.0,0.0,0.0,0.0,23.0,0.0,3.0,18.0,31.0,2.0,10.0,2.0,0.0,22.0,45.0,1.0,1.0,2.0,6.0,6.0,11.0,0.0
ENSG00000005020,187.0,182.0,90.0,5.0,37.0,34.0,2.0,1.0,0.0,3.0,17.0,4.0,0.0,3.0,6.0,0.0,5.0,0.0,16.0,14.0,13.0,52.0,62.0,12.0,25.0,6.0,10.0,44.0,55.0,6.0,9.0,8.0,12.0,19.0,35.0,12.0
ENSG00000005022,2738.0,1185.0,646.0,505.0,2405.0,1513.0,535.0,166.0,178.0,228.0,595.0,244.0,673.0,1017.0,1084.0,1.0,8.0,4.0,805.0,472.0,261.0,1705.0,1210.0,470.0,766.0,331.0,233.0,1365.0,1030.0,367.0,233.0,598.0,383.0,732.0,839.0,180.0
ENSG00000005059,109.0,90.0,23.0,5.0,45.0,28.0,8.0,2.0,1.0,4.0,14.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,64.0,41.0,26.0,106.0,140.0,44.0,95.0,27.0,45.0,96.0,67.0,33.0,20.0,43.0,37.0,76.0,120.0,21.0
ENSG00000005073,74.0,41.0,34.0,12.0,14.0,12.0,47.0,17.0,11.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,23.0,5.0,4.0,7.0,7.0,3.0,13.0,14.0,4.0,3.0,5.0,2.0,14.0,3.0,1.0
ENSG00000005075,295.0,112.0,121.0,31.0,82.0,84.0,76.0,26.0,24.0,35.0,66.0,40.0,3.0,1.0,0.0,0.0,0.0,3.0,139.0,55.0,45.0,266.0,281.0,70.0,239.0,84.0,51.0,202.0,205.0,74.0,43.0,78.0,54.0,129.0,143.0,22.0
ENSG00000005100,584.0,1030.0,443.0,13.0,130.0,103.0,31.0,27.0,28.0,72.0,145.0,61.0,11.0,65.0,29.0,0.0,0.0,1.0,17.0,11.0,19.0,33.0,33.0,7.0,20.0,11.0,17.0,26.0,42.0,7.0,4.0,9.0,13.0,23.0,27.0,5.0
ENSG00000005102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005108,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005156,670.0,640.0,213.0,31.0,219.0,109.0,219.0,307.0,45.0,142.0,604.0,137.0,19.0,99.0,39.0,15.0,6.0,14.0,54.0,23.0,25.0,101.0,63.0,14.0,56.0,21.0,23.0,80.0,77.0,19.0,29.0,16.0,36.0,30.0,75.0,4.0
ENSG00000005175,200.0,157.0,137.0,0.0,34.0,79.0,4.0,3.0,13.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,41.0,23.0,81.0,96.0,44.0,64.0,30.0,32.0,77.0,71.0,24.0,24.0,31.0,39.0,66.0,122.0,14.0
