,25L008070,25L008071,25L008072,25L008073,25L008074,25L008075,25L008076,25L008077,25L008078,25L008079,25L008080,25L008081,25L008082,25L008083,25L008084,25L008085,25L008086,25L008087,25L008088,25L008089,25L008090,25L008091,25L008092,25L008093,25L008094,25L008095,25L008096,25L008097,25L008098,25L008099,25L008100,25L008101,25L008102,25L008103,25L008104,25L008105,25L008106,25L008107,25L008110,25L008111
ENSG00000000003,700.0,1526.0,816.0,2303.0,3398.0,2818.0,1319.0,7950.0,4523.0,7164.0,475.0,714.0,1308.0,0.0,0.0,5.0,31.0,501.0,250.0,548.0,415.0,218.0,164.0,399.0,208.0,240.0,466.0,361.0,157.0,357.0,362.0,269.0,5.0,291.0,2603.0,0.0,107.0,461.0,2.0,301.0
ENSG00000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000000419,183.0,294.0,125.0,246.0,250.0,188.0,115.0,735.0,455.0,747.0,219.0,327.0,453.0,0.0,0.0,0.0,0.0,22.0,17.0,40.0,40.0,16.0,17.0,17.0,22.0,19.0,35.0,10.0,16.0,12.0,18.0,9.0,2.0,11.0,319.0,0.0,20.0,25.0,0.0,16.0
ENSG00000000457,57.0,76.0,78.0,72.0,93.0,46.0,65.0,73.0,51.0,52.0,46.0,49.0,224.0,0.0,0.0,0.0,0.0,6.0,10.0,13.0,14.0,7.0,7.0,18.0,6.0,8.0,14.0,6.0,2.0,9.0,10.0,3.0,1.0,9.0,96.0,0.0,5.0,8.0,0.0,3.0
ENSG00000000460,5.0,76.0,49.0,64.0,81.0,100.0,84.0,225.0,118.0,204.0,72.0,96.0,153.0,0.0,0.0,0.0,0.0,3.0,8.0,13.0,13.0,4.0,2.0,7.0,7.0,2.0,10.0,2.0,5.0,8.0,11.0,4.0,0.0,6.0,145.0,0.0,3.0,8.0,0.0,11.0
ENSG00000000938,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000971,11.0,1.0,12.0,23.0,23.0,18.0,12.0,46.0,41.0,38.0,9.0,11.0,57.0,0.0,0.0,0.0,0.0,10.0,9.0,9.0,1.0,2.0,6.0,14.0,5.0,18.0,3.0,6.0,7.0,10.0,7.0,2.0,0.0,10.0,29.0,0.0,1.0,12.0,0.0,5.0
ENSG00000001036,280.0,396.0,150.0,371.0,361.0,709.0,388.0,1861.0,1052.0,1561.0,175.0,250.0,565.0,0.0,0.0,0.0,0.0,121.0,71.0,127.0,92.0,76.0,35.0,180.0,71.0,75.0,39.0,104.0,50.0,122.0,176.0,77.0,1.0,161.0,828.0,0.0,8.0,120.0,0.0,83.0
ENSG00000001084,24.0,40.0,18.0,187.0,214.0,266.0,150.0,74.0,44.0,100.0,121.0,247.0,355.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,12.0,3.0,4.0,9.0,5.0,11.0,8.0,8.0,4.0,5.0,7.0,1.0,0.0,7.0,346.0,0.0,0.0,6.0,0.0,27.0
ENSG00000001167,118.0,225.0,127.0,996.0,1132.0,1764.0,685.0,816.0,630.0,1057.0,202.0,174.0,435.0,0.0,0.0,0.0,6.0,12.0,14.0,33.0,16.0,19.0,11.0,24.0,19.0,14.0,12.0,18.0,11.0,29.0,32.0,17.0,4.0,17.0,1360.0,0.0,7.0,15.0,0.0,131.0
ENSG00000001460,94.0,146.0,156.0,205.0,230.0,309.0,225.0,405.0,130.0,294.0,154.0,237.0,327.0,0.0,0.0,0.0,0.0,74.0,124.0,138.0,259.0,115.0,114.0,161.0,203.0,79.0,70.0,129.0,114.0,87.0,86.0,28.0,51.0,49.0,442.0,0.0,76.0,63.0,1.0,56.0
ENSG00000001461,351.0,768.0,398.0,711.0,1175.0,1617.0,677.0,1350.0,684.0,1047.0,279.0,187.0,623.0,0.0,0.0,0.0,0.0,45.0,26.0,73.0,43.0,30.0,28.0,75.0,33.0,20.0,18.0,29.0,29.0,48.0,41.0,32.0,3.0,36.0,1521.0,12.0,16.0,40.0,0.0,155.0
ENSG00000001497,80.0,145.0,76.0,473.0,553.0,1315.0,427.0,1143.0,792.0,1060.0,41.0,36.0,114.0,0.0,0.0,0.0,2.0,65.0,55.0,87.0,106.0,75.0,35.0,123.0,48.0,59.0,35.0,100.0,54.0,98.0,173.0,80.0,9.0,103.0,897.0,0.0,26.0,58.0,0.0,93.0
ENSG00000001561,25.0,96.0,83.0,115.0,208.0,130.0,91.0,180.0,79.0,230.0,90.0,126.0,244.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,11.0,4.0,4.0,8.0,3.0,10.0,22.0,14.0,3.0,6.0,8.0,6.0,0.0,9.0,130.0,0.0,5.0,9.0,0.0,15.0
ENSG00000001617,9.0,8.0,0.0,43.0,57.0,71.0,42.0,39.0,11.0,30.0,19.0,5.0,57.0,0.0,0.0,0.0,0.0,5.0,2.0,9.0,6.0,4.0,3.0,8.0,1.0,7.0,8.0,6.0,5.0,4.0,13.0,0.0,1.0,9.0,151.0,0.0,4.0,4.0,0.0,11.0
ENSG00000001626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001629,114.0,370.0,165.0,543.0,531.0,767.0,260.0,563.0,376.0,638.0,207.0,536.0,658.0,0.0,0.0,0.0,0.0,14.0,8.0,16.0,23.0,21.0,5.0,22.0,3.0,9.0,6.0,3.0,9.0,9.0,29.0,7.0,0.0,9.0,695.0,0.0,6.0,20.0,1.0,75.0
ENSG00000001630,114.0,84.0,149.0,242.0,274.0,252.0,125.0,490.0,321.0,568.0,62.0,94.0,213.0,0.0,0.0,0.0,0.0,23.0,26.0,31.0,29.0,30.0,20.0,34.0,21.0,17.0,30.0,21.0,19.0,33.0,63.0,45.0,4.0,45.0,187.0,0.0,13.0,38.0,0.0,13.0
ENSG00000001631,206.0,405.0,281.0,634.0,690.0,777.0,308.0,774.0,436.0,818.0,344.0,630.0,819.0,0.0,0.0,0.0,0.0,22.0,31.0,49.0,64.0,42.0,26.0,55.0,36.0,39.0,17.0,26.0,23.0,59.0,42.0,25.0,5.0,29.0,721.0,0.0,13.0,25.0,0.0,65.0
ENSG00000002016,0.0,0.0,0.0,28.0,53.0,84.0,24.0,43.0,13.0,33.0,17.0,32.0,34.0,0.0,0.0,0.0,0.0,8.0,15.0,21.0,28.0,11.0,10.0,8.0,8.0,17.0,13.0,3.0,5.0,8.0,8.0,3.0,2.0,10.0,78.0,0.0,5.0,3.0,0.0,2.0
ENSG00000002330,666.0,1734.0,934.0,1281.0,1872.0,2182.0,1441.0,3565.0,2155.0,4033.0,1216.0,948.0,2231.0,0.0,0.0,0.0,0.0,505.0,289.0,729.0,383.0,379.0,223.0,528.0,349.0,395.0,727.0,330.0,300.0,356.0,671.0,371.0,16.0,613.0,2599.0,0.0,213.0,596.0,1.0,355.0
ENSG00000002549,226.0,595.0,286.0,496.0,567.0,976.0,267.0,792.0,356.0,717.0,155.0,216.0,328.0,0.0,0.0,0.0,0.0,89.0,42.0,89.0,73.0,58.0,34.0,95.0,29.0,36.0,43.0,68.0,37.0,83.0,195.0,70.0,7.0,78.0,570.0,0.0,20.0,86.0,0.0,63.0
ENSG00000002586,500.0,1078.0,723.0,1150.0,1648.0,1406.0,1015.0,2575.0,2046.0,3025.0,274.0,311.0,652.0,0.0,0.0,0.0,7.0,26.0,23.0,59.0,37.0,39.0,18.0,59.0,23.0,36.0,47.0,26.0,21.0,33.0,73.0,30.0,4.0,69.0,1635.0,0.0,22.0,53.0,2.0,190.0
ENSG00000002587,0.0,14.0,0.0,4.0,5.0,11.0,0.0,4.0,0.0,10.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0
ENSG00000002726,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002745,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
ENSG00000002746,5.0,0.0,9.0,0.0,4.0,11.0,7.0,6.0,5.0,18.0,5.0,11.0,24.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,7.0,0.0,0.0,7.0,0.0,0.0
ENSG00000002822,25.0,60.0,13.0,39.0,57.0,122.0,51.0,180.0,139.0,144.0,32.0,21.0,79.0,0.0,0.0,0.0,39.0,9.0,7.0,17.0,8.0,8.0,5.0,4.0,6.0,3.0,5.0,11.0,4.0,17.0,39.0,6.0,0.0,15.0,114.0,0.0,11.0,15.0,0.0,28.0
ENSG00000002834,91.0,172.0,69.0,461.0,643.0,581.0,586.0,837.0,427.0,649.0,99.0,135.0,241.0,0.0,0.0,0.0,0.0,4.0,12.0,17.0,12.0,13.0,3.0,15.0,11.0,7.0,1.0,12.0,5.0,13.0,8.0,18.0,2.0,18.0,1297.0,0.0,2.0,14.0,0.0,117.0
ENSG00000002919,265.0,480.0,438.0,738.0,953.0,1988.0,1172.0,819.0,567.0,899.0,149.0,184.0,634.0,0.0,0.0,0.0,0.0,31.0,15.0,34.0,22.0,26.0,21.0,23.0,17.0,21.0,34.0,21.0,16.0,26.0,34.0,18.0,3.0,33.0,2431.0,0.0,5.0,22.0,1.0,240.0
ENSG00000002933,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003056,304.0,575.0,411.0,807.0,1079.0,1236.0,665.0,1302.0,754.0,1211.0,260.0,484.0,789.0,0.0,0.0,0.0,0.0,57.0,34.0,54.0,62.0,23.0,15.0,76.0,39.0,30.0,46.0,59.0,35.0,51.0,71.0,36.0,2.0,63.0,1312.0,0.0,9.0,52.0,1.0,127.0
ENSG00000003096,71.0,351.0,59.0,119.0,187.0,275.0,186.0,435.0,181.0,317.0,100.0,265.0,247.0,0.0,0.0,0.0,0.0,10.0,7.0,13.0,24.0,14.0,14.0,44.0,9.0,13.0,17.0,17.0,8.0,24.0,37.0,15.0,1.0,19.0,403.0,0.0,7.0,17.0,0.0,44.0
ENSG00000003137,12.0,2.0,14.0,141.0,258.0,586.0,120.0,174.0,69.0,188.0,9.0,16.0,51.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.0,4.0,9.0,1.0,5.0,3.0,3.0,4.0,13.0,11.0,2.0,0.0,1.0,232.0,0.0,1.0,6.0,0.0,30.0
ENSG00000003147,20.0,59.0,54.0,99.0,82.0,92.0,40.0,124.0,115.0,183.0,45.0,54.0,112.0,0.0,0.0,0.0,0.0,4.0,2.0,14.0,9.0,9.0,3.0,17.0,8.0,3.0,1.0,4.0,4.0,7.0,6.0,5.0,0.0,5.0,106.0,0.0,1.0,5.0,0.0,16.0
ENSG00000003249,33.0,125.0,49.0,662.0,940.0,1407.0,670.0,971.0,770.0,1454.0,406.0,440.0,1168.0,0.0,0.0,0.0,42.0,33.0,17.0,60.0,33.0,39.0,18.0,63.0,33.0,32.0,43.0,37.0,36.0,45.0,135.0,53.0,3.0,75.0,1547.0,0.0,19.0,62.0,0.0,175.0
ENSG00000003393,53.0,76.0,79.0,488.0,425.0,620.0,248.0,433.0,285.0,443.0,133.0,177.0,341.0,0.0,0.0,0.0,0.0,19.0,29.0,34.0,43.0,26.0,19.0,30.0,24.0,25.0,8.0,16.0,9.0,23.0,32.0,12.0,2.0,14.0,461.0,0.0,6.0,22.0,0.0,54.0
ENSG00000003400,18.0,33.0,25.0,57.0,54.0,115.0,46.0,70.0,60.0,83.0,30.0,51.0,69.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0,9.0,3.0,4.0,10.0,7.0,9.0,5.0,1.0,2.0,8.0,8.0,5.0,0.0,1.0,151.0,0.0,3.0,11.0,0.0,23.0
ENSG00000003402,160.0,264.0,168.0,275.0,477.0,357.0,256.0,547.0,262.0,577.0,124.0,153.0,278.0,0.0,0.0,0.0,3.0,31.0,52.0,90.0,61.0,58.0,46.0,85.0,44.0,43.0,23.0,50.0,29.0,68.0,52.0,9.0,4.0,38.0,385.0,0.0,18.0,47.0,1.0,52.0
ENSG00000003436,27.0,39.0,20.0,32.0,40.0,7.0,19.0,76.0,27.0,115.0,31.0,44.0,82.0,0.0,0.0,0.0,0.0,9.0,5.0,7.0,9.0,4.0,4.0,13.0,5.0,4.0,4.0,9.0,4.0,8.0,10.0,1.0,2.0,3.0,38.0,0.0,3.0,6.0,0.0,4.0
ENSG00000003509,121.0,197.0,99.0,189.0,205.0,231.0,138.0,362.0,149.0,248.0,68.0,56.0,131.0,0.0,0.0,0.0,0.0,49.0,14.0,40.0,25.0,23.0,16.0,24.0,18.0,22.0,14.0,21.0,12.0,26.0,31.0,17.0,0.0,24.0,285.0,0.0,5.0,19.0,0.0,25.0
ENSG00000003756,23.0,35.0,15.0,319.0,335.0,385.0,265.0,270.0,156.0,389.0,104.0,87.0,276.0,0.0,0.0,0.0,0.0,42.0,37.0,79.0,78.0,51.0,29.0,99.0,32.0,62.0,31.0,33.0,34.0,58.0,70.0,37.0,3.0,47.0,490.0,0.0,13.0,55.0,0.0,31.0
ENSG00000003987,1.0,31.0,0.0,17.0,24.0,7.0,7.0,30.0,6.0,4.0,13.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,8.0
ENSG00000003989,143.0,315.0,158.0,191.0,199.0,225.0,231.0,318.0,142.0,346.0,110.0,148.0,334.0,0.0,0.0,0.0,0.0,4.0,9.0,11.0,7.0,6.0,5.0,9.0,8.0,3.0,3.0,8.0,0.0,5.0,16.0,4.0,0.0,10.0,444.0,0.0,1.0,5.0,0.0,34.0
ENSG00000004059,1069.0,2658.0,1485.0,2010.0,2383.0,3625.0,2099.0,5029.0,2869.0,5049.0,898.0,807.0,2429.0,0.0,0.0,0.0,15.0,901.0,580.0,1226.0,754.0,653.0,412.0,1087.0,641.0,726.0,1114.0,767.0,579.0,929.0,1281.0,639.0,50.0,1183.0,3408.0,0.0,299.0,1096.0,2.0,403.0
ENSG00000004139,17.0,24.0,1.0,82.0,76.0,155.0,106.0,71.0,71.0,76.0,25.0,7.0,65.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,9.0,3.0,6.0,16.0,3.0,4.0,8.0,4.0,8.0,7.0,13.0,3.0,0.0,2.0,206.0,0.0,1.0,7.0,0.0,21.0
ENSG00000004142,464.0,837.0,511.0,1924.0,2462.0,4893.0,2942.0,2484.0,1766.0,2846.0,478.0,729.0,1255.0,19.0,0.0,0.0,0.0,68.0,33.0,91.0,54.0,66.0,39.0,126.0,40.0,52.0,69.0,59.0,57.0,104.0,172.0,70.0,4.0,90.0,5903.0,0.0,34.0,85.0,0.0,707.0
ENSG00000004399,42.0,91.0,78.0,196.0,220.0,413.0,188.0,172.0,120.0,217.0,40.0,20.0,74.0,0.0,0.0,0.0,0.0,11.0,10.0,19.0,17.0,9.0,13.0,24.0,17.0,20.0,18.0,6.0,13.0,25.0,23.0,7.0,4.0,24.0,227.0,0.0,3.0,16.0,1.0,17.0
ENSG00000004455,999.0,2042.0,976.0,2510.0,3080.0,3483.0,2896.0,2635.0,1263.0,2331.0,948.0,1415.0,2283.0,5.0,0.0,1.0,10.0,594.0,304.0,634.0,555.0,356.0,231.0,753.0,327.0,386.0,556.0,467.0,298.0,482.0,621.0,386.0,11.0,602.0,5121.0,2.0,249.0,547.0,3.0,549.0
ENSG00000004468,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0
ENSG00000004478,408.0,422.0,245.0,1335.0,1550.0,2866.0,1911.0,2394.0,1404.0,2361.0,370.0,305.0,647.0,0.0,0.0,0.0,0.0,118.0,61.0,162.0,119.0,114.0,74.0,228.0,69.0,90.0,101.0,124.0,93.0,159.0,317.0,121.0,6.0,168.0,3951.0,0.0,44.0,163.0,3.0,513.0
ENSG00000004487,98.0,174.0,48.0,429.0,635.0,285.0,516.0,747.0,478.0,790.0,86.0,72.0,154.0,0.0,0.0,0.0,1.0,15.0,11.0,21.0,23.0,7.0,18.0,30.0,12.0,16.0,5.0,14.0,5.0,13.0,21.0,7.0,3.0,15.0,864.0,0.0,5.0,17.0,0.0,83.0
ENSG00000004534,82.0,169.0,115.0,443.0,650.0,874.0,304.0,1105.0,737.0,1114.0,125.0,198.0,310.0,0.0,0.0,0.0,16.0,26.0,22.0,45.0,52.0,19.0,21.0,35.0,25.0,23.0,25.0,18.0,14.0,41.0,61.0,9.0,2.0,26.0,760.0,0.0,9.0,22.0,0.0,78.0
ENSG00000004660,61.0,34.0,67.0,244.0,432.0,731.0,393.0,202.0,168.0,309.0,75.0,44.0,220.0,0.0,0.0,0.0,0.0,15.0,8.0,23.0,18.0,10.0,7.0,18.0,8.0,11.0,13.0,10.0,5.0,16.0,18.0,8.0,4.0,10.0,907.0,0.0,4.0,5.0,2.0,61.0
ENSG00000004700,338.0,504.0,280.0,307.0,380.0,366.0,131.0,793.0,442.0,734.0,133.0,286.0,427.0,0.0,0.0,0.0,0.0,75.0,34.0,72.0,59.0,33.0,34.0,70.0,25.0,36.0,51.0,45.0,26.0,52.0,59.0,41.0,2.0,61.0,275.0,0.0,7.0,57.0,0.0,37.0
ENSG00000004766,34.0,95.0,138.0,183.0,209.0,229.0,138.0,326.0,137.0,256.0,78.0,134.0,238.0,0.0,0.0,0.0,0.0,22.0,12.0,24.0,18.0,10.0,10.0,24.0,9.0,11.0,8.0,12.0,5.0,21.0,7.0,18.0,0.0,16.0,244.0,0.0,4.0,14.0,0.0,26.0
ENSG00000004776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004777,0.0,0.0,0.0,21.0,16.0,137.0,40.0,59.0,42.0,40.0,8.0,11.0,49.0,0.0,0.0,0.0,0.0,6.0,5.0,18.0,10.0,10.0,8.0,6.0,5.0,4.0,7.0,8.0,3.0,3.0,11.0,2.0,0.0,6.0,68.0,0.0,4.0,7.0,1.0,18.0
ENSG00000004779,1900.0,3907.0,2472.0,3025.0,3439.0,1706.0,2194.0,8206.0,5639.0,8013.0,1187.0,1465.0,2760.0,10.0,1.0,3.0,13.0,238.0,151.0,275.0,212.0,171.0,99.0,243.0,126.0,211.0,357.0,154.0,121.0,175.0,218.0,133.0,26.0,239.0,3562.0,0.0,125.0,244.0,3.0,453.0
ENSG00000004799,0.0,15.0,14.0,54.0,57.0,73.0,29.0,28.0,31.0,85.0,56.0,7.0,37.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,3.0,1.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,48.0,0.0,0.0,1.0,0.0,3.0
ENSG00000004809,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004838,0.0,12.0,0.0,0.0,36.0,2.0,3.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,2.0
ENSG00000004846,0.0,11.0,0.0,1.0,1.0,0.0,0.0,19.0,0.0,3.0,1.0,14.0,5.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,9.0,5.0,4.0,6.0,4.0,3.0,1.0,4.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0
ENSG00000004848,0.0,0.0,0.0,4.0,2.0,0.0,3.0,14.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
ENSG00000004864,181.0,458.0,140.0,527.0,652.0,913.0,299.0,1399.0,865.0,1318.0,149.0,273.0,391.0,0.0,0.0,0.0,0.0,22.0,15.0,21.0,24.0,17.0,12.0,27.0,23.0,18.0,31.0,15.0,14.0,15.0,32.0,29.0,2.0,27.0,732.0,0.0,8.0,16.0,0.0,81.0
ENSG00000004866,35.0,65.0,24.0,142.0,122.0,171.0,79.0,155.0,97.0,178.0,39.0,69.0,102.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,8.0,1.0,3.0,1.0,0.0,4.0,8.0,6.0,4.0,8.0,3.0,1.0,0.0,4.0,199.0,0.0,0.0,3.0,0.0,26.0
ENSG00000004897,349.0,586.0,529.0,1820.0,2042.0,2539.0,905.0,3590.0,2073.0,3688.0,555.0,905.0,1493.0,0.0,0.0,1.0,0.0,39.0,41.0,66.0,63.0,48.0,30.0,71.0,32.0,51.0,36.0,60.0,49.0,71.0,90.0,67.0,2.0,65.0,1739.0,0.0,15.0,58.0,0.0,213.0
ENSG00000004939,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004948,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ENSG00000004961,181.0,319.0,223.0,676.0,990.0,1096.0,776.0,1470.0,793.0,1492.0,226.0,345.0,703.0,0.0,0.0,0.0,0.0,28.0,29.0,62.0,35.0,44.0,17.0,55.0,24.0,19.0,46.0,33.0,21.0,46.0,55.0,31.0,1.0,57.0,1320.0,0.0,32.0,33.0,0.0,127.0
ENSG00000004975,2.0,42.0,33.0,227.0,297.0,645.0,276.0,190.0,134.0,238.0,73.0,75.0,188.0,0.0,0.0,0.0,0.0,37.0,16.0,49.0,35.0,26.0,29.0,48.0,15.0,28.0,26.0,31.0,20.0,51.0,56.0,22.0,1.0,50.0,698.0,0.0,10.0,29.0,0.0,46.0
ENSG00000005001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005007,156.0,326.0,190.0,289.0,327.0,358.0,739.0,427.0,225.0,367.0,199.0,317.0,363.0,0.0,0.0,0.0,0.0,16.0,18.0,43.0,23.0,17.0,12.0,43.0,18.0,20.0,12.0,28.0,19.0,36.0,65.0,35.0,5.0,42.0,1609.0,0.0,6.0,25.0,0.0,139.0
ENSG00000005020,327.0,551.0,459.0,453.0,552.0,524.0,337.0,1246.0,723.0,1226.0,213.0,407.0,606.0,0.0,0.0,0.0,0.0,5.0,9.0,8.0,13.0,9.0,7.0,21.0,14.0,16.0,13.0,3.0,8.0,10.0,10.0,6.0,0.0,9.0,611.0,0.0,6.0,10.0,0.0,73.0
ENSG00000005022,2463.0,5312.0,3249.0,7610.0,10240.0,5349.0,3812.0,14635.0,10466.0,22526.0,2783.0,2900.0,6194.0,11.0,0.0,21.0,51.0,588.0,370.0,881.0,671.0,592.0,395.0,1025.0,466.0,526.0,980.0,445.0,526.0,675.0,1339.0,654.0,80.0,883.0,4776.0,13.0,471.0,983.0,7.0,598.0
ENSG00000005059,247.0,501.0,410.0,542.0,657.0,789.0,515.0,1024.0,660.0,1031.0,263.0,397.0,560.0,0.0,0.0,0.0,1.0,59.0,37.0,64.0,41.0,33.0,16.0,70.0,34.0,36.0,62.0,53.0,19.0,37.0,68.0,20.0,3.0,65.0,902.0,0.0,19.0,59.0,0.0,72.0
ENSG00000005073,40.0,120.0,53.0,344.0,416.0,483.0,198.0,104.0,65.0,138.0,76.0,72.0,149.0,0.0,0.0,0.0,0.0,6.0,3.0,9.0,5.0,8.0,5.0,19.0,9.0,4.0,12.0,3.0,1.0,10.0,14.0,6.0,0.0,1.0,415.0,0.0,0.0,2.0,0.0,31.0
ENSG00000005075,721.0,1491.0,816.0,970.0,1103.0,998.0,824.0,1704.0,1002.0,1884.0,2386.0,2340.0,5178.0,6.0,0.0,1.0,6.0,166.0,98.0,209.0,105.0,101.0,84.0,225.0,112.0,122.0,147.0,135.0,85.0,127.0,282.0,128.0,13.0,235.0,1319.0,7.0,56.0,214.0,2.0,162.0
ENSG00000005100,417.0,1222.0,525.0,1740.0,1996.0,2694.0,1155.0,1049.0,737.0,1388.0,411.0,594.0,930.0,0.0,0.0,0.0,0.0,37.0,23.0,54.0,47.0,32.0,34.0,57.0,27.0,37.0,36.0,21.0,17.0,49.0,55.0,36.0,3.0,26.0,2496.0,0.0,14.0,40.0,0.0,268.0
ENSG00000005102,1.0,1.0,26.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0
