,25L008070,25L008071,25L008072,25L008073,25L008074,25L008075,25L008076,25L008077,25L008078,25L008079,25L008080,25L008081,25L008082,25L008083,25L008084,25L008085,25L008086,25L008087,25L008088,25L008089,25L008090,25L008091,25L008092,25L008093,25L008094,25L008095,25L008096,25L008097,25L008098,25L008099,25L008100,25L008101,25L008102,25L008103,25L008104,25L008105,25L008106,25L008107,25L008110,25L008111
ENSG00000204316,187.0,350.0,280.0,800.0,997.0,2281.0,1045.0,1754.0,726.0,1496.0,405.0,467.0,987.0,0.0,0.0,0.0,30.0,352.0,178.0,428.0,291.0,301.0,153.0,461.0,217.0,218.0,291.0,342.0,213.0,400.0,570.0,226.0,9.0,412.0,1814.0,0.0,106.0,342.0,0.0,215.0
ENSG00000204323,0.0,0.0,0.0,39.0,30.0,7.0,5.0,17.0,5.0,3.0,12.0,2.0,13.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,10.0,4.0,3.0,6.0,1.0,7.0,3.0,1.0,3.0,11.0,9.0,1.0,0.0,5.0,28.0,0.0,1.0,3.0,1.0,10.0
ENSG00000204334,66.0,57.0,46.0,72.0,84.0,55.0,44.0,176.0,107.0,138.0,147.0,214.0,409.0,0.0,0.0,0.0,0.0,14.0,16.0,16.0,21.0,17.0,5.0,19.0,13.0,17.0,18.0,8.0,11.0,7.0,19.0,15.0,2.0,13.0,72.0,0.0,10.0,16.0,0.0,9.0
ENSG00000204335,0.0,0.0,0.0,2.0,2.0,0.0,14.0,0.0,3.0,6.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204344,112.0,243.0,115.0,133.0,172.0,187.0,117.0,315.0,172.0,231.0,37.0,56.0,117.0,0.0,0.0,0.0,15.0,11.0,6.0,18.0,7.0,3.0,6.0,11.0,9.0,9.0,9.0,14.0,6.0,9.0,21.0,6.0,2.0,19.0,244.0,0.0,5.0,24.0,0.0,28.0
ENSG00000204345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204347,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ENSG00000204348,9.0,23.0,33.0,36.0,47.0,94.0,34.0,73.0,59.0,44.0,63.0,53.0,106.0,0.0,0.0,0.0,6.0,29.0,12.0,39.0,17.0,23.0,9.0,29.0,12.0,20.0,22.0,12.0,6.0,32.0,19.0,7.0,2.0,18.0,118.0,0.0,8.0,28.0,0.0,9.0
ENSG00000204351,4.0,7.0,3.0,50.0,86.0,131.0,85.0,86.0,49.0,43.0,39.0,5.0,44.0,0.0,0.0,0.0,0.0,11.0,6.0,24.0,24.0,14.0,8.0,20.0,7.0,6.0,15.0,10.0,5.0,20.0,24.0,12.0,2.0,8.0,107.0,0.0,5.0,18.0,0.0,9.0
ENSG00000204356,48.0,96.0,73.0,148.0,226.0,428.0,153.0,313.0,144.0,215.0,118.0,185.0,291.0,0.0,0.0,0.0,7.0,60.0,40.0,102.0,57.0,59.0,45.0,103.0,40.0,58.0,63.0,79.0,38.0,77.0,142.0,60.0,1.0,101.0,258.0,18.0,20.0,92.0,0.0,40.0
ENSG00000204361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204363,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000204366,0.0,4.0,1.0,6.0,5.0,11.0,7.0,6.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204370,255.0,576.0,420.0,1507.0,1609.0,1903.0,663.0,821.0,363.0,905.0,424.0,882.0,1162.0,0.0,0.0,1.0,0.0,114.0,80.0,169.0,133.0,66.0,53.0,136.0,60.0,85.0,145.0,112.0,75.0,126.0,168.0,81.0,7.0,97.0,1077.0,0.0,44.0,127.0,0.0,138.0
