sample_name,Sample_ID,Sample_Name,Sample_NameLIMS,FID_comment,Sample_Project,Library Protocol,Mergefastq,Read length,Organism
25L008093,Sample_25L008093,25L008093,L_3_2,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with GA2469_pPGK2_mGag-L21S_(codon_optimized)_NC-sPAM",Project_1716,custom,False,100bp PE,human
25L008094,Sample_25L008094,25L008094,L_4_1,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L687_pPGK2_mGag-L21S_(codon_optimized)",Project_1716,custom,False,100bp PE,human
25L008095,Sample_25L008095,25L008095,L_4_2,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L687_pPGK2_mGag-L21S_(codon_optimized)",Project_1716,custom,False,100bp PE,human
25L008096,Sample_25L008096,25L008096,L_4_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L687_pPGK2_mGag-L21S_(codon_optimized)",Project_1716,custom,False,100bp PE,human
25L008097,Sample_25L008097,25L008097,L_5_1,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1691.1_pPGK2_minigag-L21S(ZF1(C_S)-ZF2)_HiBit-PABP-bGH-pA",Project_1716,custom,False,100bp PE,human
25L008098,Sample_25L008098,25L008098,L_5_2,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1691.1_pPGK2_minigag-L21S(ZF1(C_S)-ZF2)_HiBit-PABP-bGH-pA",Project_1716,custom,False,100bp PE,human
25L008099,Sample_25L008099,25L008099,L_5_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1691.1_pPGK2_minigag-L21S(ZF1(C_S)-ZF2)_HiBit-PABP-bGH-pA",Project_1716,custom,False,100bp PE,human
25L008100,Sample_25L008100,25L008100,L_6_1,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1083_pPGK_NLuc-PEST-bpA",Project_1716,custom,False,100bp PE,human
25L008101,Sample_25L008101,25L008101,L_6_2,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1083_pPGK_NLuc-PEST-bpA",Project_1716,custom,False,100bp PE,human
25L008102,Sample_25L008102,25L008102,L_6_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1083_pPGK_NLuc-PEST-bpA",Project_1716,custom,False,100bp PE,human
25L008103,Sample_25L008103,25L008103,L_7_1,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1716_pPGK2_Gag(no-myrist_L21S+ZF)-GCN4-HiBit-PABP(RRM1-2_M161A)",Project_1716,custom,False,100bp PE,human
25L008104,Sample_25L008104,25L008104,SN_3_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with GA2469_pPGK2_mGag-L21S_(codon_optimized)_NC-sPAM",Project_1716,custom,False,100bp PE,human
25L008105,Sample_25L008105,25L008105,SN_7_2,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1716_pPGK2_Gag(no-myrist_L21S+ZF)-GCN4-HiBit-PABP(RRM1-2_M161A)",Project_1716,custom,False,100bp PE,human
25L008106,Sample_25L008106,25L008106,L_3_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with GA2469_pPGK2_mGag-L21S_(codon_optimized)_NC-sPAM",Project_1716,custom,False,100bp PE,human
25L008107,Sample_25L008107,25L008107,L_7_2,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1716_pPGK2_Gag(no-myrist_L21S+ZF)-GCN4-HiBit-PABP(RRM1-2_M161A)",Project_1716,custom,False,100bp PE,human
25L008110,Sample_25L008110,25L008110,SN_7_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1716_pPGK2_Gag(no-myrist_L21S+ZF)-GCN4-HiBit-PABP(RRM1-2_M161A)",Project_1716,custom,False,100bp PE,human
25L008111,Sample_25L008111,25L008111,L_7_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1716_pPGK2_Gag(no-myrist_L21S+ZF)-GCN4-HiBit-PABP(RRM1-2_M161A)",Project_1716,custom,False,100bp PE,human
