condition,dataset,recall,precision
IFNg,original,1.0,0.002094514988872889
IFNg,original,1.0,0.0020964360587002098
IFNg,original,1.0,0.0020965734128284086
IFNg,original,1.0,0.0020967107849561
IFNg,original,1.0,0.0020968481750868228
IFNg,original,1.0,0.0020969855832241153
IFNg,original,1.0,0.0020971230093715185
IFNg,original,1.0,0.002097260453532573
IFNg,original,1.0,0.0020973979157108214
IFNg,original,1.0,0.002097535395909806
IFNg,original,1.0,0.002097672894133071
IFNg,original,1.0,0.0020978104103841614
IFNg,original,1.0,0.002097947944666623
IFNg,original,1.0,0.002098085496984002
IFNg,original,1.0,0.0020982230673398466
IFNg,original,1.0,0.002098360655737705
IFNg,original,1.0,0.0020984982621811265
IFNg,original,1.0,0.002098635886673662
IFNg,original,1.0,0.0020987735292188627
IFNg,original,1.0,0.0020989111898202808
IFNg,original,1.0,0.0020990488684814695
IFNg,original,1.0,0.0020991865652059826
IFNg,original,1.0,0.002099324279997376
IFNg,original,1.0,0.002099462012859205
IFNg,original,1.0,0.0020995997637950265
IFNg,original,1.0,0.002099737532808399
IFNg,original,1.0,0.002099875319902881
IFNg,original,1.0,0.002100013125082032
IFNg,original,1.0,0.0021001509483494127
IFNg,original,1.0,0.002100288789708585
IFNg,original,1.0,0.002100426649163111
IFNg,original,1.0,0.002100564526716555
IFNg,original,1.0,0.0021007024223724806
IFNg,original,1.0,0.0021008403361344537
IFNg,original,1.0,0.0021009782680060404
IFNg,original,1.0,0.002101116217990808
IFNg,original,1.0,0.0021012541860923237
IFNg,original,1.0,0.0021013921723141583
IFNg,original,1.0,0.0021015301766598806
IFNg,original,1.0,0.0021016681991330617
IFNg,original,1.0,0.002101806239737274
IFNg,original,1.0,0.0021019442984760903
IFNg,original,1.0,0.002102082375353084
IFNg,original,1.0,0.00210222047037183
IFNg,original,1.0,0.0021023585835359044
IFNg,original,1.0,0.002102496714848883
IFNg,original,1.0,0.002102634864314344
IFNg,original,1.0,0.0021027730319358655
IFNg,original,1.0,0.002102911217717027
IFNg,original,1.0,0.002103049421661409
IFNg,original,1.0,0.002103187643772593
IFNg,original,1.0,0.0021033258840541607
IFNg,original,1.0,0.0021034641425096957
IFNg,original,1.0,0.002103602419142782
IFNg,original,1.0,0.002103740713957005
IFNg,original,1.0,0.00210387902695595
IFNg,original,1.0,0.002104017358143205
IFNg,original,1.0,0.0021041557075223566
IFNg,original,1.0,0.0021042940750969946
IFNg,original,1.0,0.002104432460870709
IFNg,original,1.0,0.00210457086484709
IFNg,original,1.0,0.002104709287029729
IFNg,original,1.0,0.002104847727422219
IFNg,original,1.0,0.0021049861860281543
IFNg,original,1.0,0.002105124662851128
IFNg,original,1.0,0.002105263157894737
IFNg,original,1.0,0.0021054016711625763
IFNg,original,1.0,0.0021055402026582447
IFNg,original,1.0,0.002105678752385339
IFNg,original,1.0,0.0021058173203474598
IFNg,original,1.0,0.002105955906548207
IFNg,original,1.0,0.0021060945109911806
IFNg,original,1.0,0.002106233133679984
IFNg,original,1.0,0.00210637177461822
IFNg,original,1.0,0.0021065104338094925
IFNg,original,1.0,0.002106649111257406
IFNg,original,1.0,0.002106787806965567
IFNg,original,1.0,0.0021069265209375824
IFNg,original,1.0,0.002107065253177059
IFNg,original,1.0,0.002107204003687607
IFNg,original,1.0,0.002107342772472835
IFNg,original,1.0,0.002107481559536354
IFNg,original,1.0,0.0021076203648817756
IFNg,original,1.0,0.0021077591885127122
IFNg,original,1.0,0.002107898030432778
IFNg,original,1.0,0.002108036890645586
IFNg,original,1.0,0.0021081757691547532
IFNg,original,1.0,0.002108314665963895
IFNg,original,1.0,0.0021084535810766292
IFNg,original,1.0,0.0021085925144965737
IFNg,original,1.0,0.0021087314662273475
IFNg,original,1.0,0.0021088704362725716
IFNg,original,1.0,0.002109009424635866
IFNg,original,1.0,0.0021091484313208544
IFNg,original,1.0,0.0021092874563311582
IFNg,original,1.0,0.002109426499670402
IFNg,original,1.0,0.002109565561342211
IFNg,original,1.0,0.002109704641350211
IFNg,original,1.0,0.0021098437396980287
IFNg,original,1.0,0.0021099828563892918
IFNg,original,1.0,0.0021101219914276296
IFNg,original,1.0,0.0021102611448166712
IFNg,original,1.0,0.0021104003165600474
IFNg,original,1.0,0.00211053950666139
IFNg,original,1.0,0.002110678715124332
IFNg,original,1.0,0.0021108179419525065
IFNg,original,1.0,0.002110957187149548
IFNg,original,1.0,0.002111096450719092
IFNg,original,1.0,0.002111235732664775
IFNg,original,1.0,0.002111375032990235
IFNg,original,1.0,0.002111514351699109
IFNg,original,1.0,0.0021116536887950377
IFNg,original,1.0,0.00211179304428166
IFNg,original,1.0,0.0021119324181626186
IFNg,original,1.0,0.002112071810441555
IFNg,original,1.0,0.002112211221122112
IFNg,original,1.0,0.0021123506502079346
IFNg,original,1.0,0.002112490097702667
IFNg,original,1.0,0.0021126295636099556
IFNg,original,1.0,0.0021127690479334476
IFNg,original,1.0,0.002112908550676791
IFNg,original,1.0,0.0021130480718436345
IFNg,original,1.0,0.002113187611437628
IFNg,original,1.0,0.0021133271694624223
IFNg,original,1.0,0.0021134667459216695
IFNg,original,1.0,0.0021136063408190224
IFNg,original,1.0,0.0021137459541581347
IFNg,original,1.0,0.002113885585942661
IFNg,original,1.0,0.0021140252361762568
IFNg,original,1.0,0.0021141649048625794
IFNg,original,1.0,0.002114304592005286
IFNg,original,1.0,0.002114444297608035
IFNg,original,1.0,0.002114584021674486
