,25L007990,25L007991,25L007992,25L008002,25L008003,25L008004
ENSMUSG00000000056,0,0,0,46,0,3
ENSMUSG00000000078,0,0,0,6,56,132
ENSMUSG00000000085,0,0,0,0,17,37
ENSMUSG00000000088,0,0,4,0,13,53
ENSMUSG00000000125,0,0,0,0,31,0
ENSMUSG00000000131,0,0,0,0,13,0
ENSMUSG00000000134,0,0,0,12,0,37
ENSMUSG00000000168,0,0,8,0,0,0
ENSMUSG00000000171,0,14,0,0,449,60
ENSMUSG00000000184,0,0,2,16,16,17
ENSMUSG00000000194,0,10,0,0,78,16
ENSMUSG00000000247,0,0,0,0,29,0
ENSMUSG00000000266,0,0,0,0,2,0
ENSMUSG00000000276,0,0,0,1,0,0
ENSMUSG00000000282,1,38,0,29,0,42
ENSMUSG00000000295,0,0,0,0,22,19
ENSMUSG00000000301,0,0,0,0,92,0
ENSMUSG00000000308,0,0,0,0,12,4
ENSMUSG00000000326,0,0,44,8,141,0
ENSMUSG00000000339,15,0,0,0,51,0
ENSMUSG00000000346,0,0,10,18,2,0
ENSMUSG00000000355,0,0,1,0,27,0
ENSMUSG00000000374,0,4,0,0,0,0
ENSMUSG00000000378,0,70,0,9,58,146
ENSMUSG00000000384,0,0,0,0,34,5
ENSMUSG00000000392,0,0,0,4,0,0
ENSMUSG00000000409,0,0,0,0,239,0
ENSMUSG00000000420,0,0,0,0,0,7
ENSMUSG00000000439,0,0,0,0,26,36
ENSMUSG00000000489,0,0,0,0,0,13
ENSMUSG00000000531,0,0,0,1,208,15
ENSMUSG00000000532,1,0,0,0,0,0
ENSMUSG00000000538,0,0,0,0,45,30
ENSMUSG00000000560,0,0,0,0,0,59
ENSMUSG00000000561,0,0,0,0,73,0
ENSMUSG00000000563,0,0,0,0,19,0
ENSMUSG00000000568,0,0,0,1,0,0
ENSMUSG00000000579,0,4,1,2,24,8
ENSMUSG00000000581,0,2,0,0,0,0
ENSMUSG00000000600,0,0,0,0,0,16
ENSMUSG00000000605,0,0,0,12,2,0
ENSMUSG00000000627,0,0,0,1,0,0
ENSMUSG00000000631,0,0,0,0,6,0
ENSMUSG00000000740,0,16,11,14,147,67
ENSMUSG00000000743,0,0,0,8,286,0
ENSMUSG00000000787,0,0,0,4,45,0
ENSMUSG00000000792,0,0,0,0,11,0
ENSMUSG00000000805,0,0,0,0,12,0
ENSMUSG00000000823,0,0,0,4,0,0
ENSMUSG00000000826,0,14,8,86,293,7
ENSMUSG00000000827,0,0,0,0,0,6
ENSMUSG00000000861,0,0,0,0,24,5
ENSMUSG00000000876,0,0,0,1,0,20
ENSMUSG00000000901,0,0,0,0,0,4
ENSMUSG00000000902,0,0,0,0,5,0
ENSMUSG00000000915,0,3,0,0,90,125
ENSMUSG00000000916,0,0,0,1,10,3
ENSMUSG00000000948,0,0,0,0,4,0
ENSMUSG00000000957,0,0,0,0,19,0
ENSMUSG00000000959,0,0,0,0,32,0
ENSMUSG00000001016,0,0,0,0,1,0
ENSMUSG00000001017,0,5,0,7,54,0
ENSMUSG00000001018,0,0,0,0,1,2
ENSMUSG00000001025,0,0,0,0,4,0
ENSMUSG00000001034,0,0,0,0,0,222
ENSMUSG00000001036,0,0,0,0,1,0
ENSMUSG00000001056,0,11,45,21,303,326
ENSMUSG00000001062,0,0,14,11,26,0
ENSMUSG00000001098,0,0,8,0,0,0
ENSMUSG00000001100,0,11,0,3,89,37
ENSMUSG00000001105,0,0,57,9,87,5
ENSMUSG00000001127,0,0,0,0,63,0
ENSMUSG00000001128,0,0,11,0,0,0
ENSMUSG00000001143,0,0,0,0,5,0
ENSMUSG00000001158,0,10,0,3,102,0
ENSMUSG00000001173,0,0,0,1,0,0
ENSMUSG00000001175,0,51,95,25,437,81
ENSMUSG00000001211,11,23,48,18,331,0
ENSMUSG00000001227,0,0,0,0,90,22
ENSMUSG00000001248,0,0,0,7,10,21
ENSMUSG00000001270,0,0,21,76,500,99
ENSMUSG00000001281,0,0,0,0,5,0
ENSMUSG00000001285,0,0,0,0,10,0
ENSMUSG00000001289,29,24,52,22,168,57
ENSMUSG00000001300,0,0,0,0,19,40
ENSMUSG00000001305,0,0,0,0,0,2
ENSMUSG00000001313,0,0,0,8,296,0
ENSMUSG00000001323,0,7,0,12,42,0
ENSMUSG00000001334,0,0,0,0,5,0
ENSMUSG00000001366,0,0,14,0,0,0
ENSMUSG00000001380,0,4,0,3,9,28
ENSMUSG00000001383,0,0,0,5,18,0
ENSMUSG00000001415,0,0,0,0,82,0
ENSMUSG00000001416,0,0,0,0,13,0
ENSMUSG00000001419,0,0,0,0,38,0
ENSMUSG00000001420,0,0,0,0,7,0
ENSMUSG00000001424,0,0,0,0,22,15
ENSMUSG00000001440,0,0,0,0,74,20
ENSMUSG00000001441,0,0,0,1,8,0
ENSMUSG00000001445,0,0,0,0,68,29
ENSMUSG00000001472,0,0,0,24,355,66
ENSMUSG00000001482,0,1,0,0,0,0
ENSMUSG00000001497,0,0,0,0,0,1
ENSMUSG00000001520,0,0,0,4,0,0
ENSMUSG00000001521,0,3,0,0,0,5
ENSMUSG00000001525,0,1,0,0,16,0
ENSMUSG00000001542,0,0,0,0,14,25
ENSMUSG00000001576,0,2,0,5,12,0
ENSMUSG00000001627,0,0,0,0,10,0
ENSMUSG00000001642,0,0,0,0,139,9
ENSMUSG00000001666,0,3,0,0,1,14
ENSMUSG00000001674,0,11,0,0,0,0
ENSMUSG00000001687,0,0,2,14,20,24
ENSMUSG00000001729,0,0,0,0,23,29
ENSMUSG00000001755,0,6,0,27,132,61
ENSMUSG00000001763,0,0,0,0,0,27
ENSMUSG00000001774,0,0,0,0,4,6
ENSMUSG00000001783,0,0,0,14,60,0
ENSMUSG00000001785,0,0,0,0,0,11
ENSMUSG00000001786,0,0,0,0,0,8
ENSMUSG00000001794,0,11,5,164,535,16
ENSMUSG00000001802,0,0,0,0,57,0
ENSMUSG00000001833,1,0,0,0,114,1
ENSMUSG00000001844,0,20,0,14,160,0
ENSMUSG00000001847,0,0,0,0,19,11
ENSMUSG00000001855,0,0,0,0,88,0
ENSMUSG00000001910,0,0,0,0,172,0
ENSMUSG00000001911,0,7,0,46,421,277
ENSMUSG00000001964,0,0,0,0,5,0
ENSMUSG00000001983,0,0,0,0,0,9
ENSMUSG00000001986,0,0,0,0,3,0
ENSMUSG00000001998,0,0,0,0,12,0
ENSMUSG00000002006,0,1,0,8,82,11
ENSMUSG00000002017,8,0,11,35,140,98
ENSMUSG00000002028,0,0,0,49,34,0
ENSMUSG00000002031,0,0,0,0,24,0
ENSMUSG00000002032,0,0,0,0,0,33
ENSMUSG00000002043,0,0,0,0,0,1
ENSMUSG00000002052,0,0,0,15,0,8
ENSMUSG00000002058,0,0,0,8,195,0
ENSMUSG00000002102,0,0,0,0,31,39
ENSMUSG00000002103,0,0,0,21,19,0
ENSMUSG00000002107,3,69,19,60,1055,250
ENSMUSG00000002205,0,0,0,0,42,0
ENSMUSG00000002210,0,7,166,17,317,29
ENSMUSG00000002222,0,0,0,9,0,105
ENSMUSG00000002233,0,0,0,0,15,0
ENSMUSG00000002250,0,0,0,1,0,0
ENSMUSG00000002265,0,0,0,0,47,8
ENSMUSG00000002280,0,0,0,0,80,0
