,25L007990,25L007991,25L007992,25L008002,25L008003,25L008004
ENSMUSG00000002297,0,0,3,0,0,1
ENSMUSG00000002307,0,0,0,0,9,0
ENSMUSG00000002319,0,0,0,59,0,0
ENSMUSG00000002326,0,0,0,3,0,0
ENSMUSG00000002329,5,0,0,30,5,36
ENSMUSG00000002341,0,0,0,8,30,0
ENSMUSG00000002342,0,8,0,0,99,0
ENSMUSG00000002343,0,0,0,3,15,0
ENSMUSG00000002345,54,0,250,54,971,104
ENSMUSG00000002346,0,0,0,0,37,0
ENSMUSG00000002372,0,0,0,0,0,14
ENSMUSG00000002379,0,0,6,77,435,17
ENSMUSG00000002393,0,9,0,0,0,0
ENSMUSG00000002395,1,0,0,0,74,0
ENSMUSG00000002396,0,0,0,0,127,148
ENSMUSG00000002413,0,0,0,32,102,11
ENSMUSG00000002416,0,0,0,12,193,11
ENSMUSG00000002428,0,0,0,53,0,0
ENSMUSG00000002458,0,0,0,0,60,18
ENSMUSG00000002477,0,0,19,0,33,1
ENSMUSG00000002489,0,0,0,0,141,16
ENSMUSG00000002496,0,0,0,0,0,14
ENSMUSG00000002504,0,0,0,0,8,0
ENSMUSG00000002524,0,0,0,0,0,33
ENSMUSG00000002550,0,3,1,5,138,187
ENSMUSG00000002578,0,0,0,3,3,0
ENSMUSG00000002580,1,43,10,64,211,205
ENSMUSG00000002608,0,0,0,0,27,16
ENSMUSG00000002617,0,0,0,0,7,0
ENSMUSG00000002635,0,0,0,0,1,0
ENSMUSG00000002658,0,0,0,12,81,0
ENSMUSG00000002660,0,3,0,0,182,20
ENSMUSG00000002661,0,0,0,38,32,0
ENSMUSG00000002728,0,0,0,3,113,0
ENSMUSG00000002733,0,0,0,0,82,23
ENSMUSG00000002741,0,0,24,4,116,146
ENSMUSG00000002763,0,0,0,0,0,7
ENSMUSG00000002768,116,10,172,65,730,34
ENSMUSG00000002778,0,0,0,0,14,0
ENSMUSG00000002797,0,0,0,0,94,31
ENSMUSG00000002803,0,0,0,0,11,0
ENSMUSG00000002804,0,2,0,1,1,16
ENSMUSG00000002808,0,1,0,0,0,0
ENSMUSG00000002814,0,0,0,0,0,21
ENSMUSG00000002820,0,0,0,0,126,38
ENSMUSG00000002833,0,0,0,34,20,55
ENSMUSG00000002844,0,0,0,0,3,0
ENSMUSG00000002881,0,0,0,3,0,18
ENSMUSG00000002908,0,0,0,0,0,28
ENSMUSG00000002957,49,2,162,95,403,227
ENSMUSG00000002963,0,0,9,0,0,0
ENSMUSG00000002968,0,0,0,0,0,1
ENSMUSG00000002981,0,0,0,0,7,70
ENSMUSG00000002984,0,0,20,0,293,0
ENSMUSG00000002996,0,0,0,0,6,0
ENSMUSG00000002997,0,0,0,0,45,0
ENSMUSG00000003031,0,0,0,0,59,0
ENSMUSG00000003033,0,0,0,9,224,0
ENSMUSG00000003037,0,0,0,0,5,0
ENSMUSG00000003038,0,6,10,6,73,21
ENSMUSG00000003039,0,56,0,9,82,46
ENSMUSG00000003062,0,0,0,0,117,27
ENSMUSG00000003068,0,0,0,7,0,0
ENSMUSG00000003070,0,0,0,0,0,72
ENSMUSG00000003072,8,14,77,37,233,250
ENSMUSG00000003099,0,0,0,0,0,2
ENSMUSG00000003131,0,0,0,0,21,11
ENSMUSG00000003135,0,0,0,0,29,0
ENSMUSG00000003153,0,0,0,0,8,0
ENSMUSG00000003154,0,0,0,24,3,1
ENSMUSG00000003166,0,0,0,0,0,8
ENSMUSG00000003199,0,0,0,0,59,4
ENSMUSG00000003208,0,0,0,0,147,0
ENSMUSG00000003233,0,0,0,0,39,0
ENSMUSG00000003234,0,0,0,2,0,0
ENSMUSG00000003235,0,0,33,0,997,54
ENSMUSG00000003269,0,0,0,3,37,0
ENSMUSG00000003273,0,0,0,2,0,11
ENSMUSG00000003279,0,65,0,0,104,18
ENSMUSG00000003299,0,0,0,0,0,22
ENSMUSG00000003308,0,5,0,47,259,16
ENSMUSG00000003316,0,12,0,6,0,10
ENSMUSG00000003344,0,0,0,0,128,0
ENSMUSG00000003345,0,13,0,15,305,78
ENSMUSG00000003346,0,0,0,33,20,0
ENSMUSG00000003348,0,0,0,0,351,18
ENSMUSG00000003352,6,46,0,33,74,80
ENSMUSG00000003360,0,0,0,4,73,0
ENSMUSG00000003363,0,0,0,0,5,6
ENSMUSG00000003378,0,0,0,17,0,0
ENSMUSG00000003380,0,0,0,0,352,69
ENSMUSG00000003382,0,0,0,1,0,0
ENSMUSG00000003402,0,0,0,4,0,0
ENSMUSG00000003410,0,7,15,93,1460,331
ENSMUSG00000003411,0,0,0,0,24,0
ENSMUSG00000003423,0,1,30,10,19,0
ENSMUSG00000003429,0,0,0,13,53,34
ENSMUSG00000003438,0,0,0,0,253,19
ENSMUSG00000003444,0,0,7,52,0,0
ENSMUSG00000003452,0,0,0,0,23,0
ENSMUSG00000003464,0,0,0,0,2,0
ENSMUSG00000003469,0,0,0,6,23,0
ENSMUSG00000003500,0,0,0,0,0,4
ENSMUSG00000003518,0,0,13,16,198,77
ENSMUSG00000003528,0,10,20,9,12,27
ENSMUSG00000003531,0,7,7,97,39,323
ENSMUSG00000003534,0,0,0,0,41,0
ENSMUSG00000003575,0,0,0,0,12,0
ENSMUSG00000003604,0,0,0,0,0,4
ENSMUSG00000003662,0,0,0,0,18,6
ENSMUSG00000003731,0,0,0,35,71,0
ENSMUSG00000003752,0,0,0,0,9,0
ENSMUSG00000003762,0,0,0,11,0,67
ENSMUSG00000003808,0,0,0,0,35,0
ENSMUSG00000003812,0,0,0,0,2,0
ENSMUSG00000003813,0,0,0,0,29,8
ENSMUSG00000003824,0,0,0,0,26,34
ENSMUSG00000003863,0,31,0,4,0,49
ENSMUSG00000003865,0,0,0,50,2,5
ENSMUSG00000003872,0,5,0,0,0,0
ENSMUSG00000003873,0,0,181,0,2,64
ENSMUSG00000003923,0,0,0,0,0,9
ENSMUSG00000003929,0,0,0,0,0,5
ENSMUSG00000003934,0,0,0,0,20,0
ENSMUSG00000003948,0,0,42,0,9,1
ENSMUSG00000003955,0,5,0,0,8,15
ENSMUSG00000003970,0,1,33,50,388,104
ENSMUSG00000003992,0,15,0,1,0,36
ENSMUSG00000004032,1,1,29,45,164,14
ENSMUSG00000004054,0,8,0,0,0,0
ENSMUSG00000004056,0,0,0,34,137,0
ENSMUSG00000004069,0,0,0,0,0,7
ENSMUSG00000004070,7,0,0,5,0,0
ENSMUSG00000004071,1,0,0,0,248,0
ENSMUSG00000004110,0,0,0,0,2,0
ENSMUSG00000004151,0,0,0,0,22,0
ENSMUSG00000004207,1,0,6,7,572,14
ENSMUSG00000004264,0,0,0,0,9,71
ENSMUSG00000004267,0,2,0,17,130,22
ENSMUSG00000004268,0,0,0,0,41,0
ENSMUSG00000004285,17,1,17,1,320,115
ENSMUSG00000004360,0,0,0,0,0,11
ENSMUSG00000004364,0,0,0,0,43,0
ENSMUSG00000004383,0,0,3,0,29,0
ENSMUSG00000004451,0,0,0,1,40,0
ENSMUSG00000004455,0,0,0,10,22,2
ENSMUSG00000004508,0,0,0,0,13,0
ENSMUSG00000004530,0,7,0,10,69,122
ENSMUSG00000004535,0,0,0,0,2,2
ENSMUSG00000004558,0,0,0,0,7,0
ENSMUSG00000004562,0,0,0,0,13,0
ENSMUSG00000004565,0,0,0,0,28,0
ENSMUSG00000004630,0,0,0,0,14,0
ENSMUSG00000004633,0,0,0,0,3,0
ENSMUSG00000004642,0,0,0,0,9,0
ENSMUSG00000004651,0,0,0,0,0,5
ENSMUSG00000004665,0,0,0,7,0,43
ENSMUSG00000004667,0,0,1,3,81,97
ENSMUSG00000004698,0,0,0,0,0,27
ENSMUSG00000004748,0,0,14,7,217,0
ENSMUSG00000004768,0,0,0,0,6,0
ENSMUSG00000004771,0,0,0,0,11,0
ENSMUSG00000004789,0,0,0,0,67,0
ENSMUSG00000004791,0,0,0,0,21,5
ENSMUSG00000004843,0,0,0,0,0,6
ENSMUSG00000004846,0,12,0,29,18,0
ENSMUSG00000004849,0,0,0,2,116,201
ENSMUSG00000004865,0,4,0,3,13,0
ENSMUSG00000004896,0,0,0,0,1,0
ENSMUSG00000004897,0,0,0,13,82,0
ENSMUSG00000004933,0,2,0,0,272,0
ENSMUSG00000004934,0,0,0,15,585,294
ENSMUSG00000004937,10,1,30,42,44,28
ENSMUSG00000004945,0,0,0,0,4,0
ENSMUSG00000004980,0,0,0,4,7,0
ENSMUSG00000004994,0,0,0,0,12,0
ENSMUSG00000005034,21,3,60,30,392,109
ENSMUSG00000005045,0,0,0,0,7,0
ENSMUSG00000005078,0,9,0,0,193,246
ENSMUSG00000005089,0,0,0,0,64,0
ENSMUSG00000005103,0,16,0,0,22,79
ENSMUSG00000005125,0,0,0,0,0,19
ENSMUSG00000005150,0,3,0,0,89,2
ENSMUSG00000005161,0,7,0,24,93,46
ENSMUSG00000005204,0,0,0,0,22,0
ENSMUSG00000005225,0,0,0,10,0,0
ENSMUSG00000005233,0,0,0,11,0,0
ENSMUSG00000005262,0,0,0,0,44,0
ENSMUSG00000005267,0,1,35,0,2,0
ENSMUSG00000005338,0,0,0,0,3,6
ENSMUSG00000005354,0,0,0,41,993,225
ENSMUSG00000005362,0,0,0,0,1,0
ENSMUSG00000005374,0,0,0,0,0,66
ENSMUSG00000005378,0,0,0,15,254,5
ENSMUSG00000005417,0,0,0,0,51,0
ENSMUSG00000005442,15,0,28,22,25,6
ENSMUSG00000005447,0,0,0,0,41,18
ENSMUSG00000005469,0,0,0,0,9,0
ENSMUSG00000005481,0,0,0,0,0,6
ENSMUSG00000005483,0,0,0,5,0,8
ENSMUSG00000005505,0,21,0,0,0,0
ENSMUSG00000005506,0,0,0,26,168,117
ENSMUSG00000005510,0,0,0,41,0,0
ENSMUSG00000005533,0,0,0,0,8,5
ENSMUSG00000005534,0,0,0,0,10,0
ENSMUSG00000005575,0,0,0,40,88,160
ENSMUSG00000005583,0,13,0,46,426,450
ENSMUSG00000005609,0,0,0,0,60,0
ENSMUSG00000005610,0,0,0,9,21,1
ENSMUSG00000005615,0,0,0,0,59,5
ENSMUSG00000005621,0,3,0,0,3,0
ENSMUSG00000005625,0,5,0,63,43,60
ENSMUSG00000005656,0,3,16,12,10,7
ENSMUSG00000005667,0,0,0,0,129,16
ENSMUSG00000005674,0,0,0,30,22,37
ENSMUSG00000005677,0,0,0,0,8,9
ENSMUSG00000005681,0,0,0,0,0,38
ENSMUSG00000005683,0,0,0,0,99,14
ENSMUSG00000005687,0,0,6,0,17,2
ENSMUSG00000005698,0,0,0,0,13,0
ENSMUSG00000005699,0,0,0,0,1,98
ENSMUSG00000005732,0,0,0,0,2,0
ENSMUSG00000005779,0,0,0,0,0,6
ENSMUSG00000005804,0,0,0,6,2,0
ENSMUSG00000005813,0,0,0,0,23,0
ENSMUSG00000005823,0,0,0,7,117,13
ENSMUSG00000005871,0,0,13,0,20,0
ENSMUSG00000005873,0,6,5,16,604,125
ENSMUSG00000005882,0,0,0,8,162,39
ENSMUSG00000005893,3,12,0,0,0,0
ENSMUSG00000005899,0,0,0,9,2,0
ENSMUSG00000005936,0,0,0,0,4,0
ENSMUSG00000005973,0,0,0,0,30,0
ENSMUSG00000005982,0,10,0,5,81,10
ENSMUSG00000005983,0,0,0,2,18,4
ENSMUSG00000006005,0,0,0,0,13,0
ENSMUSG00000006010,0,0,0,0,47,0
ENSMUSG00000006024,0,0,29,0,0,0
ENSMUSG00000006050,0,26,0,4,10,0
ENSMUSG00000006057,0,2,25,26,394,32
ENSMUSG00000006058,0,0,0,0,88,4
ENSMUSG00000006095,0,4,0,0,1091,19
ENSMUSG00000006169,0,0,0,67,0,0
ENSMUSG00000006218,0,0,0,0,52,21
ENSMUSG00000006219,0,0,0,0,8,87
ENSMUSG00000006262,0,0,0,0,0,8
ENSMUSG00000006273,0,0,0,17,13,0
ENSMUSG00000006288,0,1,0,0,3,0
ENSMUSG00000006289,0,0,0,0,7,0
ENSMUSG00000006299,0,0,0,0,25,2
ENSMUSG00000006304,0,1,0,39,373,401
ENSMUSG00000006315,28,68,0,0,634,82
ENSMUSG00000006333,0,7,27,0,141,39
ENSMUSG00000006335,0,0,0,0,19,11
ENSMUSG00000006356,1,163,0,190,1763,388
ENSMUSG00000006362,0,0,0,0,23,0
ENSMUSG00000006378,0,0,0,0,8,0
ENSMUSG00000006390,0,0,0,3,17,0
ENSMUSG00000006392,0,5,63,21,41,37
ENSMUSG00000006395,0,0,0,0,12,0
ENSMUSG00000006412,0,0,0,6,0,21
ENSMUSG00000006418,0,0,0,26,0,40
ENSMUSG00000006423,0,0,0,0,16,0
ENSMUSG00000006435,0,0,19,60,550,60
ENSMUSG00000006442,0,0,0,6,32,6
ENSMUSG00000006463,0,0,0,0,34,2
ENSMUSG00000006464,0,0,0,0,1,0
ENSMUSG00000006476,1,217,235,155,1081,288
ENSMUSG00000006494,0,0,0,0,72,0
ENSMUSG00000006517,0,239,56,34,3521,294
ENSMUSG00000006526,0,0,0,18,552,82
ENSMUSG00000006575,0,0,0,8,224,15
ENSMUSG00000006576,40,0,0,6,33,0
ENSMUSG00000006586,2,0,16,1,1,9
ENSMUSG00000006589,0,3,52,109,630,279
ENSMUSG00000006599,0,0,0,0,45,0
ENSMUSG00000006651,0,0,0,0,29,189
ENSMUSG00000006673,0,0,0,0,134,0
ENSMUSG00000006676,0,0,0,3,0,0
ENSMUSG00000006699,80,1,0,0,83,6
ENSMUSG00000006705,0,0,0,1,5,0
ENSMUSG00000006728,0,0,0,1,82,0
ENSMUSG00000006731,0,0,0,6,14,0
ENSMUSG00000006736,0,0,0,13,13,64
ENSMUSG00000006740,0,0,0,0,36,20
ENSMUSG00000006763,0,0,0,0,31,0
ENSMUSG00000006818,0,0,8,0,0,0
ENSMUSG00000006906,0,0,0,1,15,15
ENSMUSG00000006920,0,0,0,0,37,0
ENSMUSG00000006932,0,0,0,0,0,12
ENSMUSG00000006941,0,2,94,34,488,193
ENSMUSG00000006998,0,0,0,0,182,33
ENSMUSG00000007021,0,0,3,0,139,72
ENSMUSG00000007038,0,10,0,0,24,0
ENSMUSG00000007039,0,0,0,0,2,0
ENSMUSG00000007041,0,0,0,0,0,1
ENSMUSG00000007050,0,0,0,29,0,1
ENSMUSG00000007207,0,0,0,0,226,17
ENSMUSG00000007216,0,0,0,0,57,0
ENSMUSG00000007411,0,0,2,0,10,0
ENSMUSG00000007415,0,0,0,0,26,9
ENSMUSG00000007440,0,0,0,0,19,0
ENSMUSG00000007476,0,0,0,0,3,0
ENSMUSG00000007570,0,0,0,15,0,0
ENSMUSG00000007589,0,0,0,11,0,0
ENSMUSG00000007603,0,0,0,14,0,0
ENSMUSG00000007617,0,0,0,0,0,2
ENSMUSG00000007656,0,0,0,0,178,88
ENSMUSG00000007659,0,0,0,12,280,65
ENSMUSG00000007721,0,159,464,117,676,373
ENSMUSG00000007739,0,0,0,0,0,10
ENSMUSG00000007783,0,0,0,5,11,0
ENSMUSG00000007812,0,7,0,0,4,6
ENSMUSG00000007817,0,0,6,0,0,0
ENSMUSG00000007836,0,0,0,7,0,0
ENSMUSG00000007877,0,0,0,0,150,249
ENSMUSG00000007880,0,0,0,0,0,42
ENSMUSG00000007888,0,0,0,0,1,0
ENSMUSG00000007892,0,33,42,20,693,44
ENSMUSG00000007944,7,62,50,92,887,105
ENSMUSG00000007950,0,0,4,63,1123,0
ENSMUSG00000007987,0,0,0,21,29,7
ENSMUSG00000007989,0,0,0,1,12,10
ENSMUSG00000008028,0,0,0,0,1,0
ENSMUSG00000008035,0,0,0,0,51,0
ENSMUSG00000008036,74,28,0,209,2881,160
ENSMUSG00000008140,0,266,0,22,996,59
ENSMUSG00000008167,0,12,0,0,185,4
ENSMUSG00000008206,0,0,0,0,15,0
ENSMUSG00000008301,0,0,12,7,44,0
ENSMUSG00000008318,0,0,0,0,0,5
ENSMUSG00000008348,0,0,82,0,0,0
ENSMUSG00000008373,0,0,0,0,0,2
ENSMUSG00000008429,0,0,0,0,12,26
ENSMUSG00000008435,0,0,0,0,52,0
ENSMUSG00000008450,0,0,0,0,5,1
ENSMUSG00000008475,0,8,0,40,742,355
ENSMUSG00000008489,0,11,0,0,36,12
ENSMUSG00000008496,0,0,0,0,152,1
ENSMUSG00000008575,0,5,0,0,8,0
ENSMUSG00000008604,0,0,0,4,17,27
ENSMUSG00000008658,0,0,0,0,42,8
ENSMUSG00000008668,39,1,0,7,9,28
ENSMUSG00000008682,0,0,1,0,11,0
ENSMUSG00000008683,0,0,0,0,21,0
ENSMUSG00000008763,0,0,0,5,5,2
ENSMUSG00000008855,0,0,0,0,16,0
ENSMUSG00000008859,0,0,0,0,114,22
ENSMUSG00000009013,12,14,0,12,331,506
ENSMUSG00000009035,0,0,0,0,26,0
ENSMUSG00000009076,0,0,0,0,23,0
ENSMUSG00000009090,0,0,0,0,467,11
ENSMUSG00000009112,0,0,0,0,2,0
ENSMUSG00000009216,0,0,0,0,111,0
ENSMUSG00000009292,0,0,0,0,11,4
ENSMUSG00000009293,16,1,0,37,1932,55
ENSMUSG00000009376,0,0,0,0,4,0
ENSMUSG00000009394,0,22,0,0,21,10
ENSMUSG00000009418,1,0,5,33,275,14
ENSMUSG00000009549,0,0,0,0,100,5
ENSMUSG00000009569,0,0,12,0,0,0
ENSMUSG00000009575,0,3,0,0,0,49
ENSMUSG00000009630,0,2,0,8,34,0
ENSMUSG00000009640,0,0,0,0,0,1
ENSMUSG00000009647,0,0,0,0,139,0
ENSMUSG00000009681,0,0,0,0,68,0
ENSMUSG00000009687,0,18,0,0,0,0
ENSMUSG00000009739,0,0,0,0,19,0
ENSMUSG00000009863,0,0,0,20,122,191
ENSMUSG00000009894,0,0,0,4,12,28
ENSMUSG00000009905,0,0,0,0,1,46
ENSMUSG00000009927,0,15,37,11,22,9
ENSMUSG00000010045,0,0,0,10,25,0
ENSMUSG00000010054,0,34,0,18,179,55
ENSMUSG00000010057,0,0,0,0,23,0
ENSMUSG00000010066,0,0,0,0,48,5
ENSMUSG00000010067,0,0,0,0,6,66
ENSMUSG00000010086,0,0,0,1,0,0
ENSMUSG00000010110,0,0,0,0,0,1
ENSMUSG00000010290,0,0,20,0,25,0
ENSMUSG00000010376,0,12,69,13,306,153
ENSMUSG00000010392,0,0,0,0,0,1
ENSMUSG00000010406,0,0,0,6,9,0
ENSMUSG00000010453,0,0,0,0,119,0
ENSMUSG00000010538,0,0,0,0,30,0
ENSMUSG00000010607,0,0,0,29,538,134
ENSMUSG00000010609,0,0,0,0,22,10
ENSMUSG00000010651,0,0,0,3,19,0
ENSMUSG00000010663,0,0,0,5,203,34
ENSMUSG00000010721,0,0,0,0,38,0
ENSMUSG00000010803,0,0,0,0,0,5
ENSMUSG00000010911,0,0,0,0,72,0
ENSMUSG00000010936,0,0,0,0,34,0
ENSMUSG00000011096,0,0,0,0,323,21
ENSMUSG00000011114,0,0,0,0,11,0
ENSMUSG00000011158,0,12,0,0,10,0
ENSMUSG00000011179,59,7,4,26,74,34
ENSMUSG00000011257,0,0,0,5,63,184
ENSMUSG00000011263,0,0,0,0,76,0
ENSMUSG00000011306,0,0,0,0,6,11
ENSMUSG00000011382,0,0,0,0,0,3
ENSMUSG00000011589,0,0,0,0,0,8
ENSMUSG00000011751,0,0,30,1,98,0
ENSMUSG00000011752,0,2,108,49,462,173
ENSMUSG00000011832,0,0,0,0,68,6
ENSMUSG00000011837,0,0,0,5,46,0
ENSMUSG00000011884,0,0,0,0,30,0
ENSMUSG00000011958,0,0,0,0,25,11
ENSMUSG00000011960,0,0,0,0,1,0
ENSMUSG00000012076,0,0,0,0,5,5
ENSMUSG00000012114,0,0,24,0,0,4
ENSMUSG00000012117,0,1,0,0,5,43
ENSMUSG00000012123,0,0,2,0,0,15
ENSMUSG00000012405,0,0,0,1,0,3
ENSMUSG00000012422,0,0,0,46,277,0
ENSMUSG00000012535,0,12,0,10,93,8
ENSMUSG00000012777,0,0,0,0,2,0
ENSMUSG00000012848,0,26,11,44,559,194
ENSMUSG00000013033,0,0,28,17,63,10
ENSMUSG00000013076,0,0,0,0,3,52
ENSMUSG00000013089,0,0,7,0,16,0
ENSMUSG00000013150,0,0,0,0,59,0
ENSMUSG00000013155,0,0,0,0,11,0
ENSMUSG00000013160,0,0,0,13,165,23
ENSMUSG00000013236,0,0,0,0,19,1
ENSMUSG00000013419,0,26,2,18,298,81
ENSMUSG00000013465,0,0,0,0,0,11
ENSMUSG00000013539,0,6,0,0,659,30
ENSMUSG00000013593,0,0,20,0,9,14
ENSMUSG00000013622,0,0,0,0,28,50
