"Gene","GeneName","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003","TSPAN6",0.118963565193638,-1.14593094352724e-07,0.00144269500073355,0.885307676292072,0.963244221886524
"ENSG00000000005","TNMD",0,NA,NA,NA,NA
"ENSG00000000419","DPM1",0.387559878850738,8.01526222731798e-08,0.00144269496325908,0.802848925674481,0.963244221886524
"ENSG00000000457","SCYL3",0.365641824035729,1.72234854412738e-07,0.00144269501334238,0.58287252199723,0.963244221886524
"ENSG00000000460","C1orf112",0.307614443359076,-1.62770009718411e-07,0.00144269500995713,0.675778468422186,0.963244221886524
"ENSG00000000938","FGR",0,NA,NA,NA,NA
"ENSG00000000971","CFH",0,NA,NA,NA,NA
"ENSG00000001036","FUCA2",0,NA,NA,NA,NA
"ENSG00000001084","GCLC",0.142510865532189,1.34811111540969e-07,0.00144269500235601,0.743546594935332,0.963244221886524
"ENSG00000001167","NFYA",0,NA,NA,NA,NA
"ENSG00000001460","STPG1",0.142510865532189,1.34811111540969e-07,0.00144269500235601,0.743546594935332,0.963244221886524
"ENSG00000001461","NIPAL3",0,NA,NA,NA,NA
"ENSG00000001497","LAS1L",0.243036863069839,1.48693338566078e-07,0.00144269500630816,0.743546594935332,0.963244221886524
"ENSG00000001561","ENPP4",0,NA,NA,NA,NA
"ENSG00000001617","SEMA3F",0,NA,NA,NA,NA
"ENSG00000001626","CFTR",0,NA,NA,NA,NA
"ENSG00000001629","ANKIB1",0,NA,NA,NA,NA
"ENSG00000001630","CYP51A1",0,NA,NA,NA,NA
"ENSG00000001631","KRIT1",1.63539765773818,-4.18981860903905e-08,0.00144269487406721,0.903191711660007,0.963244221886524
"ENSG00000002016","RAD52",0,NA,NA,NA,NA
"ENSG00000002330","BAD",1.25932296490818,-3.1513942494646e-07,0.00144269502096762,0.248280991545358,0.963244221886524
"ENSG00000002549","LAP3",0,NA,NA,NA,NA
"ENSG00000002586","CD99",1.07163512337718,-2.75550039084252e-07,0.00144269502019122,0.308968918858051,0.963244221886524
"ENSG00000002587","HS3ST1",0,NA,NA,NA,NA
"ENSG00000002726","AOC1",0,NA,NA,NA,NA
"ENSG00000002745","WNT16",0,NA,NA,NA,NA
"ENSG00000002746","HECW1",0.118963565193638,-1.14593094352724e-07,0.00144269500073355,0.885307676292072,0.963244221886524
"ENSG00000002822","MAD1L1",0,NA,NA,NA,NA
"ENSG00000002834","LASP1",0,NA,NA,NA,NA
"ENSG00000002919","SNX11",0.459428843367272,-1.75875208935954e-07,0.00144269501638981,0.581426916945539,0.963244221886524
"ENSG00000002933","TMEM176A",0,NA,NA,NA,NA
"ENSG00000003056","M6PR",0.221501712979997,-1.4916423862705e-07,0.00144269500524497,0.745100082318049,0.963244221886524
"ENSG00000003096","KLHL13",0,NA,NA,NA,NA
"ENSG00000003137","CYP26B1",0.285021731064379,1.6301148293184e-07,0.00144269501000155,0.626404724138123,0.963244221886524
"ENSG00000003147","ICA1",0.594817825968189,-1.83219127287574e-07,0.00144269502079682,0.518609891195289,0.963244221886524
"ENSG00000003249","DBNDD1",0.951708521549103,-5.43438858474879e-07,0.00144269507146838,0.391453728738881,0.963244221886524
"ENSG00000003393","ALS2",1.13560627306932,2.35301026442805e-07,0.00144269492398582,0.546887547687325,0.963244221886524
"ENSG00000003400","CASP10",0.77344493619261,1.38953242346835e-07,0.00144269490416672,0.695863342645395,0.963244221886524
"ENSG00000003402","CFLAR",1.66254937054645,3.08851196075405e-08,0.00144269480360315,0.94200233085764,0.967822727930293
"ENSG00000003436","TFPI",0.731283648071458,1.91540464933547e-07,0.00144269502458631,0.418307654869781,0.963244221886524
"ENSG00000003509","NDUFAF7",0.365641824035729,1.72234854412738e-07,0.00144269501334238,0.58287252199723,0.963244221886524
"ENSG00000003756","RBM5",2.33921321541122,4.4990660943792e-07,0.00144269503902068,0.0778233059773087,0.963244221886524
