group,length_category,n_replicates,mean_tpm,std_tpm,stderr_tpm
gag:PABP,0-499nt,3,117.81447301047656,2.6865293433262463,17.860279928220933
gag:PABP,500-999nt,3,64.89475401393254,0.34100063732058683,4.335059201878328
gag:PABP,1000-1499nt,3,51.1089628534064,0.20524773631945512,4.495631950299003
gag:PABP,1500-1999nt,3,25.728194977732894,0.32990175157723867,1.8980393668491244
gag:PABP,2000-2499nt,3,16.715044095188563,0.36006929790831127,0.9486899994799503
gag:PABP,2500-2999nt,3,13.634209498900546,0.2769666211907674,0.9593966761284195
gag:PABP,3000-3499nt,3,12.031729151602525,0.26400386671568105,0.8970953143883249
gag:PABP,3500-3999nt,3,9.347627667907808,0.2296561400262883,0.6469451698966413
gag:PABP,4000-4499nt,3,10.259339921953677,0.26413690067877654,0.9501406765985495
gag:PABP,4500-4999nt,3,7.839567532851945,0.17901395192066843,0.7087810750414588
gag:PABP,5000nt+,3,5.305852433627114,0.1439301270258911,0.21193208248221787
Reference,0-499nt,3,125.95737696228558,4.200971153344193,24.868994528645533
Reference,500-999nt,3,59.105130390966934,0.22588504561027203,4.244612299812057
Reference,1000-1499nt,3,45.797236284650545,0.8644560552406051,3.0193834911076487
Reference,1500-1999nt,3,29.016260486174243,0.35842304926277463,1.9215120080308175
Reference,2000-2499nt,3,20.625501274232473,0.5185154480088703,0.9902420885043456
Reference,2500-2999nt,3,15.887119132350827,0.2237005580109421,0.7242625640585514
Reference,3000-3499nt,3,15.70915548634433,0.38291715665746157,1.6062841589670231
Reference,3500-3999nt,3,11.982973507525168,0.07671717510853669,0.590335472982182
Reference,4000-4499nt,3,10.068486199530224,0.20600620225235283,0.4327811427061934
Reference,4500-4999nt,3,8.251590903576586,0.2876609257094467,0.3786562016442884
Reference,5000nt+,3,5.588166518726645,0.4217121241231503,0.12872060480146227
