group,length_category,n_replicates,mean_tpm,std_tpm,stderr_tpm
gag:PABP,0-499nt,3,24.616699932251763,1.3479409623985985,2.605689919325975
gag:PABP,500-999nt,3,23.450034886556892,0.4025360152553288,1.145498799884936
gag:PABP,1000-1499nt,3,27.59352144704465,0.28245206101755405,1.7041042850506696
gag:PABP,1500-1999nt,3,20.003447272862253,0.22520165258073668,1.210256125728587
gag:PABP,2000-2499nt,3,17.015695771220212,0.5424251543183898,0.7602808548562212
gag:PABP,2500-2999nt,3,14.564987813032415,0.5151495452036088,0.7675780910542289
gag:PABP,3000-3499nt,3,14.231986476273908,0.5458515753709077,0.8871774906187193
gag:PABP,3500-3999nt,3,13.43080717431352,0.5453949136053552,0.7958974187714718
gag:PABP,4000-4499nt,3,15.193395625,0.723035422808645,1.1409894488724828
gag:PABP,4500-4999nt,3,12.354906537102474,0.5873665371350997,0.9100530894785653
gag:PABP,5000nt+,3,11.94416135590496,0.683941054496085,0.3822242065274403
reference,0-499nt,3,127.62963233310802,6.502512460164222,49.90822424473024
reference,500-999nt,3,10.47354912502812,0.8866913082923192,0.6999321617910782
reference,1000-1499nt,3,10.920093163115169,0.617667292426879,0.8474841422634958
reference,1500-1999nt,3,9.813640511304582,0.7370712808530253,0.9265544312695843
reference,2000-2499nt,3,7.493669567709659,0.6639654153667341,0.29443719772670546
reference,2500-2999nt,3,7.192560738466644,0.6607236148348264,0.40149501926768844
reference,3000-3499nt,3,7.395072362534677,0.597866433450739,0.6586367545545875
reference,3500-3999nt,3,6.624633007125478,0.7566686221108563,0.28681419802822644
reference,4000-4499nt,3,6.183455112794612,0.7946959181187145,0.2617598112132677
reference,4500-4999nt,3,5.654982204946997,0.6994318038422161,0.25482709073298004
reference,5000nt+,3,4.962098747519216,0.8002515199146006,0.11988007007730929
gag,0-499nt,3,42.980136612813574,2.79156186060173,16.605549754581375
gag,500-999nt,3,14.335090115355198,0.34405800963688365,0.7116935358286467
gag,1000-1499nt,3,20.38633570941147,0.45621023757780005,1.5969810902527548
gag,1500-1999nt,3,19.255208857798475,0.44061803595043364,1.4623559562959922
gag,2000-2499nt,3,17.505321234376325,0.3592595120820342,0.8761955229248043
gag,2500-2999nt,3,16.951202311096363,0.33390018508501984,0.9818274028015356
gag,3000-3499nt,3,18.751387956197984,0.32149144561646,1.3177829217529646
gag,3500-3999nt,3,20.145604484011127,0.3616833155200428,1.4582666309419186
gag,4000-4499nt,3,21.19851689351852,0.423642263883508,1.5998438334616765
gag,4500-4999nt,3,18.32876098468787,0.3732790534450275,1.291986849617683
gag,5000nt+,3,20.04282461809923,0.37925690080327207,0.6227331886033723
