"Gene","X25L007993","X25L007994","X25L007995","X25L008005","X25L008006","X25L008007"
"ENSMUSG00000000001",33.9109351707989,0,0,1.88460011012175,89.1408490169698,21.255757190608
"ENSMUSG00000000056",0,10.6266206155056,19.7084867493051,13.1922007708523,0,63.0816019850303
"ENSMUSG00000000078",590.80384830903,272.749929131311,113.966466854677,201.652211783027,71.3126792135758,170.046057524864
"ENSMUSG00000000085",10.3616746355219,0,0,0,0,47.3112014887727
"ENSMUSG00000000088",127.731189143343,0,138.816297973366,11.3076006607305,0,12.3420525622885
"ENSMUSG00000000126",0,0,0,0,12.9659416751956,0
"ENSMUSG00000000127",0,0,0,0,0,17.1417396698452
"ENSMUSG00000000131",0,0,0,0,0,4.79968710755665
"ENSMUSG00000000134",155.801907701393,301.087584105993,0,14.1345008259131,71.3126792135758,32.9121401661028
"ENSMUSG00000000142",0,0,0,0,9.7244562563967,14.39906132267
"ENSMUSG00000000149",0,0,17.1378145646131,2.82690016518263,0,2.05700876038142
"ENSMUSG00000000168",60.4745010545914,0,7.7120165540759,0.942300055060875,4.86222812819835,0
"ENSMUSG00000000171",79.8790917356597,49.590896205693,532.986032959468,55.5957032485916,236.62843557232,82.2803504152569
"ENSMUSG00000000184",0.565182252846649,3.54220687183521,2.57067218469197,77.2686045149918,35.6563396067879,13.7133917358761
"ENSMUSG00000000194",0.376788168564433,0,3.42756291292262,0,0,10.9707133887009
"ENSMUSG00000000202",0,0,5.99823509761459,0,21.0696552221928,0
"ENSMUSG00000000223",0,0,0,2.82690016518263,0,0
"ENSMUSG00000000247",4.89824619133762,113.350619898727,5.99823509761459,2.82690016518263,6.4829708375978,25.3697747113709
"ENSMUSG00000000253",0,10.6266206155056,7.7120165540759,10.3653006056696,11.3451989657962,0
"ENSMUSG00000000266",0,0,0,2.82690016518263,0,0
"ENSMUSG00000000276",0,0,0,23.5575013765219,0,28.1124530585461
"ENSMUSG00000000278",0,0,0,0,0,13.0277221490823
"ENSMUSG00000000282",352.296937607744,0,313.62200653242,26.3844015417045,0,77.4806633077002
"ENSMUSG00000000295",1.1303645056933,0,191.943523123667,0,72.9334219229753,8.22803504152569
"ENSMUSG00000000296",2.44912309566881,0,0,0,0,0
"ENSMUSG00000000301",0,0,5.99823509761459,0,16.2074270939945,0
"ENSMUSG00000000305",1.88394084282216,0,0.856890728230655,2.82690016518263,12.9659416751956,3.42834793396904
"ENSMUSG00000000308",0,0,0,0,35.6563396067879,37.0261576868656
"ENSMUSG00000000317",4.89824619133762,0,6.85512582584524,0,0,0
"ENSMUSG00000000326",55.1994666946894,166.483722976255,23.9929403904584,322.266618830819,68.0711937947769,64.4529411586179
"ENSMUSG00000000339",72.1549342800888,219.616826053783,7.7120165540759,59.3649034688351,126.417931333157,95.3080725643392
"ENSMUSG00000000340",0,0,0,8.48070049554788,0,0
"ENSMUSG00000000346",5.8402166127487,3.54220687183521,194.514195308359,13.1922007708523,19.4489125127934,139.876595705937
"ENSMUSG00000000355",4.52145802277319,0,10.2826887387679,2.82690016518263,0,9.5993742151133
"ENSMUSG00000000374",0,0,2.57067218469197,36.7497021473741,0,127.534543143648
"ENSMUSG00000000378",133.194617587527,10.6266206155056,372.747466780335,308.132118004906,16.2074270939945,149.47596992105
"ENSMUSG00000000384",8.85452196126417,0,17.1378145646131,25.4421014866436,35.6563396067879,8.22803504152569
"ENSMUSG00000000392",0,0,0,0,0,11.6563829754947
"ENSMUSG00000000399",0,0,17.9947052928438,10.3653006056696,0,0
"ENSMUSG00000000409",0,92.0973786677155,0,22.615201321461,0,0
"ENSMUSG00000000416",0,0,0,0,0,4.79968710755665
"ENSMUSG00000000420",0.376788168564433,0,0,28.2690016518263,1.62074270939945,30.1694618189275
"ENSMUSG00000000439",0,0,91.6873079206801,48.0573028081046,81.0371354699725,147.418961160669
"ENSMUSG00000000440",0,0,0,0,1.62074270939945,0
"ENSMUSG00000000441",0.941970421411081,0,18.8515960210744,7.538400440487,0,2.74267834717523
"ENSMUSG00000000489",23.3608664509948,0,0,0,0,61.7102628114427
"ENSMUSG00000000531",28.4475067266147,0,228.789824437585,47.1150027530438,8.10371354699725,115.878160168153
"ENSMUSG00000000532",0.565182252846649,0,0,17.9037010461566,0,4.11401752076284
"ENSMUSG00000000538",0.376788168564433,0,17.1378145646131,15.076800880974,0,4.79968710755665
"ENSMUSG00000000552",0,0,0,3.7692002202435,0,0
"ENSMUSG00000000560",0.941970421411081,10.6266206155056,0,10.3653006056696,6.4829708375978,40.4545056208346
"ENSMUSG00000000561",8.85452196126417,7.08441374367042,10.2826887387679,16.0191009360349,29.1733687691901,7.54236545473188
"ENSMUSG00000000563",1.1303645056933,92.0973786677155,0,0.942300055060875,0,69.2526282661745
"ENSMUSG00000000567",0,0,0,9.42300055060875,0,13.7133917358761
"ENSMUSG00000000568",4.52145802277319,0,0.856890728230655,0,17.828169803394,17.1417396698452
"ENSMUSG00000000579",51.431585009045,7.08441374367042,5.99823509761459,8.48070049554788,4.86222812819835,8.22803504152569
"ENSMUSG00000000581",0.565182252846649,0,0,0,12.9659416751956,16.4560700830514
"ENSMUSG00000000594",0,0,0,0,0,1.37133917358761
"ENSMUSG00000000605",19.7813788496327,0,0.856890728230655,23.5575013765219,72.9334219229753,28.1124530585461
"ENSMUSG00000000627",2.2607290113866,0,0,0,0,0
"ENSMUSG00000000631",51.0547968404806,0,5.14134436938393,1.88460011012175,0,13.7133917358761
"ENSMUSG00000000632",0,0,0,0,0,40.4545056208346
"ENSMUSG00000000693",0,0,0,0,0,2.05700876038142
"ENSMUSG00000000711",13.7527681526018,0,0,6.59610038542613,43.7600531537852,13.7133917358761
"ENSMUSG00000000738",0,0,0,0,14.5866843845951,0
"ENSMUSG00000000739",1.1303645056933,0,0.856890728230655,0,0,0
"ENSMUSG00000000740",122.832942952005,38.9642755901873,253.639655556274,105.537606166818,81.0371354699725,85.7086983492259
"ENSMUSG00000000743",61.9816537288492,120.435033642397,184.231506569591,404.246723621116,69.6919365041764,94.6224029775454
"ENSMUSG00000000759",0,0,0,12.2499007157914,16.2074270939945,0
"ENSMUSG00000000776",0,0,2.57067218469197,0,0,4.79968710755665
"ENSMUSG00000000787",72.1549342800888,0,17.1378145646131,19.7883011562784,14.5866843845951,16.4560700830514
"ENSMUSG00000000792",0,0,0.856890728230655,2.82690016518263,0,0
"ENSMUSG00000000794",0,0,0,30.153601761948,0,0
"ENSMUSG00000000804",2.2607290113866,0,8.56890728230655,65.0187037992004,176.66095532454,0
"ENSMUSG00000000805",0,0,81.4046191819123,15.076800880974,77.7956500511736,72.6809762001436
"ENSMUSG00000000811",4.14466985420876,24.7954481028465,0,41.4612024226785,1.62074270939945,0
"ENSMUSG00000000823",0.188394084282216,0,0,31.0959018170089,4.86222812819835,17.827409256639
"ENSMUSG00000000826",560.095612571029,223.159032925618,49.699662237378,440.99642576849,277.147003307306,144.676282813493
"ENSMUSG00000000827",0.941970421411081,0,1.71378145646131,4.71150027530438,1.62074270939945,37.0261576868656
"ENSMUSG00000000838",1.69554675853995,0,4.28445364115328,4.71150027530438,0,0
"ENSMUSG00000000861",29.0126889794613,155.857102360749,80.5477284536816,31.0959018170089,48.6222812819835,62.3959323982365
"ENSMUSG00000000876",3.39109351707989,0,4.28445364115328,0,27.5526260597907,1.37133917358761
"ENSMUSG00000000881",20.1581670181971,0,0,2.82690016518263,32.414854187989,9.5993742151133
"ENSMUSG00000000884",42.5770630477809,0,0,2.82690016518263,0,0
"ENSMUSG00000000901",0.188394084282216,0,0,0,0,0
"ENSMUSG00000000902",0,0,0,3.7692002202435,0,0
"ENSMUSG00000000915",243.781945061188,70.8441374367042,220.220917155278,75.38400440487,56.7259948289808,21.255757190608
"ENSMUSG00000000916",76.4879982185798,0,5.14134436938393,0.942300055060875,1.62074270939945,1.37133917358761
"ENSMUSG00000000934",0,0,4.28445364115328,13.1922007708523,9.7244562563967,2.05700876038142
"ENSMUSG00000000948",14.3179504054484,0,12.8533609234598,1.88460011012175,17.828169803394,4.79968710755665
"ENSMUSG00000000957",0,0,4.28445364115328,0,0,0
"ENSMUSG00000000959",0,0,0,0,0,23.9984355377833
"ENSMUSG00000000976",5.65182252846649,0,0,0,0,65.8242803322055
"ENSMUSG00000001016",2.2607290113866,0,1.71378145646131,0.942300055060875,6.4829708375978,0
"ENSMUSG00000001017",2.44912309566881,0,20.5653774775357,23.5575013765219,95.6238198545676,71.9953066133498
"ENSMUSG00000001018",34.6645115079278,0,0.856890728230655,82.922404845357,22.6903979315923,0
"ENSMUSG00000001034",0,0,3.42756291292262,0,11.3451989657962,0
"ENSMUSG00000001036",13.3759799840374,0,0,10.3653006056696,0,39.083166447247
"ENSMUSG00000001039",0,0,0,21.6729012664001,0,0
"ENSMUSG00000001052",0.565182252846649,0,0,0,3.2414854187989,5.48535669435046
"ENSMUSG00000001053",0,0,0,6.59610038542613,0,0.685669586793807
"ENSMUSG00000001056",691.594683400016,294.003170362323,766.060311038206,338.285719766854,194.489125127934,189.244805955091
"ENSMUSG00000001062",1.31875858997551,0,1.71378145646131,4.71150027530438,87.5201063075703,11.6563829754947
"ENSMUSG00000001065",0,0,5.14134436938393,0,0,0
"ENSMUSG00000001089",2.63751717995103,0,0,0.942300055060875,64.829708375978,27.4267834717523
"ENSMUSG00000001098",148.266144330104,0,12.8533609234598,17.9037010461566,4.86222812819835,13.7133917358761
"ENSMUSG00000001100",48.4172796605296,155.857102360749,0,111.191406497183,304.699629367097,254.383416700502
"ENSMUSG00000001105",59.5325306331804,0,148.242095983903,43.3458025328003,45.3807958631846,19.8844180170204
"ENSMUSG00000001120",16.9554675853995,0,0,1.88460011012175,4.86222812819835,11.6563829754947
"ENSMUSG00000001127",0.565182252846649,0,0,60.307203523896,32.414854187989,2.74267834717523
"ENSMUSG00000001138",0,0,0,0,11.3451989657962,10.9707133887009
"ENSMUSG00000001143",0,0,0,0.942300055060875,27.5526260597907,7.54236545473188
"ENSMUSG00000001157",1.50715267425773,0,0,0.942300055060875,0,8.9137046283195
"ENSMUSG00000001158",6.02861069703092,0,12.8533609234598,23.5575013765219,0,20.5700876038142
