sample_id,sample_label,species,rpm_sum,fraction,percent
24L010910,HEK-1,Human,906548.782796955,0.9065487827969548,90.65487827969548
24L010910,HEK-1,Mouse,93451.21720304512,0.09345121720304511,9.345121720304512
24L010911,HEK-2,Human,968086.1734684266,0.9680861734684264,96.80861734684264
24L010911,HEK-2,Mouse,31913.826531573523,0.03191382653157352,3.191382653157352
24L010912,HEK-3,Human,970415.0343963394,0.9704150343963395,97.04150343963394
24L010912,HEK-3,Mouse,29584.96560366051,0.029584965603660508,2.9584965603660507
24L010907,N2a-1,Human,71717.27387930098,0.07171727387930098,7.171727387930098
24L010907,N2a-1,Mouse,928282.7261206991,0.9282827261206991,92.82827261206991
24L010908,N2a-2,Human,73631.05610023215,0.07363105610023214,7.363105610023214
24L010908,N2a-2,Mouse,926368.9438997679,0.9263689438997679,92.63689438997679
24L010909,N2a-3,Human,109289.64860855875,0.10928964860855875,10.928964860855874
24L010909,N2a-3,Mouse,890710.3513914413,0.8907103513914413,89.07103513914413
