panel,stem,n_replicates,bin_center,mean_density,se_density,ci95_lower,ci95_upper
a,suppl6a_ipsc_export_ratio,3,-2.1557901746336907,0.02606547593847554,0.013404579099839622,-0.0002074990972101183,0.052338450974161205
a,suppl6a_ipsc_export_ratio,3,-2.099079650572224,0.03215930877709689,0.014113428177150653,0.004496989549881612,0.05982162800431217
a,suppl6a_ipsc_export_ratio,3,-2.0423691265107564,0.046672817913018395,0.004259671310328873,0.038323862144773804,0.055021773681262987
a,suppl6a_ipsc_export_ratio,3,-1.9856586024492895,0.05968079810470672,0.0163893291316397,0.027557713006692908,0.09180388320272054
a,suppl6a_ipsc_export_ratio,3,-1.9289480783878226,0.03982622060228045,0.005744690896796204,0.02856662644455989,0.051085814760001014
a,suppl6a_ipsc_export_ratio,3,-1.8722375543263556,0.0658269199920017,0.023094302462116186,0.020562087166253976,0.11109175281774943
a,suppl6a_ipsc_export_ratio,3,-1.8155270302648885,0.06412428790793172,0.01575907980651136,0.03323649148716945,0.09501208432869399
a,suppl6a_ipsc_export_ratio,3,-1.7588165062034213,0.07883212669011536,0.01066731550918194,0.057924188292118754,0.09974006508811195
a,suppl6a_ipsc_export_ratio,3,-1.7021059821419544,0.07821446230265527,0.008702090949919937,0.061158364040812194,0.09527056056449835
a,suppl6a_ipsc_export_ratio,3,-1.6453954580804875,0.0815729844092704,0.006534120840885242,0.06876610756113533,0.09437986125740547
a,suppl6a_ipsc_export_ratio,3,-1.5886849340190206,0.13008076099744123,0.018885492405011577,0.09306519588361854,0.1670963261112639
a,suppl6a_ipsc_export_ratio,3,-1.5319744099575532,0.12303428705329233,0.015546452303282839,0.09256324053885798,0.1535053335677267
a,suppl6a_ipsc_export_ratio,3,-1.4752638858960863,0.18311483842482076,0.019673266941776024,0.14455523521893976,0.22167444163070177
a,suppl6a_ipsc_export_ratio,3,-1.4185533618346193,0.13187175110464316,0.03162108444791556,0.06989442558672868,0.19384907662255765
a,suppl6a_ipsc_export_ratio,3,-1.3618428377731524,0.16811876498609435,0.03791377725064608,0.09380776157482802,0.2424297683973607
a,suppl6a_ipsc_export_ratio,3,-1.305132313711685,0.17750356988900254,0.01767829893173923,0.14285410398279363,0.21215303579521144
a,suppl6a_ipsc_export_ratio,3,-1.248421789650218,0.20213384041914736,0.02927142776066087,0.14476184200825207,0.2595058388300427
a,suppl6a_ipsc_export_ratio,3,-1.1917112655887512,0.26495524950983,0.03676873489650182,0.19288852911268645,0.3370219699069736
a,suppl6a_ipsc_export_ratio,3,-1.1350007415272843,0.2232732622515932,0.04020817578481963,0.1444652377133467,0.3020812867898397
a,suppl6a_ipsc_export_ratio,3,-1.078290217465817,0.2550536257426727,0.012168231895089497,0.2312038912282973,0.2789033602570481
a,suppl6a_ipsc_export_ratio,3,-1.02157969340435,0.3348328465511661,0.039192425023120515,0.25801569350584985,0.4116499995964823
a,suppl6a_ipsc_export_ratio,3,-0.964869169342883,0.32114242542326504,0.02077859109752955,0.2804163868721071,0.36186846397442296
a,suppl6a_ipsc_export_ratio,3,-0.908158645281416,0.2971117847933515,0.03870854001741123,0.22124304635922548,0.3729805232274775
a,suppl6a_ipsc_export_ratio,3,-0.851448121219949,0.3244829130426515,0.044306521118576754,0.23764213165024103,0.4113236944350619
a,suppl6a_ipsc_export_ratio,3,-0.7947375971584819,0.37320860075146056,0.038712760884817725,0.2973315894172178,0.4490856120857033
a,suppl6a_ipsc_export_ratio,3,-0.7380270730970149,0.47523579256339055,0.0487266741041896,0.3797315113191789,0.5707400738076022
a,suppl6a_ipsc_export_ratio,3,-0.6813165490355478,0.4180492334829009,0.03113631478976077,0.3570220564949698,0.479076410470832
a,suppl6a_ipsc_export_ratio,3,-0.6246060249740808,0.407423552817925,0.040676389002281564,0.3276978303734532,0.4871492752623969
a,suppl6a_ipsc_export_ratio,3,-0.5678955009126138,0.5087988256809458,0.044525421331872254,0.4215289998704762,0.5960686514914154
a,suppl6a_ipsc_export_ratio,3,-0.5111849768511467,0.4967957756434613,0.04852130292457507,0.4016940219112941,0.5918975293756285
a,suppl6a_ipsc_export_ratio,3,-0.4544744527896797,0.5163126029342441,0.031665448878306725,0.4542483231327629,0.5783768827357253
a,suppl6a_ipsc_export_ratio,3,-0.39776392872821265,0.4564814437512285,0.054257670664480874,0.350136409248846,0.562826478253611
a,suppl6a_ipsc_export_ratio,3,-0.3410534046667457,0.5453035522316326,0.06726258245805833,0.4134688906138383,0.677138213849427
a,suppl6a_ipsc_export_ratio,3,-0.2843428806052787,0.5441690689799209,0.007925251312549909,0.5286355764073231,0.5597025615525187
a,suppl6a_ipsc_export_ratio,3,-0.22763235654381164,0.6116986210559955,0.03971259755212696,0.5338619298538266,0.6895353122581643
a,suppl6a_ipsc_export_ratio,3,-0.17092183248234472,0.5873098431208675,0.05520531399142025,0.47910742769768383,0.6955122585440512
a,suppl6a_ipsc_export_ratio,3,-0.11421130842087757,0.5594533770751863,0.03704727930766139,0.48684070963216997,0.6320660445182026
a,suppl6a_ipsc_export_ratio,3,-0.05750078435941042,0.5753109601027385,0.018351994686725902,0.5393410505167557,0.6112808696887213
a,suppl6a_ipsc_export_ratio,3,-0.0007902602979434903,0.4919761140477923,0.03948265358946718,0.41459011301243665,0.5693621150831479
a,suppl6a_ipsc_export_ratio,3,0.05592026376352344,0.522497567289573,0.032459778447978274,0.4588764015315355,0.5861187330476104
