"Gene","GeneName","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003","TSPAN6",0.605754095983041,1.4665750584625e-07,0.00144269477621096,0.826172080248468,0.998897184046451
"ENSG00000000005","TNMD",0,NA,NA,NA,NA
"ENSG00000000419","DPM1",0.643875538191506,1.24772526628808e-07,0.00144269476405054,0.760107020304261,0.998897184046451
"ENSG00000000457","SCYL3",0.420692866261056,-3.34665337250293e-07,0.00144269490062153,0.575514113108941,0.998897184046451
"ENSG00000000460","C1orf112",0,NA,NA,NA,NA
"ENSG00000000938","FGR",0,NA,NA,NA,NA
"ENSG00000000971","CFH",0,NA,NA,NA,NA
"ENSG00000001036","FUCA2",0,NA,NA,NA,NA
"ENSG00000001084","GCLC",0.367363194256746,4.15249182548829e-08,0.00144269489822653,0.988809739790084,0.998897184046451
"ENSG00000001167","NFYA",1.18181017956674,4.75458859584373e-07,0.00144269504165383,0.136564039950424,0.998897184046451
"ENSG00000001460","STPG1",0.168575607208309,-9.57566072132133e-08,0.0014426949231833,0.986624334616121,0.998897184046451
"ENSG00000001461","NIPAL3",0.655377052942261,4.85247147927154e-07,0.00144269464745927,0.454078412036403,0.998897184046451
"ENSG00000001497","LAS1L",0.335307597093596,-2.59957627638141e-07,0.00144269499817522,0.611241318975178,0.998897184046451
"ENSG00000001561","ENPP4",0,NA,NA,NA,NA
"ENSG00000001617","SEMA3F",0.123938221070237,-4.50436400335098e-08,0.00144269491770446,0.987962448385481,0.998897184046451
"ENSG00000001626","CFTR",0,NA,NA,NA,NA
"ENSG00000001629","ANKIB1",0.288152480832514,-2.83109623647827e-07,0.00144269499966525,0.585751659518467,0.998897184046451
"ENSG00000001630","CYP51A1",0.0276866025924212,-1.35367752857258e-07,0.00144269498697642,0.981947476262323,0.998897184046451
"ENSG00000001631","KRIT1",1.04704443152228,-3.25909055154688e-07,0.00144269471844505,0.580230715601667,0.998897184046451
"ENSG00000002016","RAD52",0,NA,NA,NA,NA
"ENSG00000002330","BAD",2.14898179918863,-5.56282371197502e-07,0.00144269411340632,0.525581922761675,0.998897184046451
"ENSG00000002549","LAP3",0.648078314533989,-3.84497758469115e-07,0.00144269501026861,NA,NA
"ENSG00000002586","CD99",0.930584942391697,3.65737661149186e-07,0.00144269474917805,0.502853278867438,0.998897184046451
"ENSG00000002587","HS3ST1",0.116919172502168,-2.15388377359425e-07,0.00144269498280862,0.792011220914871,0.998897184046451
"ENSG00000002726","AOC1",0,NA,NA,NA,NA
"ENSG00000002745","WNT16",0,NA,NA,NA,NA
"ENSG00000002746","HECW1",0,NA,NA,NA,NA
"ENSG00000002822","MAD1L1",0,NA,NA,NA,NA
"ENSG00000002834","LASP1",0.0779461150014454,-1.86895464302787e-07,0.00144269498082039,0.874067871447488,0.998897184046451
"ENSG00000002919","SNX11",0.834070335381068,6.91253034424074e-07,0.0014426949413628,0.146945170163545,0.998897184046451
"ENSG00000002933","TMEM176A",0,NA,NA,NA,NA
"ENSG00000003056","M6PR",0.103173269125921,-1.47515139171109e-08,0.00144269491775074,0.935680934767901,0.998897184046451
"ENSG00000003096","KLHL13",0,NA,NA,NA,NA
"ENSG00000003137","CYP26B1",0.251501543963766,-1.10750838964546e-07,0.00144269492290047,0.932469178736749,0.998897184046451
"ENSG00000003147","ICA1",0.0653236626141478,1.8013795988724e-07,0.00144269498330134,0.73093236548484,0.998897184046451
"ENSG00000003249","DBNDD1",0.794525300219577,-4.40228836403831e-07,0.0014426949328403,0.32503699022202,0.998897184046451
"ENSG00000003393","ALS2",1.15222113396237,-1.78214779678447e-07,0.00144269452781465,0.791099449914163,0.998897184046451
"ENSG00000003400","CASP10",0.5102081676575,-3.40676869014844e-07,0.00144269476549407,0.670976395071569,0.998897184046451
"ENSG00000003402","CFLAR",2.1460743807319,-2.47065850408654e-07,0.00144269378666717,0.799312988867939,0.998897184046451
"ENSG00000003436","TFPI",0.627229002258122,-3.7965110461963e-07,0.00144269493769796,0.430085534064853,0.998897184046451
"ENSG00000003509","NDUFAF7",0.417898969104764,-3.16497525643402e-07,0.00144269489092685,0.614094148266503,0.998897184046451
"ENSG00000003756","RBM5",2.85168813962391,-4.13184618510465e-08,0.00144269486872575,0.900634708532437,0.998897184046451
"ENSG00000003987","MTMR7",0,NA,NA,NA,NA
"ENSG00000003989","SLC7A2",1.15261787352097,9.76272168606076e-07,0.00144269503674736,0.0335999657655126,0.998897184046451
"ENSG00000004059","ARF5",6.36678997887733,-1.45771645485124e-06,0.00144269269058034,0.293663682585201,0.998897184046451
"ENSG00000004139","SARM1",0,NA,NA,NA,NA
"ENSG00000004142","POLDIP2",0.152096784055949,1.19112511796665e-07,0.00144269492666593,0.746656835619583,0.998897184046451
"ENSG00000004399","PLXND1",0.694746207475134,3.24006686066481e-07,0.00144269502283602,0.29238747690905,0.998897184046451
"ENSG00000004455","AK2",1.323183080596,5.86632207060154e-07,0.00144269459000408,0.359149346162619,0.998897184046451
"ENSG00000004468","CD38",0.0393075061890694,1.56872260895207e-07,0.00144269498250814,0.756552931852444,0.998897184046451
"ENSG00000004478","FKBP4",1.30996012278188,3.77607133025128e-07,0.00144269474087607,0.450465166363844,0.998897184046451
"ENSG00000004487","KDM1A",2.34299888483374,1.51145320557749e-07,0.00144269417453228,0.843365938154895,0.998897184046451
"ENSG00000004534","RBM6",0.230173313265038,1.83567358165859e-07,0.00144269493946225,0.640434400697627,0.998897184046451
"ENSG00000004660","CAMKK1",0.24623011760437,-2.61032622316492e-07,0.00144269499225,0.750743991755415,0.998897184046451
"ENSG00000004700","RECQL",0.296580485017697,-4.53873217354912e-09,0.00144269488616383,0.956626070957845,0.998897184046451
"ENSG00000004766","VPS50",0.0867731214418015,2.68484810882051e-08,0.00144269492820776,0.86994305408233,0.998897184046451
"ENSG00000004776","HSPB6",0,NA,NA,NA,NA
"ENSG00000004777","ARHGAP33",0,NA,NA,NA,NA
"ENSG00000004779","NDUFAB1",1.08925771358001,-5.66509117145568e-07,0.00144269465932545,0.393044605857397,0.998897184046451
"ENSG00000004799","PDK4",0,NA,NA,NA,NA
"ENSG00000004809","SLC22A16",0.133137072721053,-1.89501753947466e-07,0.00144269498570509,0.996519905600506,0.998897184046451
"ENSG00000004838","ZMYND10",0,NA,NA,NA,NA
"ENSG00000004846","ABCB5",0.186699329946565,1.10927091774092e-07,0.0014426949366192,0.862561502761764,0.998897184046451
"ENSG00000004848","ARX",0.0653236626141478,1.8013795988724e-07,0.00144269498330134,0.73093236548484,0.998897184046451
"ENSG00000004864","SLC25A13",0.235376063886019,2.9822788487831e-08,0.00144269487499189,0.894133759627371,0.998897184046451
"ENSG00000004866","ST7",0,NA,NA,NA,NA
"ENSG00000004897","CDC27",0.287719146618973,-1.36242658360356e-07,0.00144269486984203,0.86598361238114,0.998897184046451
