Sample,Condition,TimePoint,Sample_Num,Replicate
25L007996,Reference,2,3,1
25L007997,Reference,2,3,2
25L007998,Reference,2,3,3
25L008008,Target,3,3,1
25L008009,Target,3,3,2
25L008010,Target,3,3,3
