"Gene","GeneName","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000106588","PSMA2",703.119943764315,0.678956166529803,0.223293189187842,8.29541467736067e-05,0.044090129010172
"ENSG00000132963","POMP",1026.12488364673,0.60418280356055,0.203054304138557,0.000100287482111943,0.0456881114935693
"ENSG00000165502","RPL36AL",952.69120251829,0.725418382335577,0.198489314850543,9.68117115371327e-06,0.0128027675879969
"ENSG00000166710","B2M",822.592187916621,0.928420610620642,0.188892431218486,3.57702277406753e-08,0.000114071256265013
"ENSG00000174460","ZCCHC12",437.30538491331,0.841758777148164,0.242687820423429,1.82756725327709e-05,0.0145702799267516
"ENSG00000184752","NDUFA12",783.251543632685,0.657169615119038,0.197636101529475,3.25558119255123e-05,0.0207640968460917
"ENSG00000197061","H4C3",6009.57372433782,-0.680282804646025,0.186420101468403,1.20439958494797e-05,0.0128027675879969
