sample_num,sample_label,analysis,quantile,rediscovery_rate,auc
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,4.0,100.0,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,6.0,100.0,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,8.0,100.0,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,10.0,99.91197183098592,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,12.0,99.85326485693324,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,14.0,99.87421383647799,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,16.0,99.77985690698954,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,18.0,99.70660146699267,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,20.0,99.6919014084507,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,22.0,99.71988795518207,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,24.0,99.74321349963317,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,26.0,99.62749746020995,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,28.0,99.5913234831814,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,30.0,99.47183098591549,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,32.0,99.4222833562586,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,34.0,99.27498705334024,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,36.0,99.21741257031059,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,38.0,99.11955514365152,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,40.0,98.92165492957746,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,42.0,98.8681618109411,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,44.0,98.79951980792316,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,46.0,98.69856459330143,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,48.0,98.66104181951577,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,50.0,98.41549295774648,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,52.0,98.29016421195192,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,54.0,98.02738832735572,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,56.0,97.90913378399623,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,58.0,97.6775956284153,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,60.0,97.505502567865,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,62.0,97.31648445264803,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,64.0,97.12517193947731,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,66.0,96.95878351340536,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,68.0,96.71154842050751,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,70.0,96.49100742045026,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,72.0,96.22157006603082,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,74.0,95.9076849869141,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,76.0,95.60986910691533,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,78.0,95.3273137697517,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,80.0,95.1249037085947,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,82.0,94.79278505475628,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,84.0,94.4875288199539,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,86.0,94.23687173712764,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,88.0,93.87755102040816,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,90.0,93.41680524307932,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,92.0,93.14832535885168,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,94.0,92.83506602978365,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,96.0,92.41632278771206,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,98.0,92.05892921307941,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,Lysate→SN_top,100.0,91.61898054406198,9551.308070349161
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,2.0,40.65040650406504,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,4.0,43.08943089430895,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,6.0,42.81842818428184,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,8.0,47.15447154471545,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,10.0,47.35557363710334,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,12.0,47.25423728813559,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,14.0,48.28588030214991,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,16.0,49.008642602948655,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,18.0,50.61003163126977,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,20.0,51.56567710451403,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,22.0,52.64325323475047,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,24.0,53.913927482209424,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,26.0,54.943679599499376,6405.464167127613
1,NTVE$_{\mathrm{PABP}}$,SN→Lysate_bottom,28.0,56.042998256827424,6405.464167127613
