Condition,Input_ng
NTVE,1.3148761832639153
NTVE,2.366210041841004
NTVE,1.7419073226544621
HIV-gag WT,1.7635402843601893
HIV-gag WT,2.9652468239564427
HIV-gag WT,1.0749800295857987
TRACE-seq,0.008496153279626545
TRACE-seq,0.008876779184247539
TRACE-seq,0.007234432601378426
MMLV-gag WT,0.49188767720828785
MMLV-gag WT,3.5064209354120273
MMLV-gag WT,1.499607142857143
HIV-gag:MCP,0.21869072894550604
HIV-gag:MCP,2.5088653846153846
HIV-gag:MCP,0.30588063288604045
