GeneID,baseMean_lysate,log2FoldChange_lysate,lfcSE_lysate,stat_lysate,pvalue_lysate,padj_lysate,baseMean_SN,log2FoldChange_SN,lfcSE_SN,stat_SN,pvalue_SN,padj_SN,log_baseMean_lysate,log_baseMean_SN,gene_name_lysate,gene_name_SN,gene_biotype,baseMean_SN_normalized,baseMean_lysate_normalized,SN_threshold,lysate_threshold,plot_log2fc_lysate,plot_log2fc_sn,plot_threshold_class
ENSG00000130939,1629.03382009658,-0.114209974181518,0.177044127091665,-0.645093266055559,0.51886674745313,0.978649692331437,939.293246837615,0.523470342252153,0.0689884213897557,7.58779997725654,3.2538267994627e-14,8.59010275058152e-12,3.2119301007166463,2.9728011999351063,UBE4B,UBE4B,protein_coding,20.879558204335638,34.51807185135296,True,False,0.114209974181518,-0.523470342252153,NTVE
ENSG00000116205,1444.06694100762,-0.0599740417987406,0.124790505935138,-0.480597793472471,0.630802383987324,0.978649692331437,7076.52329346704,0.311073585170196,0.0321264065840381,9.68280048241535,3.56805812186664e-22,1.76303187354407e-19,3.1595873258072906,3.8498199405551143,TCEANC2,TCEANC2,protein_coding,157.3041012354109,30.598754803573858,True,False,0.0599740417987406,-0.311073585170196,NTVE
ENSG00000143458,591.889773321917,0.0309523223412529,0.184276038205281,0.1679671575464,0.866609116436118,0.992446161794824,3524.91675133368,0.264634659023881,0.039849121879048,6.64091569764356,3.1174031060735595e-11,5.626594504105e-09,2.772240836291792,3.547148864628598,GABPB2,GABPB2,protein_coding,78.35540681538937,12.541724715325842,True,False,-0.0309523223412529,-0.264634659023881,NTVE
ENSG00000168118,3359.83384850356,0.28285885395682,0.122754101604864,2.30427212010659,0.0212073729673245,0.317258657675872,13405.8078684162,0.241499532309224,0.0280278843080045,8.6164024960048,6.90905796810617e-18,2.51974056370849e-15,3.526317801061796,4.127292990808522,RAB4A,RAB4A,protein_coding,297.99782613908974,71.1924975163363,True,False,-0.28285885395682,-0.241499532309224,NTVE
ENSG00000173726,19136.689094317,-0.126089257392303,0.123026975359222,-1.02489114297202,0.305414554221567,0.839935626436573,75265.4862019366,0.21757023478917,0.0350055851093019,6.21530061873915,5.12264814079462e-10,8.05416891683335e-08,4.281866801128922,4.8765958714431745,TOMM20,TOMM20,protein_coding,1673.0771835333323,405.49287621019084,True,False,0.126089257392303,-0.21757023478917,NTVE
ENSG00000143641,4949.47498312415,-0.195683163053449,0.158541569320266,-1.23427038026951,0.217102169254881,0.746117371254999,1108.17240396751,0.41325344127586,0.054116168680176,7.63641350366411,2.23356188998317e-14,5.98594586515489e-12,3.6945591334739984,3.0446073310306563,GALNT2,GALNT2,protein_coding,24.63357453806787,104.87586628730915,True,False,0.195683163053449,-0.41325344127586,NTVE
ENSG00000160049,11778.6150866685,-0.275314891968156,0.118578069916286,-2.32180277653805,0.02024355769042,0.312137011428797,64098.1401813995,0.145778068990031,0.0208806312862259,6.98149720627435,2.9205071600593697e-12,5.93769317783104e-10,4.071094229706106,4.8068454285722755,DFFA,DFFA,protein_coding,1424.838146354275,249.58050401123577,True,False,0.275314891968156,-0.145778068990031,NTVE
ENSG00000169914,1094.25404011318,0.0889469185486383,0.176253693176408,0.504652793060136,0.613802722920573,0.978649692331437,1264.34595192004,0.462693360293469,0.0549392437687122,8.42190988724479,3.7039591738161e-17,1.22459121245718e-14,3.039118158753848,3.10186592240593,OTUD3,OTUD3,protein_coding,28.105157768790477,23.186467410492842,True,False,-0.0889469185486383,-0.462693360293469,NTVE
ENSG00000143771,17680.7133708784,0.0075830186725591,0.17677064349599,0.0428974999614749,0.965783241659538,0.999723774146434,6142.47483657274,-0.221055169388591,0.0309198838711376,-7.14928847436379,8.722884799473009e-13,1.97428213782238e-10,4.2474997836853055,3.788343386013333,CNIH4,CNIH4,protein_coding,136.54112951485936,374.6417827488533,True,False,-0.0075830186725591,0.221055169388591,NTVE
ENSG00000090621,4651.95135193604,-0.111560904713014,0.134562451176468,-0.82906415376389,0.40706810626257,0.908731988481078,7856.0545457901,0.235903306352725,0.0323820710683139,7.28499748688275,3.21676299265616e-13,7.688932947851649e-11,3.6676351644192215,3.8952044901624743,PABPC4,PABPC4,protein_coding,174.63230859746363,98.57155145226311,True,False,0.111560904713014,-0.235903306352725,NTVE
ENSG00000116478,5726.88383874645,-0.179774046851323,0.119800622145319,-1.50061029427089,0.133456387192229,0.612387673853087,2765.56150438571,0.311871739754228,0.0425234969799423,7.33410377564512,2.23210094142024e-13,5.371619245148469e-11,3.7579183741901483,3.441783321354563,HDAC1,HDAC1,protein_coding,61.47569206198519,121.34860884501597,True,False,0.179774046851323,-0.311871739754228,NTVE
ENSG00000117226,25.6805885354078,-5.21339181726547,0.500285058478521,-10.4208425354948,1.9918081468222402e-25,2.17152615046981e-22,6.95545080124296,-2.35264620883877,0.797224608388488,-2.95104564520959,0.0031670011112977,0.0694150132052475,1.4096049724634496,0.8423252830193073,GBP3,GBP3,protein_coding,0.15461277969461662,0.544153466499353,False,True,5.21339181726547,2.35264620883877,Lysate
ENSG00000117228,109.266619320276,-6.10587694606339,0.32115225512438,-19.0124056382498,1.3463439368809e-80,5.708199104833509e-77,62.6044548978316,-4.82379108369176,0.310725872576651,-15.5242659508561,2.37708637433701e-54,3.36367230314184e-51,2.038487506330431,1.7966052384613347,GBP1,GBP1,protein_coding,1.391635002477518,2.3152822060060783,True,True,6.10587694606339,4.82379108369176,Both
ENSG00000162645,26.4893778482235,-3.6031606002559,0.548930211495234,-6.56396846958238,5.239428513305139e-11,3.57010916447674e-08,4.28896159267298,-1.77172252511413,0.865488146813032,-2.04707890181756,0.0406503381471157,0.416746990476936,1.4230717582120498,0.6323521571822129,GBP2,GBP2,protein_coding,0.09533936660555725,0.5612911386998747,False,True,3.6031606002559,1.77172252511413,Lysate
ENSG00000137959,56.6571398847965,-0.533092730705715,0.367068511016553,-1.45229763574483,0.146418864595106,0.634999926085131,201.80253237823,-1.04755990357445,0.123241175961674,-8.5000803943986,1.8945943737692502e-17,6.507103938491361e-15,1.7532546470710746,2.3049266118066933,IFI44L,IFI44L,protein_coding,4.485870344282395,1.2005246308020876,True,False,0.533092730705715,1.04755990357445,NTVE
ENSG00000117020,5337.64942862555,-0.0859510658003878,0.154916791855252,-0.554820847830988,0.579017205824506,0.978649692331437,12622.6191376158,0.263804693055089,0.0313564162561997,8.41310087542069,3.99311274117419e-17,1.3079662623312801e-14,3.7273500463692146,4.101149478441792,AKT3,AKT3,protein_coding,280.58831665439766,113.10100761671511,True,False,0.0859510658003878,-0.263804693055089,NTVE
ENSG00000143106,10430.6101264393,0.219366256106057,0.18840270763127,1.16434768302474,0.244283140078917,0.782627055969149,7313.48591504833,-0.21712955798124,0.031707166706642,-6.84796468855591,7.49080482627605e-12,1.4480585329745402e-09,4.01830971272145,3.864124429326542,PSMA5,PSMA5,protein_coding,162.57154552527052,221.01723448352698,True,False,-0.219366256106057,0.21712955798124,NTVE
ENSG00000162458,2248.96066657852,-0.0031380458830908,0.0960370682119601,-0.0326753611029129,0.973933472388169,0.999723774146434,11293.3358160307,0.158435996315266,0.0252737978610104,6.26878465937577,3.63876929629743e-10,5.87785856738894e-08,3.351981859865475,4.052822242413178,FBLIM1,FBLIM1,protein_coding,251.0396654993586,47.653882271898794,True,False,0.0031380458830908,-0.158435996315266,NTVE
ENSG00000179743,869.773082599569,0.858381630878468,0.164566216965273,5.21602578407455,1.82802740877113e-07,8.71923373298612e-05,3302.32217935348,0.321082851499155,0.0455718672318402,7.0456373855759,1.84614454492496e-12,3.88745294174198e-10,2.939405963159896,3.518819441394898,SPEN-AS1,SPEN-AS1,lncRNA,73.40735003197543,18.429875051805073,True,False,-0.858381630878468,-0.321082851499155,NTVE
ENSG00000171865,2736.48276607045,-0.208799767857122,0.104684474809445,-1.99456288276936,0.0460905751992355,0.412890486097631,9947.97784646543,0.398173466220182,0.0313606065482877,12.6966124078975,6.1745043547121e-37,5.90349367708906e-34,3.437192717370147,3.997734809451886,RNASEH1,RNASEH1,protein_coding,221.13369084684288,57.984129963372254,True,False,0.208799767857122,-0.398173466220182,NTVE
ENSG00000067066,59.33159154147,-1.71233482646774,0.258275195278841,-6.62988493579126,3.35948644201261e-11,2.33075061189667e-08,83.6046004757543,-0.702492197364437,0.196565306165888,-3.57383615179568,0.0003517891109154,0.012035678518128,1.773285998234766,1.9222301758392881,SP100,SP100,protein_coding,1.8584474312584116,1.2571943655302178,False,True,1.71233482646774,0.702492197364437,Lysate
