"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000006432",2.46497928614583,-3.86272867807597,2.20911166623379,14.5124887688496,0.00582687422861668,0.0497372748048359
"ENSG00000007168",3.5395477142728,0.42364828613497,0.904146068552716,18.4925992250863,0.000988439633953969,0.0167763932393009
"ENSG00000011523",1.81512435023008,-0.0282030971137963,1.44526748243288,21.2246464486891,0.000285789125308647,0.00753388779271092
"ENSG00000025800",11.9816123097036,-0.596433663106382,1.10078396821618,20.7154150398308,0.000360574873323897,0.00865854306353233
"ENSG00000048544",2.60820941508018,-2.41037568423748,1.68596898302254,15.2893802468287,0.00413716358840221,0.0412566688581671
"ENSG00000053372",7.09315009685419,-6.16003201568239,1.68651395334219,17.9185143038909,0.00128017989716184,0.0193432060071161
"ENSG00000059804",13.7355659350937,-3.51010959679771,1.12087641558214,88.6701754042653,2.5231932634799e-18,1.5631182267258e-15
"ENSG00000065457",2.32958984239816,-3.66984241283981,1.67233654468703,17.4760308883149,0.00156170344673875,0.021741017646172
"ENSG00000067082",2.57450933620132,-1.98191592095313,2.0545111064286,18.8623569744275,0.000836420371582191,0.01556795755915
"ENSG00000070831",7.03477044457389,-1.26805725800177,0.866945061077249,15.9844294211423,0.00304012836310483,0.0345570554301549
"ENSG00000075618",3.04894658436526,-4.08640787946027,1.54140830065322,18.4485814502735,0.00100826485350939,0.0168816236959208
"ENSG00000078237",1.65042381315108,-1.77237197145307,1.79190488310404,16.5384812302595,0.00237551943140653,0.0294326857551269
"ENSG00000079332",1.75276564685972,-2.85799689709254,1.68932719916268,15.5937116867212,0.00361573011257393,0.0386197380127509
"ENSG00000083099",7.29229530586449,-4.04348793611902,1.43743987165701,23.9259406397967,8.26518406205295e-05,0.00292587515796675
"ENSG00000089248",1.46280070627236,-3.75809052852445,1.67527041644171,14.5014462576273,0.00585521664838559,0.0497372748048359
"ENSG00000092841",26.5730813106084,1.85409902939127,0.683810357220905,22.2022948738536,0.000182666739799534,0.00567097870937304
"ENSG00000094916",5.50129830966015,-3.51471808963599,1.3684892360459,28.7139550614328,8.93613313393171e-06,0.000551776423395219
"ENSG00000095906",7.83994338159324,0.90687380273139,1.37106115321795,15.7806141794845,0.00332812732668446,0.0365500950561684
"ENSG00000099800",8.88142903192658,-6.28727233688512,1.29699450706099,38.3489555776128,9.49363225478999e-08,9.80217530307066e-06
"ENSG00000099875",1.92979269972339,1.28300126670749,1.83700763054915,15.1493101703804,0.00440134846254967,0.0420532518325233
"ENSG00000100354",5.84084580112545,-1.22112295059523,1.10605658738945,18.6750261880975,0.000910302344397413,0.0158854169677239
"ENSG00000101115",3.4414888527545,-5.05418835416916,1.87624593297254,17.5771015960456,0.00149244825809684,0.0210129930884317
"ENSG00000101966",4.7136081487004,-2.7488150660233,1.26190963519626,15.7571477381736,0.00336296274124552,0.0365500950561684
"ENSG00000104341",2.79176737276941,-1.03918904006406,1.24869495272991,20.7217313294997,0.000359537867886939,0.00865854306353233
"ENSG00000104643",3.22063469687199,-1.53162650205972,1.19664301462384,18.7829602132379,0.000866980687313436,0.01556795755915
"ENSG00000104848",2.62727048748934,1.00293119224579,1.44099431178779,14.9181608225994,0.00487400186070606,0.0440794766818599
"ENSG00000104886",10.342828671365,-7.31669840304883,1.43170571708494,28.2979138404142,1.08534751300716e-05,0.00061124798573449
"ENSG00000104964",17.0129282759077,0.196557753051728,0.956735003955511,16.7680334032009,0.00214415700083025,0.0273877373611204
"ENSG00000105855",3.89403404506844,-0.82895371279567,1.33039583036401,21.2780037959632,0.000278904757064921,0.00751223900007471
"ENSG00000106628",4.37769849583801,0.187405367900854,1.1243640321969,26.0263796914228,3.12593874720433e-05,0.00133553038199523
"ENSG00000106631",11.4578653613862,6.27479538851233,1.07778172254137,82.5231957292616,5.08465681767257e-17,2.09996326569877e-14
"ENSG00000106789",3.54279188598581,-4.59374425613036,1.43445517026784,20.7639279970014,0.000352685440624787,0.00865854306353233
"ENSG00000110492",8.67157362767337,3.4325264073592,1.20162446302947,18.4010226612582,0.00103012669325825,0.0170176929726262
"ENSG00000110696",5.66889211140205,0.374320766722801,1.17384722119646,15.0919833602394,0.00451419087467764,0.0420532518325233
"ENSG00000111057",26.4989445160449,4.05986653741252,0.863619506034304,54.1487398989965,4.89847108088164e-11,8.6702938131605e-09
"ENSG00000111640",39.8026417342999,3.41491776804444,0.636874561159197,59.1156095363968,4.44969910014473e-12,1.10263543701587e-09
"ENSG00000114744",2.22596549466952,-2.26218141852399,1.57087076227282,27.558587037834,1.53243666584222e-05,0.000740193782759614
"ENSG00000116017",12.8027417944562,-2.62237768006549,1.00164199469039,28.6166004979016,9.35214276941049e-06,0.000551776423395219
"ENSG00000116288",4.41068574912597,-4.51618356758736,1.63000217416163,15.8578251988759,0.00321599661137183,0.0362238163771791
"ENSG00000119335",7.86148187043989,-3.13226077289845,1.4574396353824,21.3350500485159,0.000271726182517119,0.007481527558638
"ENSG00000122203",4.06411309711405,-4.5903183546189,1.50413508538173,27.7234251880508,1.41906918361876e-05,0.000740193782759614
"ENSG00000122694",1.81399954383798,-3.07411319093818,2.55121552743439,14.7614812825436,0.00522236795526718,0.0465504596875974
"ENSG00000122741",6.86976249343163,-5.91033589176625,1.45037700191795,23.0361270411523,0.000124539099675261,0.00428622068049024
"ENSG00000123600",3.58430195356925,-0.955863167136613,1.67793848188176,15.1185420339436,0.00446156359739918,0.0420532518325233
"ENSG00000124225",1.98592822278943,-2.67832278842816,2.17440463935518,19.392468192925,0.000657975822953025,0.0131489039457871
"ENSG00000124422",13.5247798206419,-4.0259677717074,1.25716109205194,22.4615159361445,0.000162179948797261,0.00543083666377855
"ENSG00000125534",10.219841855538,2.34317903295062,0.974044420360292,16.2100360128187,0.00274989564418696,0.0327607759918043
"ENSG00000130164",6.54863947461071,-4.1567645969738,1.41016861041682,22.3122475543401,0.000173680922698282,0.00566291219008347
"ENSG00000130414",4.02288285776581,1.51581796852973,0.980575764500772,15.7695869628003,0.00334445254131523,0.0365500950561684
"ENSG00000130713",3.84361334940048,-2.71460913586377,1.34804471084187,16.045678742817,0.00295847809287963,0.0339424103163732
"ENSG00000131019",4.02393836545078,-2.11689638102151,1.12773750778886,14.8250278642274,0.00507822452708808,0.0455936245584212
"ENSG00000131914",3.29860240799497,-2.04229209166712,1.54312215363829,16.2224978001086,0.00273468477124862,0.0327607759918043
"ENSG00000132341",5.4182272255314,-5.01423329217345,1.7591729148811,24.9535667106026,5.14029547479754e-05,0.00192994730099217
"ENSG00000133980",5.14942257007413,-5.16766678989686,1.73536687302582,36.734150658375,2.04335854166905e-07,1.94747787163689e-05
"ENSG00000134283",3.03559689948614,0.287943812740701,1.03396712623143,21.4929698878873,0.000252795195297454,0.00711848288576241
"ENSG00000134817",1.93395763955703,-4.16054394956917,2.72727270576974,17.0249412124521,0.00191150006072666,0.0254661137122616
"ENSG00000135245",7.80786806862816,-5.61204875198337,1.67621622326952,17.9283478162223,0.00127452992169698,0.0193432060071161
