"Intercept","Replicate_2_vs_1","Replicate_3_vs_1","spline1","spline2","spline3","spline4","Gene"
-2.17109048852013,0.0658481387714303,0.254970604754506,2.02648850364978,-2.7032873416952,0.444550884304509,0.180472803726185,"ENSG00000000003"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000000005"
-2.70235168096733,0.743319426520029,1.57558514414199,-0.0632632986241516,-0.504767048182762,2.25929150149084,-0.850057883233628,"ENSG00000000419"
-2.11385222371682,0.0710315720705722,-0.255128426907607,0.344837111869564,-1.76362321539033,1.16267853436991,-0.240130602318288,"ENSG00000000457"
-1.23063873926164,-0.0030191046132935,0.804091075822937,0.455254980053915,-2.31882958319307,-4.66694415720745,1.83213159531066,"ENSG00000000460"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000000938"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000000971"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000001036"
-2.17906602451297,0.617879653920991,-0.567094359679713,2.46167760730132,-3.34285847994276,0.800735237276019,4.9692906315989,"ENSG00000001084"
-27.4695186863324,1.08460904265145,6.65838349874286,22.1133374886235,29.1042357976778,30,-3.35811986420155,"ENSG00000001167"
-2.19388850732092,-0.271998131066523,-0.235644240523452,0.848289741473129,-1.53673777987694,0.068981612176237,0.890270030705556,"ENSG00000001460"
-3.37004388036242,0.0167718864443913,0.895903758447803,3.37885639539659,-0.731551429470732,3.25787900236766,-0.135689675786707,"ENSG00000001461"
-2.29597449912682,-0.810280434550769,0.205812512482935,-0.539876852544389,-0.523034433103725,2.05870610262989,-0.257535914279356,"ENSG00000001497"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000001561"
-2.86250509414253,0.732298602308698,-0.0068754281742707,2.40985630599055,-1.48731858403568,0.341208510720123,1.15453029675573,"ENSG00000001617"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000001626"
-2.38146995469547,-0.936853621112243,-0.445144984956025,0.194253932424605,-1.20314378490943,2.70077511126751,-0.168284168693661,"ENSG00000001629"
-2.15679720016578,-0.573412704425571,-0.281950777292351,1.90502545284639,-1.29998150195259,-0.867245037491277,1.64923610531601,"ENSG00000001630"
0.0398743660528885,0.221246806378703,0.7584235138402,-2.34512498225716,-4.29404543305522,-2.31982033572514,-2.0661818966437,"ENSG00000001631"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000002016"
1.62195358926287,-0.959658220754384,1.16451484932788,-0.833230281851214,0.285738600840916,-1.31414970943418,-1.73427124627791,"ENSG00000002330"
-2.6547567417709,-0.172555077779161,-0.965049627203624,-1.19026159970834,0.0605061860400583,6.19753929874757,-0.120197052062238,"ENSG00000002549"
0.0907937658593684,0.729217938072002,-0.96718985607188,0.043555887357064,-3.88918361463194,-0.202292931156291,1.4679000204408,"ENSG00000002586"
-2.90557547472835,-0.0337342746235972,0.890054530519335,0.745566869214259,-1.1868586701715,0.64551210388316,0.905499010257009,"ENSG00000002587"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000002726"
NA,NA,NA,NA,NA,NA,NA,"ENSG00000002745"
-1.73858785835151,0.31140314447442,0.317102258373356,0.922547578598251,-1.90446926374628,-3.39060500448289,1.89636292497767,"ENSG00000002746"
-2.37234066294387,-0.305575474905673,0.00658116792076776,1.07998041786137,-0.401192074005347,-0.847693509859548,1.7760187927097,"ENSG00000002822"
-17.3208759313336,-27.9025561373678,-1.97319357016791,-1.39744955589151,27.8944358950696,21.6839264341203,-30,"ENSG00000002834"
